rh.aparc.volume	rh_bankssts_volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_frontalpole_volume	rh_temporalpole_volume	rh_transversetemporal_volume	rh_insula_volume	BrainSegVolNotVent	eTIV
sub-3_ses-1_T1w	2766.0	2632.0	5479.0	3210.0	2546.0	10827.0	15586.0	10278.0	2101.0	10667.0	6802.0	6692.0	6231.0	10525.0	1861.0	4114.0	3234.0	3651.0	3374.0	2016.0	8697.0	2589.0	11562.0	8130.0	2109.0	18063.0	21428.0	13964.0	11282.0	11315.0	1350.0	2177.0	800.0	6186.0	1116879.0	1566783.593869
sub-3_ses-2_T1w	2529.0	2407.0	4936.0	3260.0	2004.0	11663.0	17928.0	12362.0	2112.0	11332.0	8090.0	7247.0	6143.0	11649.0	2034.0	4334.0	3500.0	3187.0	3439.0	1752.0	8862.0	2376.0	11870.0	9223.0	2277.0	18645.0	20356.0	14347.0	12035.0	12088.0	1374.0	2797.0	893.0	6440.0	1137783.0	1565688.685682
sub-3_ses-3_T1w	2473.0	2740.0	7419.0	3404.0	2202.0	11183.0	14754.0	12662.0	2078.0	11316.0	8037.0	6948.0	6471.0	11737.0	1887.0	3435.0	3450.0	3548.0	3715.0	1998.0	10341.0	2979.0	12571.0	8851.0	2525.0	19254.0	25531.0	9543.0	12298.0	8913.0	1543.0	3155.0	843.0	6110.0	1149373.0	1550058.179852
sub-3_ses-4_T1w	2540.0	2574.0	5003.0	3327.0	2295.0	11014.0	17642.0	12663.0	2141.0	11176.0	8021.0	7090.0	6402.0	11840.0	2070.0	4506.0	3565.0	3623.0	3262.0	2061.0	8876.0	2511.0	11878.0	8919.0	2372.0	18592.0	20752.0	14617.0	12240.0	11916.0	1417.0	3219.0	904.0	6235.0	1149541.0	1556418.483233
sub-3_ses-5_T1w	2434.0	2612.0	6815.0	3313.0	3094.0	11113.0	16250.0	12142.0	2024.0	10949.0	7615.0	6988.0	6462.0	11539.0	1895.0	4571.0	3550.0	3503.0	3282.0	1984.0	9221.0	2674.0	18837.0	8989.0	2238.0	18425.0	21597.0	9623.0	12574.0	8685.0	1505.0	2636.0	829.0	6618.0	1148913.0	1549572.411905
sub-3_ses-6_T1w	2452.0	2432.0	4960.0	3159.0	2323.0	10892.0	17965.0	12437.0	2170.0	10695.0	7721.0	7114.0	6488.0	11398.0	2066.0	4007.0	3694.0	3171.0	3262.0	1855.0	8807.0	2501.0	11929.0	8876.0	2248.0	18676.0	21316.0	14146.0	12059.0	11638.0	1466.0	2926.0	799.0	6027.0	1145720.0	1553271.016738
sub-3_ses-7_T1w	2418.0	2341.0	7511.0	3301.0	2592.0	10482.0	14355.0	11475.0	2023.0	10734.0	7703.0	6973.0	6451.0	11080.0	1784.0	3139.0	3575.0	3484.0	3623.0	2023.0	9787.0	2524.0	12518.0	8085.0	2497.0	19245.0	24031.0	8750.0	10892.0	8502.0	1271.0	2627.0	780.0	5554.0	1143555.0	1565207.164871
sub-3_ses-8_T1w	2378.0	2462.0	7890.0	3365.0	2705.0	11164.0	15307.0	12302.0	2077.0	10992.0	7635.0	7014.0	6342.0	11771.0	1997.0	3897.0	3537.0	3206.0	3481.0	1949.0	9759.0	2378.0	13296.0	8985.0	2251.0	18623.0	25201.0	9464.0	11638.0	8777.0	1430.0	3164.0	828.0	6366.0	1143933.0	1559403.122972
sub-3_ses-9_T1w	2336.0	2413.0	7324.0	3368.0	2100.0	10892.0	14609.0	12806.0	1997.0	11134.0	7820.0	6687.0	6573.0	11828.0	1842.0	3378.0	3414.0	3413.0	3627.0	1870.0	10493.0	2397.0	12697.0	8858.0	2605.0	19449.0	25779.0	9475.0	12180.0	8778.0	1475.0	3264.0	869.0	6297.0	1154182.0	1564013.863215
sub-3_ses-10_T1w	2317.0	2450.0	5294.0	3337.0	2910.0	11269.0	17843.0	12316.0	2098.0	11179.0	7896.0	7433.0	6680.0	11174.0	1894.0	4558.0	3506.0	3088.0	3509.0	2137.0	8891.0	3024.0	12181.0	9188.0	2244.0	18573.0	20953.0	14168.0	12100.0	12150.0	1414.0	2748.0	843.0	6530.0	1143125.0	1552142.127839
sub-3_ses-11_T1w	2307.0	2457.0	6728.0	3603.0	2202.0	11167.0	14975.0	12444.0	2029.0	11074.0	8257.0	7302.0	6614.0	11660.0	1926.0	3325.0	3426.0	3569.0	3920.0	2068.0	10277.0	2531.0	12221.0	8844.0	2514.0	20113.0	25821.0	9585.0	11877.0	9016.0	1565.0	3676.0	864.0	6303.0	1143816.0	1556615.66054
sub-3_ses-12_T1w	2459.0	2451.0	5099.0	3135.0	2519.0	11178.0	17532.0	12311.0	2046.0	10690.0	7531.0	7035.0	6488.0	11753.0	2020.0	4262.0	3610.0	3261.0	3382.0	1863.0	8865.0	2529.0	11828.0	8673.0	2175.0	18497.0	20779.0	14226.0	12142.0	11923.0	1465.0	2921.0	878.0	6198.0	1147335.0	1557155.262507
sub-3_ses-13_T1w	2393.0	2363.0	5096.0	3116.0	2178.0	11183.0	17553.0	12822.0	2069.0	10975.0	7554.0	6683.0	6337.0	11589.0	1872.0	4163.0	3532.0	3148.0	3360.0	1756.0	8610.0	2184.0	11781.0	8726.0	2259.0	18867.0	20554.0	14001.0	12128.0	11760.0	1319.0	3231.0	832.0	6390.0	1155226.0	1552505.754145
sub-3_ses-14_T1w	2402.0	2605.0	5204.0	3100.0	3201.0	11104.0	17306.0	12553.0	2082.0	10734.0	7497.0	6773.0	6303.0	11645.0	2024.0	4049.0	3661.0	3364.0	3411.0	1909.0	8773.0	2544.0	11728.0	8500.0	2224.0	18879.0	21028.0	14045.0	12258.0	11424.0	1368.0	2333.0	928.0	6521.0	1148386.0	1559657.916874
sub-3_ses-15_T1w	2355.0	2727.0	6843.0	3344.0	2324.0	11206.0	14555.0	12538.0	1975.0	10894.0	8201.0	7154.0	6408.0	11806.0	1936.0	3575.0	3434.0	3471.0	3627.0	2092.0	10359.0	2909.0	12852.0	8903.0	2557.0	19495.0	26246.0	9262.0	11923.0	8712.0	1530.0	3304.0	833.0	6296.0	1145403.0	1557874.917975
