lh.aparc.DKTatlas.volume	lh_caudalanteriorcingulate_volume	lh_caudalmiddlefrontal_volume	lh_cuneus_volume	lh_entorhinal_volume	lh_fusiform_volume	lh_inferiorparietal_volume	lh_inferiortemporal_volume	lh_isthmuscingulate_volume	lh_lateraloccipital_volume	lh_lateralorbitofrontal_volume	lh_lingual_volume	lh_medialorbitofrontal_volume	lh_middletemporal_volume	lh_parahippocampal_volume	lh_paracentral_volume	lh_parsopercularis_volume	lh_parsorbitalis_volume	lh_parstriangularis_volume	lh_pericalcarine_volume	lh_postcentral_volume	lh_posteriorcingulate_volume	lh_precentral_volume	lh_precuneus_volume	lh_rostralanteriorcingulate_volume	lh_rostralmiddlefrontal_volume	lh_superiorfrontal_volume	lh_superiorparietal_volume	lh_superiortemporal_volume	lh_supramarginal_volume	lh_transversetemporal_volume	lh_insula_volume	BrainSegVolNotVent	eTIV
sub-3_ses-1_T1w	3472.0	7339.0	3680.0	1754.0	9955.0	12077.0	13075.0	2204.0	12057.0	8773.0	7202.0	4360.0	15611.0	2136.0	4211.0	3705.0	2228.0	3237.0	2041.0	11597.0	2862.0	14084.0	8855.0	3339.0	11522.0	25728.0	10939.0	18314.0	9874.0	1084.0	5706.0	1116879.0	1566783.593869
sub-3_ses-2_T1w	3668.0	6904.0	3998.0	2175.0	10536.0	12906.0	14288.0	2478.0	12366.0	9233.0	7498.0	4628.0	16135.0	2333.0	4429.0	3658.0	2256.0	3094.0	1929.0	11690.0	2864.0	14358.0	9233.0	3581.0	11961.0	24656.0	11250.0	18859.0	10380.0	976.0	5724.0	1137783.0	1565688.685682
sub-3_ses-3_T1w	3682.0	7235.0	3875.0	2147.0	10707.0	13039.0	15085.0	2586.0	12151.0	9070.0	7253.0	4459.0	16131.0	2206.0	4656.0	3698.0	2241.0	3129.0	1897.0	11517.0	3114.0	14514.0	9467.0	3302.0	11784.0	24621.0	11242.0	18472.0	10485.0	973.0	5483.0	1149373.0	1550058.179852
sub-3_ses-4_T1w	3802.0	7330.0	3994.0	1865.0	10398.0	12684.0	14541.0	2462.0	12691.0	9519.0	7229.0	4650.0	16037.0	2211.0	4636.0	3670.0	2093.0	3172.0	1927.0	11697.0	2731.0	14720.0	9224.0	3583.0	11868.0	24826.0	11386.0	19228.0	10468.0	1127.0	5484.0	1149541.0	1556418.483233
sub-3_ses-5_T1w	3713.0	7268.0	3617.0	2125.0	10304.0	12644.0	13981.0	2515.0	12058.0	8983.0	7095.0	4409.0	15819.0	2339.0	4688.0	3745.0	2224.0	3092.0	2000.0	11936.0	3000.0	14591.0	9219.0	3239.0	11704.0	24804.0	11239.0	18401.0	10191.0	1046.0	5434.0	1148913.0	1549572.411905
sub-3_ses-6_T1w	3717.0	7089.0	3693.0	2194.0	10280.0	13125.0	13589.0	2413.0	11834.0	9328.0	7195.0	4579.0	15682.0	2274.0	4544.0	3741.0	2150.0	3027.0	1896.0	11576.0	2788.0	14534.0	9525.0	3290.0	11655.0	24505.0	11345.0	17797.0	10365.0	1077.0	5488.0	1145720.0	1553271.016738
sub-3_ses-7_T1w	3643.0	7114.0	3624.0	1903.0	10169.0	11540.0	13118.0	2440.0	12163.0	8649.0	6967.0	4282.0	14518.0	2332.0	4068.0	3492.0	2064.0	3010.0	1751.0	11121.0	2810.0	13600.0	8591.0	3479.0	11407.0	24367.0	10606.0	17699.0	9916.0	932.0	5016.0	1143555.0	1565207.164871
sub-3_ses-8_T1w	3660.0	7340.0	3776.0	2022.0	10487.0	12895.0	13998.0	2416.0	12095.0	9356.0	7346.0	4576.0	15867.0	2336.0	4624.0	3699.0	2136.0	3036.0	1857.0	11722.0	2814.0	14437.0	9225.0	3075.0	11779.0	24654.0	11236.0	17897.0	10220.0	1032.0	5477.0	1143933.0	1559403.122972
sub-3_ses-9_T1w	3827.0	7193.0	3888.0	1734.0	9738.0	13044.0	14563.0	2432.0	12189.0	9249.0	6935.0	4373.0	16087.0	2170.0	4421.0	3536.0	2196.0	2845.0	1887.0	11577.0	2712.0	14175.0	9213.0	3246.0	11530.0	25163.0	11236.0	18533.0	10152.0	976.0	5316.0	1154182.0	1564013.863215
sub-3_ses-10_T1w	3792.0	7275.0	3756.0	1867.0	10448.0	12922.0	14377.0	2455.0	12644.0	9251.0	7335.0	4607.0	15923.0	2276.0	4656.0	3731.0	2248.0	3128.0	1929.0	11710.0	3067.0	14818.0	9478.0	3445.0	11653.0	25462.0	11621.0	18758.0	10549.0	1060.0	5653.0	1143125.0	1552142.127839
sub-3_ses-11_T1w	3612.0	7107.0	3915.0	2500.0	10382.0	12723.0	14217.0	2581.0	12296.0	9515.0	7306.0	4606.0	16006.0	2392.0	4517.0	3622.0	2275.0	2996.0	1924.0	11229.0	2851.0	14218.0	9130.0	3580.0	11467.0	24739.0	10942.0	18538.0	10042.0	1064.0	5428.0	1143816.0	1556615.66054
sub-3_ses-12_T1w	3523.0	7078.0	3974.0	2034.0	9972.0	12823.0	14693.0	2404.0	12143.0	9214.0	7249.0	4280.0	15949.0	2113.0	4421.0	3823.0	2327.0	3178.0	1936.0	11606.0	2713.0	14388.0	9247.0	3443.0	12113.0	24889.0	11171.0	18279.0	10380.0	1053.0	5661.0	1147335.0	1557155.262507
sub-3_ses-13_T1w	3859.0	7145.0	3577.0	2349.0	10217.0	13120.0	14543.0	2388.0	12685.0	9195.0	7122.0	4468.0	16307.0	2354.0	4454.0	3667.0	2260.0	3046.0	1732.0	11579.0	2740.0	14396.0	9238.0	3279.0	11642.0	24562.0	11299.0	18228.0	10303.0	1049.0	5404.0	1155226.0	1552505.754145
sub-3_ses-14_T1w	3726.0	7157.0	3742.0	2022.0	10203.0	12736.0	13718.0	2406.0	12076.0	9187.0	7112.0	4550.0	15973.0	2239.0	4575.0	3685.0	2209.0	3114.0	1862.0	11728.0	2841.0	14553.0	9032.0	3430.0	11810.0	24842.0	11100.0	18270.0	10236.0	1051.0	5416.0	1148386.0	1559657.916874
sub-3_ses-15_T1w	3750.0	7130.0	3994.0	2452.0	10613.0	13120.0	13735.0	2415.0	12239.0	9513.0	7296.0	4556.0	15993.0	2192.0	4677.0	3755.0	2270.0	3095.0	2004.0	11731.0	3051.0	14477.0	9537.0	3564.0	12034.0	24576.0	11177.0	18452.0	10266.0	1064.0	5574.0	1145403.0	1557874.917975
