rh.aparc.DKTatlas.volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_transversetemporal_volume	rh_insula_volume	BrainSegVolNotVent	eTIV
sub-3_ses-1_T1w	2785.0	5746.0	3915.0	2413.0	10010.0	15640.0	11511.0	2060.0	10662.0	7946.0	6600.0	4661.0	12225.0	1916.0	4346.0	3536.0	2820.0	3079.0	2005.0	9475.0	2747.0	11306.0	8484.0	2527.0	13366.0	27957.0	12138.0	14992.0	10807.0	816.0	5753.0	1116879.0	1566783.593869
sub-3_ses-2_T1w	2584.0	5160.0	4050.0	1934.0	10064.0	18085.0	13560.0	2071.0	11395.0	9563.0	7148.0	4843.0	13426.0	2151.0	4470.0	3834.0	2629.0	3428.0	1720.0	9822.0	2555.0	11588.0	9508.0	2613.0	13103.0	27008.0	12317.0	17063.0	11380.0	865.0	5556.0	1137783.0	1565688.685682
sub-3_ses-3_T1w	2906.0	7657.0	4218.0	1956.0	10176.0	14438.0	13789.0	2034.0	11383.0	9437.0	6834.0	4907.0	13426.0	1978.0	3653.0	3815.0	2915.0	3515.0	2023.0	10927.0	3136.0	12562.0	9039.0	2967.0	13705.0	32496.0	7598.0	17151.0	8772.0	881.0	5622.0	1149373.0	1550058.179852
sub-3_ses-4_T1w	2717.0	5320.0	4149.0	2187.0	9816.0	17801.0	13919.0	2087.0	11321.0	9500.0	6990.0	4994.0	13765.0	2135.0	4610.0	3805.0	2841.0	3312.0	2046.0	9693.0	2719.0	11600.0	9298.0	2782.0	13201.0	27365.0	12637.0	17023.0	11089.0	918.0	5620.0	1149541.0	1556418.483233
sub-3_ses-5_T1w	2785.0	6954.0	4076.0	2617.0	10151.0	15966.0	13246.0	1994.0	10963.0	9561.0	6963.0	5012.0	13206.0	2039.0	4825.0	3754.0	2856.0	3384.0	1964.0	9771.0	2921.0	18109.0	9111.0	2649.0	13036.0	28768.0	7863.0	17249.0	8438.0	822.0	5534.0	1148913.0	1549572.411905
sub-3_ses-6_T1w	2598.0	5185.0	3839.0	2100.0	9684.0	18095.0	13721.0	2087.0	10741.0	9229.0	6986.0	4846.0	13109.0	2207.0	4187.0	3912.0	2568.0	3255.0	1830.0	9620.0	2660.0	11688.0	9256.0	2645.0	13311.0	28060.0	12206.0	16827.0	10887.0	793.0	5547.0	1145720.0	1553271.016738
sub-3_ses-7_T1w	2453.0	7756.0	4055.0	2234.0	9557.0	14021.0	12496.0	1955.0	10684.0	8657.0	6825.0	4832.0	12812.0	1893.0	3330.0	3981.0	2887.0	3392.0	2018.0	10319.0	2754.0	12404.0	8138.0	2941.0	13631.0	31178.0	7157.0	15519.0	8324.0	793.0	5138.0	1143555.0	1565207.164871
sub-3_ses-8_T1w	2592.0	8225.0	4141.0	2626.0	10216.0	14923.0	13368.0	2043.0	11117.0	9482.0	6951.0	4888.0	13228.0	2154.0	4294.0	3893.0	2650.0	3337.0	1909.0	10241.0	2516.0	13084.0	9092.0	2666.0	13160.0	31556.0	7745.0	16381.0	8740.0	840.0	5568.0	1143933.0	1559403.122972
sub-3_ses-9_T1w	2534.0	7548.0	4132.0	1858.0	9585.0	14254.0	14279.0	1953.0	11245.0	9656.0	6587.0	5018.0	13591.0	1956.0	3577.0	4008.0	2716.0	3474.0	1832.0	11096.0	2551.0	12504.0	9023.0	3021.0	13591.0	32799.0	7519.0	17057.0	8649.0	903.0	5531.0	1154182.0	1564013.863215
sub-3_ses-10_T1w	2605.0	5249.0	4211.0	2217.0	10270.0	17936.0	13472.0	2068.0	11327.0	9629.0	7293.0	5074.0	12615.0	2012.0	4717.0	3846.0	2524.0	3315.0	2120.0	9850.0	3163.0	11868.0	9382.0	2728.0	13201.0	27906.0	12205.0	17123.0	11341.0	862.0	5764.0	1143125.0	1552142.127839
