lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-3_ses-1_T1w	1111.0	533.0	2356.0	1399.0	456.0	3525.0	5072.0	3859.0	863.0	5346.0	2585.0	3030.0	1941.0	3825.0	761.0	1407.0	1377.0	669.0	1052.0	1233.0	4664.0	871.0	5166.0	3415.0	799.0	5510.0	8103.0	5692.0	4378.0	4454.0	241.0	491.0	431.0	2108.0	88720.5	1116879.0	1566783.593869
sub-3_ses-2_T1w	1086.0	575.0	2262.0	1596.0	507.0	3622.0	4889.0	3885.0	897.0	5466.0	2579.0	2984.0	1897.0	3807.0	713.0	1410.0	1326.0	693.0	1058.0	1302.0	4326.0	819.0	4752.0	3626.0	867.0	5716.0	7555.0	5283.0	4238.0	4221.0	262.0	531.0	406.0	2244.0	87401.5	1137783.0	1565688.685682
sub-3_ses-3_T1w	1146.0	607.0	2355.0	1556.0	505.0	3682.0	4996.0	4106.0	960.0	5401.0	2804.0	3068.0	2012.0	3849.0	722.0	1385.0	1311.0	694.0	1056.0	1361.0	4367.0	954.0	4857.0	3711.0	942.0	5595.0	7956.0	5382.0	4237.0	4210.0	211.0	474.0	431.0	2200.0	89103.6	1149373.0	1550058.179852
sub-3_ses-4_T1w	1076.0	638.0	2411.0	1560.0	495.0	3690.0	4880.0	4020.0	879.0	5428.0	2747.0	3052.0	2029.0	3883.0	701.0	1493.0	1312.0	713.0	1072.0	1278.0	4443.0	818.0	4860.0	3672.0	895.0	5583.0	7948.0	5389.0	4286.0	4202.0	236.0	536.0	413.0	2250.0	88887.9	1149541.0	1556418.483233
sub-3_ses-5_T1w	1141.0	669.0	2357.0	1536.0	530.0	3677.0	4845.0	4042.0	959.0	5469.0	2677.0	3096.0	1933.0	3903.0	738.0	1439.0	1349.0	700.0	1085.0	1306.0	4557.0	915.0	4910.0	3630.0	941.0	5658.0	7981.0	5415.0	4300.0	4080.0	230.0	483.0	423.0	2185.0	89159.7	1148913.0	1549572.411905
sub-3_ses-6_T1w	1136.0	642.0	2364.0	1563.0	520.0	3709.0	4999.0	3884.0	891.0	5391.0	2664.0	3044.0	2038.0	3789.0	778.0	1483.0	1329.0	722.0	1087.0	1307.0	4464.0	860.0	4952.0	3771.0	831.0	5597.0	7992.0	5498.0	4274.0	4151.0	230.0	451.0	431.0	2235.0	89079.3	1145720.0	1553271.016738
sub-3_ses-7_T1w	1098.0	645.0	2481.0	1511.0	561.0	3487.0	4889.0	3750.0	978.0	5475.0	2830.0	3203.0	1849.0	3885.0	765.0	1595.0	1351.0	760.0	1144.0	1246.0	4625.0	911.0	5191.0	3894.0	855.0	5792.0	8514.0	5816.0	4313.0	4405.0	248.0	455.0	444.0	2272.0	91239.9	1143555.0	1565207.164871
sub-3_ses-8_T1w	1147.0	667.0	2514.0	1551.0	554.0	3724.0	4960.0	4015.0	932.0	5294.0	2723.0	3085.0	1840.0	3942.0	774.0	1468.0	1325.0	702.0	1090.0	1355.0	4405.0	844.0	4922.0	3703.0	846.0	5748.0	7970.0	5442.0	4258.0	4209.0	228.0	462.0	430.0	2478.0	89612.0	1143933.0	1559403.122972
sub-3_ses-9_T1w	1124.0	636.0	2411.0	1648.0	441.0	3516.0	5016.0	4016.0	912.0	5433.0	2623.0	3050.0	2066.0	3830.0	687.0	1471.0	1309.0	723.0	1050.0	1353.0	4354.0	848.0	4768.0	3789.0	863.0	5592.0	7985.0	5434.0	4402.0	4214.0	204.0	499.0	393.0	2165.0	88823.6	1154182.0	1564013.863215
sub-3_ses-10_T1w	1092.0	643.0	2392.0	1506.0	455.0	3542.0	4828.0	3944.0	922.0	5282.0	2645.0	3035.0	2001.0	3822.0	715.0	1443.0	1337.0	696.0	1089.0	1258.0	4374.0	922.0	4861.0	3650.0	848.0	5544.0	7956.0	5468.0	4147.0	4152.0	242.0	545.0	409.0	2203.0	87968.6	1143125.0	1552142.127839
sub-3_ses-11_T1w	1135.0	606.0	2356.0	1539.0	526.0	3606.0	4959.0	3852.0	930.0	5285.0	2776.0	3018.0	2051.0	3853.0	772.0	1475.0	1334.0	685.0	1086.0	1334.0	4567.0	846.0	4959.0	3782.0	892.0	5582.0	7943.0	5460.0	4181.0	4224.0	221.0	521.0	432.0	2245.0	89032.6	1143816.0	1556615.66054
sub-3_ses-12_T1w	1141.0	605.0	2308.0	1600.0	541.0	3662.0	4990.0	4061.0	900.0	5351.0	2769.0	3165.0	1989.0	3904.0	667.0	1465.0	1316.0	730.0	1098.0	1364.0	4424.0	822.0	4793.0	3728.0	905.0	5825.0	7768.0	5406.0	4230.0	4292.0	260.0	518.0	405.0	2171.0	89170.1	1147335.0	1557155.262507
sub-3_ses-13_T1w	1150.0	679.0	2417.0	1628.0	516.0	3579.0	4931.0	4052.0	923.0	5449.0	2627.0	3143.0	2020.0	3861.0	776.0	1509.0	1344.0	733.0	1063.0	1334.0	4293.0	814.0	4822.0	3815.0	906.0	5662.0	7900.0	5410.0	4240.0	4224.0	257.0	480.0	416.0	2268.0	89239.1	1155226.0	1552505.754145
sub-3_ses-14_T1w	1101.0	630.0	2421.0	1635.0	493.0	3719.0	5011.0	3936.0	921.0	5331.0	2994.0	3109.0	2006.0	3852.0	708.0	1482.0	1331.0	709.0	1061.0	1421.0	4462.0	864.0	4892.0	3735.0	968.0	5819.0	7928.0	5423.0	4256.0	4248.0	244.0	508.0	423.0	2122.0	89761.6	1148386.0	1559657.916874
sub-3_ses-15_T1w	1097.0	646.0	2382.0	1631.0	572.0	3704.0	5031.0	3689.0	895.0	5317.0	2728.0	3089.0	2028.0	3823.0	726.0	1426.0	1297.0	752.0	1011.0	1371.0	4356.0	953.0	4732.0	3700.0	941.0	5703.0	7787.0	5355.0	4171.0	4237.0	242.0	485.0	421.0	2239.0	88534.6	1145403.0	1557874.917975
sub-3_ses-16_T1w	1115.0	642.0	2375.0	1568.0	470.0	3724.0	4910.0	4081.0	876.0	5395.0	2695.0	3053.0	1937.0	3848.0	720.0	1500.0	1333.0	711.0	1090.0	1317.0	4405.0	837.0	4820.0	3723.0	934.0	5790.0	7978.0	5306.0	4232.0	4223.0	252.0	504.0	418.0	2269.0	89052.6	1146480.0	1557581.512763
sub-3_ses-17_T1w	1084.0	638.0	2399.0	1542.0	529.0	3597.0	4877.0	3985.0	999.0	5337.0	2714.0	3108.0	2002.0	3917.0	726.0	1451.0	1337.0	693.0	1068.0	1381.0	4529.0	893.0	4925.0	3717.0	853.0	5698.0	7981.0	5512.0	4278.0	4284.0	233.0	534.0	431.0	2373.0	89624.5	1150153.0	1566287.287992
sub-3_ses-18_T1w	1132.0	644.0	2436.0	1579.0	637.0	3815.0	4968.0	3659.0	887.0	5464.0	2795.0	2982.0	2030.0	3766.0	774.0	1491.0	1293.0	708.0	1063.0	1327.0	4519.0	898.0	4933.0	3698.0	829.0	5712.0	8077.0	5463.0	4287.0	4183.0	208.0	450.0	409.0	2140.0	89255.0	1150172.0	1559468.599437
sub-3_ses-19_T1w	1111.0	637.0	2371.0	1499.0	452.0	3606.0	4861.0	4055.0	947.0	5335.0	2711.0	3042.0	1954.0	3832.0	738.0	1432.0	1326.0	726.0	1062.0	1230.0	4338.0	850.0	4806.0	3692.0	844.0	5633.0	7998.0	5396.0	4190.0	4147.0	220.0	451.0	408.0	2259.0	88159.7	1137924.0	1561238.395628
sub-3_ses-20_T1w	1117.0	583.0	2275.0	1622.0	536.0	3575.0	4943.0	3971.0	901.0	5361.0	2739.0	3035.0	1928.0	3802.0	710.0	1451.0	1341.0	706.0	1058.0	1362.0	4396.0	840.0	4810.0	3691.0	831.0	5675.0	7842.0	5393.0	4181.0	4207.0	278.0	518.0	408.0	2244.0	88329.3	1145430.0	1558023.593065
sub-3_ses-21_T1w	1092.0	605.0	2376.0	1609.0	558.0	3679.0	5023.0	4045.0	894.0	5476.0	2786.0	3141.0	2033.0	3845.0	740.0	1515.0	1312.0	728.0	1120.0	1319.0	4498.0	847.0	5010.0	3813.0	982.0	5830.0	7955.0	5518.0	4237.0	4213.0	277.0	535.0	421.0	2223.0	90251.5	1150130.0	1555962.498274
sub-3_ses-22_T1w	1114.0	602.0	2364.0	1631.0	541.0	3578.0	4867.0	4031.0	889.0	5436.0	2704.0	3103.0	2005.0	3805.0	685.0	1500.0	1394.0	715.0	1090.0	1299.0	4533.0	920.0	5016.0	3800.0	920.0	5683.0	8028.0	5536.0	4277.0	4253.0	259.0	526.0	423.0	2146.0	89668.4	1143960.0	1553961.373657
sub-3_ses-23_T1w	1079.0	647.0	2353.0	1616.0	522.0	3632.0	4903.0	4057.0	916.0	5327.0	2734.0	3118.0	2007.0	3867.0	700.0	1467.0	1321.0	707.0	1100.0	1361.0	4370.0	843.0	4849.0	3824.0	970.0	5722.0	7905.0	5455.0	4144.0	4156.0	262.0	527.0	437.0	2222.0	89119.7	1145418.0	1548673.25921
sub-3_ses-24_T1w	1129.0	622.0	2417.0	1454.0	417.0	3469.0	4821.0	3927.0	915.0	5299.0	2574.0	3075.0	2009.0	3726.0	712.0	1432.0	1299.0	687.0	1086.0	1248.0	4359.0	842.0	4799.0	3723.0	823.0	5575.0	7969.0	5366.0	4206.0	4235.0	209.0	514.0	409.0	2188.0	87534.7	1138196.0	1549056.699551
sub-3_ses-25_T1w	1103.0	636.0	2420.0	1477.0	547.0	3699.0	4875.0	3885.0	908.0	5213.0	2659.0	2985.0	1978.0	3860.0	751.0	1442.0	1338.0	696.0	1061.0	1251.0	4408.0	909.0	4861.0	3620.0	868.0	5484.0	7985.0	5388.0	4168.0	4142.0	241.0	473.0	432.0	2221.0	87981.8	1132580.0	1558454.777582
