rh.aparc.DKTatlas.area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-3_ses-15_T1w.long.sub-3_base	920.0	2947.0	2221.0	458.0	3078.0	5222.0	4397.0	800.0	4911.0	3382.0	3647.0	1864.0	4390.0	659.0	1403.0	1465.0	872.0	1348.0	1677.0	3952.0	1013.0	5300.0	3713.0	1031.0	5436.0	11381.0	3087.0	5009.0	2934.0	302.0	1907.0	90724.1	1149797.0	1555417.948757
sub-3_ses-16_T1w.long.sub-3_base	936.0	2954.0	2109.0	479.0	3051.0	5220.0	4370.0	777.0	4863.0	3242.0	3477.0	1817.0	4381.0	648.0	1384.0	1467.0	882.0	1333.0	1646.0	3949.0	1066.0	5341.0	3741.0	1045.0	5308.0	11462.0	3071.0	4988.0	2917.0	301.0	1918.0	90146.5	1151208.0	1555417.948757
sub-3_ses-17_T1w.long.sub-3_base	956.0	2996.0	2213.0	473.0	3076.0	5283.0	4508.0	798.0	4904.0	3371.0	3615.0	1892.0	4433.0	650.0	1452.0	1465.0	871.0	1340.0	1698.0	4049.0	1078.0	5426.0	3759.0	1051.0	5382.0	11583.0	3155.0	5070.0	2985.0	309.0	1939.0	91784.5	1154340.0	1555417.948757
sub-3_ses-18_T1w.long.sub-3_base	900.0	2981.0	2260.0	472.0	3071.0	5271.0	4441.0	771.0	4900.0	3420.0	3521.0	1885.0	4416.0	650.0	1424.0	1470.0	885.0	1361.0	1683.0	3982.0	1051.0	5380.0	3760.0	1048.0	5367.0	11497.0	3123.0	5019.0	2961.0	311.0	1905.0	91185.2	1150908.0	1555417.948757
sub-3_ses-19_T1w.long.sub-3_base	905.0	2958.0	2189.0	472.0	3057.0	5231.0	4412.0	799.0	4796.0	3215.0	3521.0	1870.0	4417.0	647.0	1386.0	1453.0	870.0	1359.0	1679.0	3949.0	1048.0	5331.0	3681.0	1043.0	5372.0	11442.0	3084.0	5045.0	2932.0	298.0	1970.0	90435.2	1148949.0	1555417.948757
sub-3_ses-20_T1w.long.sub-3_base	949.0	2937.0	2200.0	479.0	3077.0	5235.0	4445.0	788.0	4893.0	3307.0	3570.0	1814.0	4424.0	650.0	1415.0	1466.0	859.0	1338.0	1701.0	3988.0	1045.0	5346.0	3729.0	1041.0	5332.0	11358.0	3085.0	5007.0	2939.0	310.0	1945.0	90673.3	1152661.0	1555417.948757
sub-3_ses-21_T1w.long.sub-3_base	954.0	2935.0	2230.0	469.0	3055.0	5188.0	4411.0	773.0	4841.0	3359.0	3454.0	1853.0	4407.0	639.0	1434.0	1465.0	870.0	1348.0	1688.0	4034.0	1034.0	5436.0	3756.0	1040.0	5357.0	11489.0	3098.0	4999.0	2977.0	306.0	1922.0	90821.6	1139829.0	1555417.948757
sub-3_ses-22_T1w.long.sub-3_base	895.0	2932.0	2150.0	464.0	3042.0	5196.0	4450.0	774.0	4804.0	3353.0	3449.0	1805.0	4315.0	661.0	1416.0	1472.0	856.0	1355.0	1664.0	4044.0	1052.0	5407.0	3732.0	1021.0	5272.0	11406.0	3057.0	4972.0	2937.0	307.0	1926.0	90186.8	1140081.0	1555417.948757
sub-3_ses-23_T1w.long.sub-3_base	934.0	2931.0	2169.0	477.0	3050.0	5165.0	4398.0	786.0	4808.0	3163.0	3488.0	1842.0	4393.0	655.0	1407.0	1438.0	860.0	1336.0	1651.0	3988.0	1039.0	5304.0	3691.0	1024.0	5323.0	11270.0	3045.0	4990.0	2928.0	302.0	1957.0	89813.5	1142463.0	1555417.948757
sub-3_ses-24_T1w.long.sub-3_base	942.0	2991.0	2137.0	488.0	2982.0	5205.0	4412.0	814.0	4753.0	3465.0	3421.0	1843.0	4360.0	647.0	1397.0	1474.0	852.0	1340.0	1674.0	3978.0	1043.0	5330.0	3695.0	1016.0	5403.0	11393.0	3083.0	5107.0	2930.0	300.0	1959.0	90434.1	1139831.0	1555417.948757
sub-3_ses-25_T1w.long.sub-3_base	950.0	2967.0	2154.0	456.0	3050.0	5217.0	4366.0	771.0	4741.0	3318.0	3372.0	1852.0	4344.0	646.0	1432.0	1472.0	847.0	1342.0	1610.0	3987.0	1032.0	5343.0	3709.0	1025.0	5296.0	11278.0	3084.0	5087.0	2920.0	301.0	1885.0	89851.6	1139511.0	1555417.948757
