lh.aparc.DKTatlas.volume	lh_caudalanteriorcingulate_volume	lh_caudalmiddlefrontal_volume	lh_cuneus_volume	lh_entorhinal_volume	lh_fusiform_volume	lh_inferiorparietal_volume	lh_inferiortemporal_volume	lh_isthmuscingulate_volume	lh_lateraloccipital_volume	lh_lateralorbitofrontal_volume	lh_lingual_volume	lh_medialorbitofrontal_volume	lh_middletemporal_volume	lh_parahippocampal_volume	lh_paracentral_volume	lh_parsopercularis_volume	lh_parsorbitalis_volume	lh_parstriangularis_volume	lh_pericalcarine_volume	lh_postcentral_volume	lh_posteriorcingulate_volume	lh_precentral_volume	lh_precuneus_volume	lh_rostralanteriorcingulate_volume	lh_rostralmiddlefrontal_volume	lh_superiorfrontal_volume	lh_superiorparietal_volume	lh_superiortemporal_volume	lh_supramarginal_volume	lh_transversetemporal_volume	lh_insula_volume	BrainSegVolNotVent	eTIV
sub-3_ses-1_T1w.long.sub-3_base	3771.0	7498.0	4061.0	1990.0	10077.0	13246.0	14568.0	2343.0	11984.0	9277.0	7133.0	4619.0	16056.0	2087.0	4488.0	3818.0	2264.0	3303.0	2197.0	12249.0	2881.0	14518.0	9319.0	3668.0	12516.0	25441.0	11813.0	18191.0	10783.0	1105.0	5842.0	1132380.0	1555417.948757
sub-3_ses-2_T1w.long.sub-3_base	3745.0	7105.0	4040.0	1851.0	10272.0	13134.0	14738.0	2426.0	12354.0	9254.0	7440.0	4461.0	15852.0	2252.0	4664.0	3614.0	2166.0	3123.0	2210.0	11935.0	2853.0	14384.0	9355.0	3572.0	11832.0	24589.0	11556.0	18329.0	10390.0	1146.0	5747.0	1139081.0	1555417.948757
sub-3_ses-3_T1w.long.sub-3_base	3780.0	7397.0	4153.0	1983.0	10422.0	13562.0	14751.0	2462.0	12530.0	9346.0	7473.0	4585.0	16114.0	2350.0	4637.0	3731.0	2245.0	3171.0	2181.0	12174.0	2926.0	14828.0	9675.0	3578.0	12190.0	25060.0	11824.0	18519.0	10833.0	1136.0	5830.0	1144594.0	1555417.948757
sub-3_ses-4_T1w.long.sub-3_base	3792.0	7382.0	4054.0	1958.0	10291.0	13542.0	14777.0	2476.0	12577.0	9422.0	7271.0	4627.0	16145.0	2263.0	4813.0	3770.0	2200.0	3168.0	2164.0	12171.0	2918.0	14930.0	9575.0	3628.0	12088.0	25469.0	11881.0	18606.0	10721.0	1121.0	5557.0	1146359.0	1555417.948757
sub-3_ses-5_T1w.long.sub-3_base	3845.0	7322.0	4105.0	1909.0	10206.0	13485.0	14861.0	2454.0	12624.0	9457.0	7259.0	4625.0	16214.0	2228.0	4826.0	3735.0	2219.0	3147.0	2234.0	12296.0	2956.0	15015.0	9510.0	3653.0	12287.0	25287.0	11804.0	18473.0	10718.0	1153.0	5530.0	1148343.0	1555417.948757
sub-3_ses-6_T1w.long.sub-3_base	3736.0	7272.0	4051.0	1919.0	10028.0	13440.0	14236.0	2422.0	12235.0	9185.0	7242.0	4706.0	15847.0	2202.0	4675.0	3657.0	2192.0	3078.0	2189.0	12110.0	2882.0	14761.0	9683.0	3575.0	11984.0	25060.0	11800.0	18031.0	10571.0	1127.0	5668.0	1136717.0	1555417.948757
sub-3_ses-7_T1w.long.sub-3_base	3722.0	7335.0	3946.0	1883.0	9746.0	12680.0	13570.0	2360.0	11740.0	9088.0	7168.0	4534.0	14826.0	2266.0	4334.0	3495.0	2163.0	3120.0	2067.0	11834.0	2850.0	14010.0	9194.0	3579.0	12009.0	24869.0	11145.0	17698.0	10276.0	1006.0	5554.0	1128608.0	1555417.948757
sub-3_ses-8_T1w.long.sub-3_base	3901.0	7356.0	4045.0	1960.0	10358.0	13743.0	14865.0	2478.0	12573.0	9461.0	7353.0	4734.0	16335.0	2237.0	4840.0	3748.0	2278.0	3267.0	1890.0	12360.0	2966.0	14894.0	9767.0	3648.0	12353.0	25378.0	11901.0	18458.0	10794.0	1103.0	5556.0	1146081.0	1555417.948757
sub-3_ses-9_T1w.long.sub-3_base	3831.0	7283.0	4066.0	1869.0	10231.0	13624.0	14871.0	2464.0	12712.0	9367.0	7289.0	4559.0	16228.0	2218.0	4627.0	3685.0	2269.0	3111.0	2023.0	12115.0	2954.0	14671.0	9595.0	3579.0	12185.0	25131.0	11836.0	18321.0	10650.0	1067.0	5592.0	1153562.0	1555417.948757
sub-3_ses-10_T1w.long.sub-3_base	3844.0	7425.0	4126.0	1987.0	10361.0	13844.0	14989.0	2454.0	12628.0	9446.0	7350.0	4682.0	16234.0	2177.0	4758.0	3754.0	2272.0	3198.0	2091.0	12340.0	2958.0	14939.0	9675.0	3632.0	12335.0	25659.0	11819.0	18568.0	10892.0	1140.0	5701.0	1146189.0	1555417.948757
