Measure:volume	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	5th-Ventricle	WM-hypointensities	Left-WM-hypointensities	Right-WM-hypointensities	non-WM-hypointensities	Left-non-WM-hypointensities	Right-non-WM-hypointensities	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior	BrainSegVol	BrainSegVolNotVent	lhCortexVol	rhCortexVol	CortexVol	lhCerebralWhiteMatterVol	rhCerebralWhiteMatterVol	CerebralWhiteMatterVol	SubCortGrayVol	TotalGrayVol	SupraTentorialVol	SupraTentorialVolNotVent	MaskVol	BrainSegVol-to-eTIV	MaskVol-to-eTIV	EstimatedTotalIntraCranialVol
sub-3_ses-1_T1w.long.sub-3_base	6225.4	193.5	13103.8	54191.3	7826.7	3790.3	5169.0	1796.2	1108.8	1918.4	21844.3	3780.3	1501.5	1034.8	532.9	3958.8	47.1	914.7	6663.3	298.3	13124.5	53585.6	7644.8	3711.9	5401.5	1804.6	4286.1	1916.6	709.3	4185.9	68.2	795.0	0.0	1074.3	0.0	0.0	1.0	0.0	0.0	160.3	1042.8	790.3	762.1	387.4	613.7	1151248.0	1132380.0	253137.737735	246133.528371	499271.266106	223396.5	218242.5	441639.0	60275.0	667739.266106	1017871.0	999003.0	1731403.0	0.740153	1.113143	1555417.948757
sub-3_ses-2_T1w.long.sub-3_base	6266.7	204.8	13521.1	55518.1	7738.1	3798.6	5088.0	1812.8	1096.8	1875.7	21803.9	3758.9	1545.0	1046.5	391.1	3933.8	56.9	919.4	6751.0	252.1	13687.1	55134.6	7678.8	3775.9	5211.7	1898.2	4038.0	1850.3	743.3	4151.5	75.3	771.8	0.0	297.9	0.0	0.0	1.0	0.0	0.0	138.8	1059.0	788.6	742.4	406.4	596.4	1157883.0	1139081.0	250813.244515	251583.247036	502396.491552	220068.0	221628.0	441696.0	59747.0	673559.491552	1020518.0	1001716.0	1696605.0	0.744419	1.090771	1555417.948757
sub-3_ses-3_T1w.long.sub-3_base	6627.6	239.5	12828.0	55143.9	7668.4	3719.8	5097.6	1829.4	1123.7	2113.0	21431.1	3658.1	1574.1	1040.1	533.8	3988.9	103.0	912.5	7002.4	305.7	12753.0	54774.9	7361.4	3721.3	5163.0	1886.7	3960.8	1825.8	734.7	4000.3	97.9	785.1	0.0	352.8	0.0	0.0	1.0	0.0	0.0	153.9	1051.9	800.1	736.5	425.9	599.9	1164555.0	1144594.0	255899.315438	255884.410221	511783.725659	219556.0	220998.0	440554.0	59034.0	681466.725659	1029673.0	1009712.0	1741071.0	0.748709	1.119359	1555417.948757
sub-3_ses-4_T1w.long.sub-3_base	6283.0	235.7	12973.6	54614.2	7674.6	3701.6	5033.5	1822.6	1104.0	2000.0	21764.6	3636.0	1528.5	1035.1	541.6	3885.9	87.0	869.9	6758.0	295.6	12995.1	54452.9	7436.6	3829.3	5343.8	1840.2	3991.2	1836.6	683.3	4045.8	109.1	778.9	1.0	332.7	0.0	0.0	0.0	0.0	0.0	134.5	1036.6	780.0	756.6	381.2	610.0	1165538.0	1146359.0	255766.162629	254037.564839	509803.727468	222967.0	221930.0	444897.0	59133.0	678527.727468	1031203.0	1012024.0	1718175.0	0.749341	1.104639	1555417.948757
sub-3_ses-5_T1w.long.sub-3_base	6465.4	242.4	12888.0	54552.6	7690.9	3764.0	5074.3	1814.3	1102.5	1977.0	21701.0	3639.7	1539.9	1041.1	491.0	4024.0	101.5	857.2	6903.3	302.2	13059.7	54347.0	7421.6	3788.0	5317.2	1898.3	3931.0	1776.1	761.5	4147.5	101.6	806.7	2.5	227.1	0.0	0.0	0.0	0.0	0.0	145.7	1053.6	773.1	726.5	412.2	588.8	1167880.0	1148343.0	255859.730975	255231.984606	511091.71558	221560.0	223757.0	445317.0	59243.0	679962.71558	1033577.0	1014040.0	1739020.0	0.750846	1.11804	1555417.948757
sub-3_ses-6_T1w.long.sub-3_base	6277.1	225.7	13019.0	55185.5	7646.0	3761.7	5011.4	1812.5	1126.8	1943.0	21715.2	3715.8	1594.4	987.7	491.8	3974.8	66.9	905.5	6798.6	302.2	12984.5	54582.5	7537.3	3798.6	5179.3	1845.7	4004.7	1844.9	743.0	4124.9	101.2	748.2	1.0	344.5	0.0	0.0	6.4	0.0	0.0	158.1	1032.6	803.8	769.1	416.5	618.2	1155721.0	1136717.0	251983.061372	252884.603129	504867.664501	219850.0	219419.0	439269.0	59285.0	674496.664501	1020587.0	1001583.0	1735349.0	0.743029	1.11568	1555417.948757
sub-3_ses-7_T1w.long.sub-3_base	6347.1	212.2	12475.7	54533.1	7989.7	3672.2	5115.7	1754.7	1063.7	1954.2	21697.8	3826.6	1514.4	1016.1	423.3	3933.1	81.9	870.7	6692.3	300.5	12731.8	55598.4	7601.8	3775.7	5320.3	1859.6	4097.7	1795.9	669.6	3939.5	80.2	835.1	0.0	765.7	0.0	0.0	4.6	0.0	0.0	142.0	1025.6	769.0	763.1	415.5	635.3	1147675.0	1128608.0	243965.359549	242097.558258	486062.917807	226227.5	224156.5	450384.0	59746.0	656459.917807	1013052.0	993985.0	1726615.0	0.737856	1.110065	1555417.948757
sub-3_ses-8_T1w.long.sub-3_base	6630.9	251.7	13456.8	54130.3	7754.7	3782.8	5162.5	1810.8	1131.7	2074.5	21826.9	3665.8	1557.1	1050.9	451.6	3958.8	90.6	896.6	7057.7	311.5	12943.7	53818.1	7411.5	3745.6	5252.7	1940.9	3949.8	1854.6	742.0	4072.9	95.2	763.2	2.4	291.8	0.0	0.0	2.7	0.0	0.0	139.2	1031.3	753.1	754.9	404.9	608.7	1166187.0	1146081.0	256991.039766	251905.64879	508896.688556	224916.5	221373.5	446290.0	59196.0	676777.688556	1032317.0	1012211.0	1727870.0	0.749758	1.110872	1555417.948757
sub-3_ses-9_T1w.long.sub-3_base	6073.3	197.1	13102.0	55668.7	7837.6	3775.9	5263.6	1775.1	1059.6	1941.1	22042.9	3699.1	1528.6	1060.4	482.6	3970.1	75.2	916.9	6736.9	227.0	13284.9	55836.9	7404.3	3772.8	5218.9	1915.0	4003.5	1842.9	710.2	4192.0	76.2	775.4	0.0	306.7	0.0	0.0	0.0	0.0	0.0	167.4	1043.1	813.8	768.7	413.0	609.9	1172069.0	1153562.0	254346.728884	252043.992907	506390.721792	227376.5	225664.5	453041.0	59648.0	678293.721792	1034693.0	1016186.0	1718346.0	0.75354	1.104749	1555417.948757
sub-3_ses-10_T1w.long.sub-3_base	6591.7	245.5	12843.1	54441.2	7652.7	3718.0	5213.7	1813.0	1160.2	2050.7	21528.7	3627.6	1551.8	1142.0	540.3	3970.0	104.1	922.6	7060.3	345.0	13133.1	54097.9	7359.0	3806.9	5248.5	1917.7	3905.2	1869.6	710.2	4088.2	83.8	795.1	0.0	241.6	0.0	0.0	1.0	0.0	0.0	136.2	1044.4	745.9	732.4	417.9	589.9	1166309.0	1146189.0	257710.308136	254866.03332	512576.341456	222330.0	220604.0	442934.0	59179.0	681035.341456	1032354.0	1012234.0	1738201.0	0.749836	1.117514	1555417.948757
