rh.aparc.area	rh_bankssts_area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_frontalpole_area	rh_temporalpole_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-3_ses-1_T1w.long.sub-3_base	968.0	877.0	2855.0	1807.0	501.0	3393.0	5421.0	3967.0	829.0	4669.0	2949.0	3524.0	2529.0	3661.0	569.0	1377.0	1287.0	994.0	1343.0	1655.0	3868.0	1035.0	5931.0	3950.0	822.0	7553.0	8937.0	4050.0	3826.0	2988.0	360.0	559.0	351.0	2097.0	91499.9	1132380.0	1555417.948757
sub-3_ses-2_T1w.long.sub-3_base	1013.0	898.0	2777.0	1815.0	485.0	3444.0	5321.0	3972.0	804.0	4710.0	3092.0	3630.0	2448.0	3641.0	609.0	1282.0	1279.0	1084.0	1393.0	1640.0	3741.0	977.0	5535.0	3707.0	816.0	7652.0	8524.0	3851.0	3765.0	2996.0	366.0	598.0	304.0	2150.0	90316.1	1139081.0	1555417.948757
sub-3_ses-3_T1w.long.sub-3_base	984.0	877.0	2825.0	1766.0	508.0	3460.0	5274.0	4017.0	799.0	4882.0	3045.0	3645.0	2540.0	3680.0	603.0	1309.0	1252.0	1086.0	1386.0	1711.0	3747.0	983.0	5598.0	3764.0	784.0	7709.0	8513.0	3942.0	3773.0	3005.0	332.0	545.0	302.0	2079.0	90725.6	1144594.0	1555417.948757
sub-3_ses-4_T1w.long.sub-3_base	991.0	897.0	2875.0	1775.0	498.0	3452.0	5387.0	4007.0	825.0	4755.0	3041.0	3644.0	2550.0	3690.0	613.0	1306.0	1268.0	1078.0	1412.0	1678.0	3798.0	986.0	5623.0	3772.0	833.0	7758.0	8678.0	3947.0	3796.0	3051.0	359.0	541.0	316.0	2139.0	91339.9	1146359.0	1555417.948757
sub-3_ses-5_T1w.long.sub-3_base	991.0	911.0	2837.0	1739.0	521.0	3471.0	5377.0	4110.0	806.0	4781.0	3087.0	3594.0	2558.0	3697.0	598.0	1316.0	1284.0	1111.0	1409.0	1636.0	3822.0	988.0	5629.0	3756.0	820.0	7915.0	8743.0	3868.0	3765.0	3017.0	359.0	637.0	301.0	2151.0	91604.7	1148343.0	1555417.948757
sub-3_ses-6_T1w.long.sub-3_base	986.0	889.0	2810.0	1748.0	529.0	3384.0	5317.0	3907.0	819.0	4683.0	3027.0	3459.0	2504.0	3634.0	597.0	1310.0	1244.0	1121.0	1405.0	1666.0	3748.0	1013.0	5542.0	3728.0	798.0	7754.0	8677.0	3851.0	3757.0	3006.0	347.0	543.0	313.0	2099.0	90215.1	1136717.0	1555417.948757
sub-3_ses-7_T1w.long.sub-3_base	1002.0	878.0	2896.0	1791.0	493.0	3399.0	5591.0	4107.0	812.0	5074.0	3074.0	3648.0	2495.0	3782.0	619.0	1448.0	1224.0	1047.0	1381.0	1684.0	3912.0	1009.0	5848.0	4010.0	772.0	7681.0	9072.0	4376.0	3883.0	3147.0	433.0	535.0	340.0	2138.0	93602.3	1128608.0	1555417.948757
sub-3_ses-8_T1w.long.sub-3_base	998.0	892.0	2825.0	1743.0	523.0	3458.0	5311.0	4026.0	816.0	4682.0	3080.0	3559.0	2531.0	3701.0	601.0	1319.0	1292.0	1136.0	1410.0	1641.0	3841.0	994.0	5644.0	3744.0	849.0	7849.0	8727.0	3836.0	3822.0	3062.0	365.0	576.0	312.0	2135.0	91300.4	1146081.0	1555417.948757
sub-3_ses-9_T1w.long.sub-3_base	977.0	881.0	2768.0	1833.0	556.0	3504.0	5336.0	4027.0	814.0	4738.0	2973.0	3680.0	2480.0	3691.0	598.0	1326.0	1261.0	1096.0	1380.0	1666.0	3760.0	1001.0	5544.0	3795.0	823.0	7702.0	8563.0	3912.0	3734.0	3005.0	369.0	581.0	299.0	2099.0	90773.1	1153562.0	1555417.948757
sub-3_ses-10_T1w.long.sub-3_base	976.0	912.0	2776.0	1748.0	513.0	3442.0	5328.0	4027.0	812.0	4697.0	2922.0	3596.0	2529.0	3658.0	608.0	1298.0	1269.0	1106.0	1393.0	1660.0	3766.0	993.0	5577.0	3753.0	835.0	7835.0	8592.0	3855.0	3749.0	3019.0	366.0	553.0	295.0	2076.0	90531.5	1146189.0	1555417.948757
sub-3_ses-11_T1w.long.sub-3_base	985.0	915.0	2842.0	1811.0	533.0	3461.0	5368.0	3980.0	808.0	4804.0	3137.0	3586.0	2539.0	3630.0	615.0	1328.0	1246.0	1078.0	1394.0	1696.0	3806.0	1004.0	5693.0	3791.0	825.0	7708.0	8584.0	3913.0	3740.0	3050.0	343.0	572.0	303.0	2106.0	91192.9	1149288.0	1555417.948757
sub-3_ses-12_T1w.long.sub-3_base	980.0	885.0	2798.0	1751.0	493.0	3410.0	5314.0	4035.0	802.0	4727.0	3065.0	3565.0	2496.0	3667.0	600.0	1283.0	1255.0	1096.0	1400.0	1640.0	3753.0	989.0	5558.0	3685.0	808.0	7796.0	8568.0	3862.0	3715.0	2999.0	341.0	564.0	298.0	2122.0	90321.8	1147242.0	1555417.948757
