lh.aparc.DKTatlas.volume	lh_caudalanteriorcingulate_volume	lh_caudalmiddlefrontal_volume	lh_cuneus_volume	lh_entorhinal_volume	lh_fusiform_volume	lh_inferiorparietal_volume	lh_inferiortemporal_volume	lh_isthmuscingulate_volume	lh_lateraloccipital_volume	lh_lateralorbitofrontal_volume	lh_lingual_volume	lh_medialorbitofrontal_volume	lh_middletemporal_volume	lh_parahippocampal_volume	lh_paracentral_volume	lh_parsopercularis_volume	lh_parsorbitalis_volume	lh_parstriangularis_volume	lh_pericalcarine_volume	lh_postcentral_volume	lh_posteriorcingulate_volume	lh_precentral_volume	lh_precuneus_volume	lh_rostralanteriorcingulate_volume	lh_rostralmiddlefrontal_volume	lh_superiorfrontal_volume	lh_superiorparietal_volume	lh_superiortemporal_volume	lh_supramarginal_volume	lh_transversetemporal_volume	lh_insula_volume	BrainSegVolNotVent	eTIV
sub-1_ses-25_T1w.long.sub-1_base	3096.0	6104.0	3300.0	2053.0	8247.0	11879.0	12285.0	3076.0	10383.0	8586.0	5436.0	4553.0	13456.0	2784.0	4250.0	3892.0	1897.0	4350.0	2339.0	10486.0	3633.0	14475.0	9989.0	3677.0	12396.0	22211.0	12118.0	17679.0	10550.0	1068.0	6379.0	1118250.0	1525148.075844
sub-1_ses-26_T1w.long.sub-1_base	3043.0	5918.0	3248.0	2163.0	8249.0	11645.0	12185.0	3059.0	10207.0	8424.0	5551.0	4734.0	13283.0	2747.0	4118.0	3868.0	1895.0	4278.0	2401.0	10226.0	3558.0	14135.0	9628.0	3696.0	12067.0	21735.0	11773.0	17524.0	10424.0	1026.0	6431.0	1106590.0	1525148.075844
sub-1_ses-27_T1w.long.sub-1_base	3050.0	6012.0	3360.0	2211.0	8242.0	11854.0	12238.0	3092.0	10262.0	8586.0	5576.0	4523.0	13355.0	2771.0	4166.0	3868.0	1894.0	4306.0	2407.0	10366.0	3573.0	14316.0	10080.0	3668.0	12300.0	22234.0	12147.0	17546.0	10445.0	1023.0	6460.0	1112330.0	1525148.075844
sub-1_ses-28_T1w.long.sub-1_base	3105.0	5885.0	3272.0	1963.0	8333.0	11736.0	12129.0	3126.0	10271.0	8518.0	5557.0	4584.0	13327.0	2738.0	4192.0	3858.0	1904.0	4330.0	2404.0	10367.0	3583.0	14387.0	9872.0	3717.0	12193.0	22080.0	11894.0	17418.0	10418.0	1008.0	6429.0	1115266.0	1525148.075844
sub-1_ses-29_T1w.long.sub-1_base	2992.0	5950.0	3329.0	2010.0	8149.0	11719.0	12163.0	3046.0	10234.0	8590.0	5458.0	4574.0	13218.0	2724.0	4159.0	3852.0	1909.0	4312.0	2366.0	10298.0	3550.0	14266.0	9783.0	3723.0	12274.0	22059.0	11930.0	17393.0	10351.0	1023.0	6397.0	1110486.0	1525148.075844
sub-1_ses-30_T1w.long.sub-1_base	3061.0	5884.0	3310.0	2059.0	8138.0	11736.0	12193.0	3086.0	10305.0	8530.0	5507.0	4501.0	13317.0	2699.0	4085.0	3888.0	1873.0	4318.0	2375.0	10324.0	3567.0	14096.0	9896.0	3785.0	12154.0	21916.0	11898.0	17515.0	10384.0	1027.0	6536.0	1112556.0	1525148.075844
sub-1_ses-31_T1w.long.sub-1_base	3075.0	5922.0	3360.0	2056.0	8120.0	11645.0	12135.0	3055.0	10305.0	8587.0	5540.0	4569.0	13303.0	2755.0	4195.0	3842.0	1898.0	4351.0	2425.0	10505.0	3590.0	14365.0	9814.0	3722.0	12308.0	22039.0	12098.0	17417.0	10449.0	1016.0	6436.0	1112968.0	1525148.075844
sub-1_ses-32_T1w.long.sub-1_base	3020.0	5870.0	3335.0	2057.0	8089.0	11677.0	12012.0	3096.0	10167.0	8540.0	5587.0	4564.0	13250.0	2746.0	4174.0	3909.0	1873.0	4371.0	2436.0	10463.0	3581.0	14434.0	9861.0	3712.0	12319.0	21988.0	12077.0	17508.0	10432.0	1025.0	6466.0	1111644.0	1525148.075844
sub-1_ses-33_T1w.long.sub-1_base	2984.0	6001.0	3269.0	2042.0	8104.0	11781.0	12231.0	2998.0	10312.0	8525.0	5452.0	4493.0	13366.0	2786.0	4186.0	3946.0	1910.0	4373.0	2307.0	10444.0	3566.0	14647.0	9677.0	3702.0	12501.0	22168.0	11756.0	17725.0	10556.0	993.0	6441.0	1114726.0	1525148.075844
sub-1_ses-34_T1w.long.sub-1_base	3050.0	6317.0	3410.0	1921.0	8653.0	11954.0	12618.0	3068.0	10530.0	8788.0	5507.0	5406.0	13445.0	2683.0	4360.0	3969.0	1920.0	4276.0	2365.0	10785.0	3630.0	14974.0	9980.0	3815.0	12766.0	22980.0	12200.0	17854.0	10524.0	1029.0	6365.0	1133220.0	1525148.075844
sub-1_ses-35_T1w.long.sub-1_base	3079.0	6196.0	3369.0	2015.0	8584.0	12064.0	12353.0	3045.0	10550.0	8710.0	5572.0	5206.0	13354.0	2665.0	4352.0	3924.0	1899.0	4318.0	2384.0	10667.0	3633.0	14843.0	9879.0	3794.0	12584.0	22590.0	12204.0	17652.0	10426.0	1019.0	6472.0	1131480.0	1525148.075844
sub-1_ses-36_T1w.long.sub-1_base	3073.0	6223.0	3407.0	2058.0	8695.0	12102.0	12585.0	3075.0	10760.0	8698.0	5509.0	5340.0	13441.0	2651.0	4347.0	3917.0	1904.0	4334.0	2312.0	10806.0	3654.0	14963.0	10030.0	3780.0	12648.0	22727.0	12273.0	17789.0	10591.0	1028.0	6393.0	1138323.0	1525148.075844
sub-1_ses-37_T1w.long.sub-1_base	3070.0	6154.0	3395.0	2102.0	8550.0	11932.0	12234.0	3049.0	10421.0	8624.0	5433.0	5061.0	13308.0	2691.0	4200.0	3834.0	1878.0	4227.0	2348.0	10478.0	3605.0	14435.0	9875.0	3759.0	12390.0	22414.0	11985.0	17419.0	10402.0	1024.0	6415.0	1127517.0	1525148.075844
sub-1_ses-38_T1w.long.sub-1_base	2979.0	5992.0	3305.0	2032.0	8367.0	11647.0	12301.0	2993.0	10358.0	8649.0	5435.0	5377.0	13082.0	2639.0	4163.0	3784.0	1882.0	4257.0	2435.0	10408.0	3516.0	14327.0	9636.0	3730.0	12239.0	22223.0	11897.0	17247.0	10150.0	1021.0	6370.0	1123802.0	1525148.075844
