rh.aparc.DKTatlas.volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_transversetemporal_volume	rh_insula_volume	BrainSegVolNotVent	eTIV
sub-1_ses-1_T1w.long.sub-1_base	2040.0	5753.0	3671.0	2072.0	8343.0	13632.0	11933.0	2633.0	10879.0	8581.0	6446.0	4251.0	13770.0	2249.0	3920.0	4009.0	1956.0	4213.0	2233.0	11343.0	3552.0	13252.0	11191.0	2230.0	12746.0	27923.0	11532.0	15960.0	9432.0	789.0	6838.0	1112398.0	1525148.075844
sub-1_ses-2_T1w.long.sub-1_base	2056.0	5763.0	3667.0	2021.0	8361.0	13713.0	12101.0	2596.0	10974.0	8580.0	6453.0	4346.0	13912.0	2250.0	3999.0	4049.0	1967.0	4237.0	2232.0	11460.0	3567.0	13451.0	11183.0	2243.0	12796.0	27852.0	11501.0	15975.0	9464.0	793.0	6782.0	1113885.0	1525148.075844
sub-1_ses-3_T1w.long.sub-1_base	2094.0	5882.0	3702.0	2043.0	8306.0	13856.0	12103.0	2604.0	10995.0	8658.0	6425.0	4396.0	13895.0	2269.0	4080.0	4086.0	1982.0	4278.0	2305.0	11737.0	3640.0	13699.0	11307.0	2208.0	13078.0	28278.0	11747.0	15926.0	9594.0	776.0	6711.0	1120624.0	1525148.075844
sub-1_ses-4_T1w.long.sub-1_base	2086.0	5924.0	3757.0	2060.0	8353.0	13960.0	12119.0	2563.0	11093.0	8629.0	6470.0	4424.0	14014.0	2327.0	4028.0	4120.0	2015.0	4348.0	2224.0	11673.0	3611.0	13700.0	11316.0	2257.0	13081.0	28423.0	11730.0	16062.0	9558.0	784.0	6890.0	1122177.0	1525148.075844
sub-1_ses-5_T1w.long.sub-1_base	2088.0	5918.0	3704.0	2072.0	8302.0	13746.0	11979.0	2584.0	11050.0	8682.0	6557.0	4326.0	13791.0	2298.0	3964.0	4095.0	2000.0	4280.0	2391.0	11532.0	3566.0	13506.0	11123.0	2248.0	12868.0	28277.0	11481.0	15859.0	9433.0	782.0	6933.0	1111986.0	1525148.075844
sub-1_ses-6_T1w.long.sub-1_base	2097.0	5851.0	3679.0	2130.0	8281.0	13845.0	12052.0	2615.0	10859.0	8586.0	6511.0	4356.0	13870.0	2258.0	4103.0	4082.0	1997.0	4343.0	2335.0	11688.0	3611.0	13676.0	11281.0	2278.0	13069.0	28116.0	11675.0	15904.0	9508.0	786.0	6881.0	1117224.0	1525148.075844
sub-1_ses-7_T1w.long.sub-1_base	2028.0	5857.0	3691.0	2055.0	8295.0	13691.0	11835.0	2596.0	10967.0	8628.0	6427.0	4343.0	13717.0	2258.0	3912.0	4071.0	1967.0	4241.0	2300.0	11443.0	3520.0	13396.0	10987.0	2261.0	12838.0	28080.0	11465.0	15835.0	9382.0	772.0	6905.0	1108821.0	1525148.075844
sub-1_ses-8_T1w.long.sub-1_base	2055.0	5919.0	3656.0	2138.0	8304.0	14016.0	12228.0	2657.0	11073.0	8704.0	6600.0	4428.0	13879.0	2295.0	4064.0	4057.0	2001.0	4285.0	2368.0	11829.0	3559.0	13705.0	11244.0	2248.0	13127.0	28133.0	11714.0	16062.0	9566.0	788.0	6794.0	1122685.0	1525148.075844
sub-1_ses-9_T1w.long.sub-1_base	2053.0	5904.0	3611.0	2089.0	8343.0	13884.0	12074.0	2658.0	11032.0	8590.0	6621.0	4396.0	13915.0	2245.0	4056.0	4062.0	1968.0	4313.0	2351.0	11774.0	3587.0	13746.0	11313.0	2227.0	13114.0	28113.0	11712.0	16013.0	9630.0	767.0	6799.0	1117002.0	1525148.075844
sub-1_ses-10_T1w.long.sub-1_base	2042.0	5858.0	3721.0	2106.0	8420.0	13984.0	12045.0	2631.0	11048.0	8634.0	6459.0	4341.0	14034.0	2293.0	3964.0	4091.0	2017.0	4326.0	2134.0	11459.0	3628.0	13475.0	11364.0	2253.0	12826.0	28272.0	11713.0	16070.0	9521.0	761.0	6906.0	1118910.0	1525148.075844
sub-1_ses-11_T1w.long.sub-1_base	2071.0	5823.0	3608.0	2097.0	8322.0	13813.0	12092.0	2567.0	10944.0	8648.0	6489.0	4376.0	13904.0	2254.0	4059.0	4104.0	1945.0	4292.0	2384.0	11633.0	3559.0	13601.0	11087.0	2237.0	13187.0	28281.0	11605.0	15982.0	9520.0	778.0	6728.0	1115234.0	1525148.075844
sub-1_ses-12_T1w.long.sub-1_base	2029.0	5774.0	3692.0	2081.0	8282.0	13678.0	11865.0	2564.0	10904.0	8180.0	6566.0	4334.0	13785.0	2241.0	4075.0	4036.0	1952.0	4182.0	2374.0	11573.0	3528.0	13418.0	11127.0	2250.0	12899.0	28056.0	11550.0	15792.0	9446.0	779.0	6784.0	1114033.0	1525148.075844
sub-1_ses-13_T1w.long.sub-1_base	2012.0	5829.0	3645.0	2035.0	8342.0	13883.0	12027.0	2554.0	10990.0	8531.0	6415.0	4442.0	13878.0	2280.0	3996.0	4023.0	1964.0	4348.0	2165.0	11513.0	3532.0	13531.0	11227.0	2242.0	13001.0	28078.0	11396.0	16058.0	9401.0	793.0	6747.0	1119696.0	1525148.075844
sub-1_ses-14_T1w.long.sub-1_base	2045.0	5830.0	3669.0	2033.0	8371.0	13844.0	11860.0	2606.0	10913.0	8460.0	6448.0	4332.0	13803.0	2224.0	3978.0	4026.0	1949.0	4260.0	2288.0	11574.0	3532.0	13716.0	11151.0	2228.0	12883.0	27968.0	11526.0	15969.0	9446.0	771.0	6776.0	1112759.0	1525148.075844
sub-1_ses-15_T1w.long.sub-1_base	2070.0	5715.0	3612.0	2041.0	8460.0	13913.0	12039.0	2692.0	11124.0	8525.0	6520.0	4451.0	13929.0	2301.0	3910.0	3960.0	2000.0	4148.0	2187.0	11315.0	3625.0	13221.0	11294.0	2271.0	12783.0	28142.0	11540.0	16057.0	9350.0	794.0	6942.0	1114855.0	1525148.075844
sub-1_ses-16_T1w.long.sub-1_base	2064.0	5871.0	3527.0	2099.0	8270.0	13984.0	12022.0	2628.0	10906.0	8563.0	6416.0	4316.0	13733.0	2240.0	3927.0	4071.0	1961.0	4286.0	2247.0	11658.0	3567.0	13652.0	11143.0	2240.0	13034.0	28117.0	11604.0	15710.0	9512.0	771.0	6785.0	1114150.0	1525148.075844
sub-1_ses-17_T1w.long.sub-1_base	2035.0	5872.0	3657.0	2166.0	8388.0	13754.0	12104.0	2617.0	11003.0	8635.0	6404.0	4416.0	13932.0	2245.0	3898.0	4035.0	1983.0	4248.0	2116.0	11564.0	3519.0	13341.0	11137.0	2220.0	12732.0	28055.0	11582.0	16002.0	9564.0	778.0	6852.0	1114658.0	1525148.075844
sub-1_ses-18_T1w.long.sub-1_base	2098.0	5844.0	3708.0	2173.0	8363.0	13870.0	12135.0	2633.0	11199.0	8643.0	6661.0	4317.0	13977.0	2284.0	4087.0	4061.0	1981.0	4269.0	2336.0	11665.0	3642.0	13713.0	11296.0	2251.0	13036.0	28199.0	11622.0	16118.0	9614.0	790.0	6936.0	1115650.0	1525148.075844
sub-1_ses-19_T1w.long.sub-1_base	2061.0	5918.0	3574.0	2160.0	8461.0	14020.0	12219.0	2609.0	11218.0	8767.0	6474.0	4446.0	14247.0	2268.0	4091.0	4121.0	2002.0	4345.0	2100.0	11683.0	3625.0	13881.0	11334.0	2234.0	13074.0	28381.0	11779.0	16435.0	9669.0	804.0	6820.0	1120467.0	1525148.075844
sub-1_ses-20_T1w.long.sub-1_base	2056.0	5850.0	3675.0	2065.0	8370.0	13901.0	12062.0	2693.0	11069.0	8611.0	6681.0	4340.0	13063.0	2325.0	4107.0	4044.0	1994.0	4246.0	2289.0	11742.0	3589.0	13650.0	11355.0	2257.0	12928.0	28256.0	11776.0	15878.0	9522.0	811.0	6836.0	1124297.0	1525148.075844
sub-1_ses-21_T1w.long.sub-1_base	2051.0	5778.0	3736.0	2038.0	8276.0	13629.0	11858.0	2578.0	10899.0	8508.0	6371.0	4307.0	13426.0	2219.0	3942.0	4006.0	1948.0	4215.0	2259.0	11511.0	3514.0	13405.0	11122.0	2220.0	12690.0	27877.0	11649.0	15721.0	9405.0	780.0	6912.0	1110157.0	1525148.075844
sub-1_ses-22_T1w.long.sub-1_base	2055.0	5813.0	3597.0	2109.0	8281.0	13797.0	12028.0	2572.0	10950.0	8612.0	6564.0	4312.0	13748.0	2231.0	4053.0	4058.0	1948.0	4247.0	2370.0	11656.0	3579.0	13551.0	11197.0	2213.0	12946.0	27920.0	11710.0	15816.0	9539.0	789.0	6769.0	1113841.0	1525148.075844
sub-1_ses-23_T1w.long.sub-1_base	2051.0	5857.0	3666.0	2101.0	8260.0	13766.0	12069.0	2647.0	11008.0	8571.0	6660.0	4338.0	13890.0	2264.0	4074.0	4045.0	1981.0	4242.0	2403.0	11843.0	3542.0	13648.0	11222.0	2228.0	13116.0	28145.0	11685.0	16059.0	9522.0	789.0	6782.0	1121962.0	1525148.075844
sub-1_ses-24_T1w.long.sub-1_base	2060.0	5839.0	3719.0	2115.0	8321.0	13794.0	12079.0	2594.0	11015.0	8614.0	6489.0	4357.0	13766.0	2280.0	3974.0	4050.0	1963.0	4242.0	2217.0	11645.0	3584.0	13540.0	11233.0	2260.0	12902.0	28145.0	11627.0	15902.0	9483.0	788.0	6864.0	1118779.0	1525148.075844
sub-1_ses-25_T1w.long.sub-1_base	2016.0	5730.0	3666.0	2102.0	8293.0	13599.0	12002.0	2655.0	10993.0	8497.0	6494.0	4423.0	13883.0	2252.0	3958.0	3953.0	1980.0	4229.0	2222.0	11415.0	3555.0	13443.0	11088.0	2183.0	12710.0	27831.0	11535.0	15917.0	9329.0	780.0	6797.0	1118250.0	1525148.075844
sub-1_ses-26_T1w.long.sub-1_base	2041.0	5565.0	3515.0	2075.0	8279.0	13664.0	11940.0	2567.0	10850.0	8468.0	6563.0	4307.0	13777.0	2210.0	3896.0	3881.0	1948.0	4104.0	2297.0	11202.0	3516.0	13139.0	10993.0	2180.0	12380.0	27239.0	11249.0	15727.0	9210.0	777.0	6736.0	1106590.0	1525148.075844
sub-1_ses-27_T1w.long.sub-1_base	2041.0	5771.0	3709.0	1998.0	8256.0	13561.0	11849.0	2620.0	10948.0	8519.0	6530.0	4271.0	13764.0	2263.0	3929.0	3980.0	1966.0	4197.0	2270.0	11497.0	3540.0	13416.0	11200.0	2247.0	12660.0	27832.0	11606.0	15742.0	9483.0	783.0	6845.0	1112330.0	1525148.075844
sub-1_ses-28_T1w.long.sub-1_base	2072.0	5729.0	3611.0	1973.0	8340.0	13868.0	12109.0	2602.0	10976.0	8328.0	6574.0	4359.0	13823.0	2243.0	3994.0	4026.0	1960.0	4299.0	2287.0	11549.0	3587.0	13576.0	11178.0	2200.0	12808.0	27996.0	11536.0	16056.0	9464.0	779.0	6749.0	1115266.0	1525148.075844
sub-1_ses-29_T1w.long.sub-1_base	2045.0	5723.0	3647.0	2027.0	8281.0	13564.0	11892.0	2614.0	10899.0	8547.0	6437.0	4266.0	13738.0	2292.0	3870.0	4000.0	1978.0	4197.0	2216.0	11429.0	3502.0	13287.0	10987.0	2211.0	12756.0	27745.0	11427.0	15731.0	9345.0	769.0	6790.0	1110486.0	1525148.075844
sub-1_ses-30_T1w.long.sub-1_base	2030.0	5747.0	3626.0	2052.0	8249.0	13743.0	11858.0	2640.0	10846.0	8422.0	6427.0	4234.0	13222.0	2223.0	3907.0	3999.0	1980.0	4265.0	2214.0	11292.0	3580.0	13292.0	11185.0	2210.0	12472.0	27605.0	11488.0	15814.0	9222.0	811.0	6841.0	1112556.0	1525148.075844
sub-1_ses-31_T1w.long.sub-1_base	2086.0	5842.0	3715.0	2157.0	8226.0	13628.0	11833.0	2590.0	10858.0	8483.0	6510.0	4385.0	13605.0	2214.0	3967.0	4020.0	1986.0	4247.0	2337.0	11615.0	3574.0	13478.0	11163.0	2233.0	12865.0	27925.0	11612.0	15823.0	9357.0	774.0	6796.0	1112968.0	1525148.075844
sub-1_ses-32_T1w.long.sub-1_base	2013.0	5815.0	3682.0	2051.0	8332.0	13748.0	11954.0	2585.0	10972.0	8628.0	6556.0	4275.0	13865.0	2271.0	4000.0	4068.0	1983.0	4284.0	2301.0	11664.0	3502.0	13581.0	11209.0	2235.0	12928.0	27741.0	11578.0	16018.0	9457.0	783.0	6902.0	1111644.0	1525148.075844
sub-1_ses-33_T1w.long.sub-1_base	2051.0	5655.0	3575.0	2031.0	8199.0	13185.0	11900.0	2549.0	10790.0	8375.0	6418.0	4228.0	13581.0	2226.0	3914.0	3930.0	1951.0	4135.0	2275.0	11209.0	3555.0	13264.0	10691.0	2234.0	12683.0	27484.0	10909.0	15503.0	9058.0	766.0	6689.0	1114726.0	1525148.075844
sub-1_ses-34_T1w.long.sub-1_base	2075.0	5968.0	3762.0	2057.0	8292.0	13974.0	12095.0	2629.0	10988.0	8667.0	6479.0	4752.0	14020.0	2235.0	4072.0	3985.0	1974.0	4201.0	2304.0	11830.0	3603.0	13747.0	11188.0	2262.0	13103.0	28708.0	11744.0	16107.0	9422.0	769.0	6770.0	1133220.0	1525148.075844
sub-1_ses-35_T1w.long.sub-1_base	2090.0	6060.0	3746.0	2053.0	8349.0	14355.0	12390.0	2636.0	11132.0	8815.0	6512.0	4817.0	14353.0	2231.0	4091.0	3962.0	1976.0	4222.0	2228.0	11614.0	3665.0	13689.0	11298.0	2308.0	12979.0	28638.0	11827.0	16231.0	9484.0	769.0	6828.0	1131480.0	1525148.075844
sub-1_ses-36_T1w.long.sub-1_base	2060.0	5947.0	3721.0	2067.0	8319.0	14151.0	12218.0	2639.0	11129.0	8645.0	6560.0	4690.0	14158.0	2229.0	4079.0	3996.0	1963.0	4223.0	2167.0	11817.0	3605.0	13803.0	11232.0	2284.0	13115.0	28682.0	11853.0	15960.0	9468.0	765.0	6734.0	1138323.0	1525148.075844
sub-1_ses-37_T1w.long.sub-1_base	2084.0	5867.0	3706.0	2093.0	8286.0	14242.0	12148.0	2609.0	10997.0	8518.0	6420.0	4693.0	14054.0	2224.0	3991.0	3950.0	1948.0	4175.0	2174.0	11573.0	3619.0	13452.0	11212.0	2248.0	12858.0	28497.0	11848.0	16004.0	9319.0	770.0	6709.0	1127517.0	1525148.075844
sub-1_ses-38_T1w.long.sub-1_base	2010.0	5897.0	3772.0	2133.0	8295.0	14006.0	12119.0	2590.0	10920.0	8484.0	6441.0	4792.0	14007.0	2218.0	3947.0	3980.0	1965.0	4164.0	2269.0	11602.0	3555.0	13464.0	11052.0	2243.0	12841.0	28311.0	11722.0	16154.0	9347.0	763.0	6793.0	1123802.0	1525148.075844
