Measure:volume	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	5th-Ventricle	WM-hypointensities	Left-WM-hypointensities	Right-WM-hypointensities	non-WM-hypointensities	Left-non-WM-hypointensities	Right-non-WM-hypointensities	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior	BrainSegVol	BrainSegVolNotVent	lhCortexVol	rhCortexVol	CortexVol	lhCerebralWhiteMatterVol	rhCerebralWhiteMatterVol	CerebralWhiteMatterVol	SubCortGrayVol	TotalGrayVol	SupraTentorialVol	SupraTentorialVolNotVent	MaskVol	BrainSegVol-to-eTIV	MaskVol-to-eTIV	EstimatedTotalIntraCranialVol
sub-1_ses-24_T1w.long.sub-1_base	3733.8	236.4	12353.2	49244.0	9101.7	3802.9	6183.9	2174.9	1035.2	2060.4	20596.8	4338.5	1593.3	784.8	687.2	3922.4	45.5	581.9	6615.5	139.4	11840.8	47599.5	8773.5	4280.5	6519.2	2472.0	4420.2	1901.0	868.7	3993.6	98.7	715.1	0.0	340.6	0.0	0.0	0.0	0.0	0.0	148.3	935.4	522.7	476.9	432.2	831.1	1134464.0	1118779.0	238101.242847	241580.690369	479681.933217	224941.0	228166.0	453107.0	66909.0	643822.933217	1013973.0	998288.0	1694229.0	0.743839	1.110862	1525148.075844
sub-1_ses-25_T1w.long.sub-1_base	3699.3	225.7	12489.1	49477.2	9186.2	3770.5	6228.2	2151.8	1053.0	2077.9	20617.5	4363.0	1633.7	797.1	689.0	3907.6	37.0	582.0	6598.6	105.9	12125.5	47820.3	8860.8	4284.5	6526.7	2505.9	4438.3	1865.9	904.5	4079.7	89.8	717.4	0.0	329.2	0.0	0.0	0.0	0.0	0.0	192.1	934.3	516.2	489.7	433.9	848.4	1133729.0	1118250.0	236886.528052	239711.883014	476598.411066	226301.0	228913.0	455214.0	67232.0	641593.411066	1012225.0	996746.0	1705983.0	0.743357	1.118569	1525148.075844
sub-1_ses-26_T1w.long.sub-1_base	4207.9	294.3	12023.1	48482.1	8889.3	3784.0	6152.2	2154.0	1082.8	2184.7	20275.2	4242.7	1584.4	906.2	738.0	3871.4	60.0	572.5	7088.9	171.3	11804.0	46580.7	8569.7	4174.1	6422.6	2413.3	4333.9	1909.3	849.3	4047.4	108.4	712.3	1.0	287.6	0.0	0.0	1.0	0.0	0.0	178.6	920.7	510.5	462.6	433.2	834.2	1123812.0	1106590.0	233536.953906	236440.275845	469977.229751	224317.5	229556.5	453874.0	66133.0	631533.229751	1005583.0	988361.0	1699574.0	0.736854	1.114367	1525148.075844
sub-1_ses-27_T1w.long.sub-1_base	3884.0	265.4	12216.0	49281.3	9121.5	3789.1	6216.5	2161.7	1045.3	2111.9	20492.0	4308.7	1604.8	811.5	736.9	3954.2	64.4	570.4	6748.5	155.4	11886.3	47506.4	8715.9	4252.3	6436.2	2476.1	4414.1	1923.4	892.6	4068.5	102.7	681.7	0.0	350.3	0.0	0.0	0.0	0.0	0.0	186.4	925.4	510.0	493.1	437.2	825.6	1128363.0	1112330.0	236231.318953	239438.39619	475669.715143	223825.5	227218.5	451044.0	67051.0	639834.715143	1008063.0	992030.0	1696803.0	0.739838	1.11255	1525148.075844
sub-1_ses-28_T1w.long.sub-1_base	3901.9	265.3	12277.6	49008.6	8984.2	3750.1	6212.1	2150.7	1053.0	2086.6	20527.3	4275.7	1620.1	798.8	737.2	3883.5	71.1	565.7	6727.5	133.4	11704.9	47276.0	8583.2	4239.7	6549.9	2491.0	4379.6	1882.7	839.6	4058.9	102.3	699.8	1.0	320.2	0.0	0.0	0.0	0.0	0.0	209.3	924.3	515.6	468.4	433.8	842.9	1131262.0	1115266.0	234885.234983	240767.698566	475652.933549	224573.5	230044.5	454618.0	66608.0	638861.933549	1011633.0	995637.0	1696286.0	0.741739	1.112211	1525148.075844
sub-1_ses-29_T1w.long.sub-1_base	3920.1	250.4	12295.6	49099.1	9049.4	3754.7	6160.4	2212.8	1033.8	2090.7	20425.9	4321.2	1640.6	857.7	711.7	3928.2	49.1	597.6	6798.1	111.4	12122.7	47330.8	8573.7	4241.5	6497.3	2511.8	4397.5	1909.7	863.5	4029.5	87.4	701.5	0.0	355.8	0.0	0.0	2.0	0.0	0.0	193.3	934.1	495.8	476.3	429.3	842.1	1126512.0	1110486.0	234127.510751	238382.773611	472510.284362	224425.5	228229.5	452655.0	66708.0	636204.284362	1006056.0	990030.0	1705392.0	0.738625	1.118181	1525148.075844
sub-1_ses-30_T1w.long.sub-1_base	3734.0	219.3	12574.2	50339.5	9205.9	3857.1	6148.8	2175.8	1036.7	2052.4	20652.2	4368.0	1580.7	813.2	635.9	3905.7	20.9	583.4	6536.4	108.0	12131.0	47984.1	8604.9	4256.8	6318.2	2495.0	4464.3	1891.1	856.4	4002.9	72.7	701.3	0.0	349.1	0.0	0.0	2.0	0.0	0.0	210.5	964.7	516.4	473.2	426.2	843.8	1127813.0	1112556.0	234272.018974	237650.995303	471923.014278	223432.5	228882.5	452315.0	66762.0	637452.014278	1005172.0	989915.0	1697174.0	0.739478	1.112793	1525148.075844
sub-1_ses-31_T1w.long.sub-1_base	3864.2	238.3	12222.5	49608.3	8993.0	3832.3	6190.3	2170.3	1070.5	2053.1	20479.4	4287.0	1637.9	827.4	682.0	3970.2	41.1	616.4	6726.3	154.7	11873.2	47693.5	8510.3	4223.0	6488.9	2457.7	4421.4	1882.0	899.3	4062.7	86.5	690.3	0.0	275.2	0.0	0.0	2.0	0.0	0.0	193.1	926.1	531.9	450.0	433.3	827.7	1128794.0	1112968.0	235231.439769	240088.96132	475320.401089	223691.0	228410.0	452101.0	66806.0	639905.401089	1007834.0	992008.0	1705319.0	0.740121	1.118133	1525148.075844
sub-1_ses-32_T1w.long.sub-1_base	3875.5	273.5	12072.8	48671.6	9050.3	3748.7	6110.4	2149.0	1067.8	2100.2	20514.1	4295.5	1625.8	860.1	755.2	3887.9	67.5	567.8	6669.1	145.5	11892.5	47135.4	8589.2	4217.7	6511.3	2477.5	4399.6	1888.1	874.7	4051.4	102.0	700.1	1.0	315.2	0.0	0.0	1.0	0.0	0.0	194.4	892.5	508.7	443.8	422.4	829.5	1127694.0	1111644.0	234979.242264	241154.847736	476134.09	223737.5	227143.5	450881.0	66537.0	638820.09	1008552.0	992502.0	1696580.0	0.7394	1.112403	1525148.075844
sub-1_ses-33_T1w.long.sub-1_base	3752.4	234.4	12510.5	49411.6	9102.9	3784.8	6134.3	2166.6	1056.1	2093.3	20412.7	4344.0	1588.5	787.7	730.5	3925.7	57.5	563.4	6634.7	133.1	12059.0	47810.1	8685.0	4159.0	6518.3	2493.2	4405.3	1932.6	855.3	4053.4	112.3	731.9	0.0	321.3	0.0	0.0	1.0	0.0	0.0	192.8	924.1	552.4	457.8	507.7	766.9	1130290.0	1114726.0	235531.425823	235133.513612	470664.939435	227003.5	230512.5	457516.0	66835.0	635352.939435	1008826.0	993262.0	1706673.0	0.741102	1.119021	1525148.075844
sub-1_ses-34_T1w.long.sub-1_base	3590.1	229.5	12137.0	51107.5	9012.8	3871.5	6167.0	2176.7	989.5	2081.2	20190.5	4243.7	1671.5	778.5	726.1	3924.4	61.3	622.5	6437.9	125.1	11835.0	49502.4	8496.6	4223.6	6301.1	2476.6	4387.2	1884.7	923.7	4036.6	94.4	679.7	1.5	332.8	0.0	0.0	0.0	0.0	0.0	212.5	926.5	557.4	464.8	525.6	782.2	1148226.0	1133220.0	241353.229939	243843.907289	485197.137228	227470.0	231367.0	458837.0	66629.0	652659.137228	1024176.0	1009170.0	1708412.0	0.752862	1.120161	1525148.075844
sub-1_ses-35_T1w.long.sub-1_base	3638.9	224.5	12062.0	50987.7	8934.2	3823.7	6170.2	2176.1	1027.5	2029.7	20272.2	4247.4	1672.6	752.7	731.5	3957.5	45.4	622.3	6414.6	103.3	11920.7	49503.9	8551.8	4320.7	6489.5	2417.0	4431.3	1844.6	894.9	4053.6	81.9	708.1	2.9	321.7	0.0	0.0	1.0	0.0	0.0	205.7	925.8	556.3	455.4	444.9	833.8	1146479.0	1131480.0	239569.304295	245341.132714	484910.437009	225600.0	231920.0	457520.0	66851.0	652570.437009	1022567.0	1007568.0	1708399.0	0.751717	1.120153	1525148.075844
sub-1_ses-36_T1w.long.sub-1_base	3452.2	191.5	12286.7	51799.6	9166.5	3888.4	6204.9	2157.6	981.0	2030.9	20360.2	4283.6	1635.0	731.9	740.4	4024.8	48.5	629.1	6304.1	106.3	11900.8	49509.6	8528.6	4292.6	6383.1	2441.7	4388.7	1848.9	868.7	4083.2	95.1	707.7	2.8	378.1	0.0	0.0	1.0	0.0	0.0	220.0	928.3	521.7	484.4	511.5	786.7	1152862.0	1138323.0	241322.549584	244309.329091	485631.878676	228854.0	233414.0	462268.0	67027.0	654212.878676	1027986.0	1013447.0	1708406.0	0.755902	1.120157	1525148.075844
sub-1_ses-37_T1w.long.sub-1_base	3730.4	209.7	12151.6	51253.2	9126.3	3855.9	6147.9	2136.7	1001.7	2042.2	20070.6	4235.3	1612.9	814.1	691.8	3897.3	57.2	645.5	6610.3	129.7	11864.6	49185.9	8448.0	4191.6	6294.1	2486.8	4394.5	1807.9	870.7	4064.9	92.5	689.1	0.0	320.7	0.0	0.0	1.0	0.0	0.0	250.6	924.2	505.6	477.8	515.0	785.3	1142802.0	1127517.0	236940.330511	242392.573004	479332.903515	226680.5	232484.5	459165.0	66480.0	646667.903515	1018777.0	1003492.0	1708110.0	0.749306	1.119963	1525148.075844
sub-1_ses-38_T1w.long.sub-1_base	3512.0	190.5	12173.2	51765.9	8991.1	3883.1	6199.5	2204.6	974.9	2006.7	20329.6	4268.1	1613.0	744.6	705.4	3980.4	22.9	603.0	6376.5	93.0	12014.2	49505.2	8458.7	4299.5	6360.1	2441.1	4403.6	1861.7	887.5	4137.8	82.2	704.5	5.7	341.0	0.0	0.0	1.0	0.0	0.0	226.4	934.4	516.4	487.9	517.5	785.8	1138332.0	1123802.0	234737.796679	241948.767276	476686.563955	225990.0	231518.0	457508.0	66752.0	645050.563955	1013412.0	998882.0	1708144.0	0.746375	1.119986	1525148.075844
