Measure:volume	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	5th-Ventricle	WM-hypointensities	Left-WM-hypointensities	Right-WM-hypointensities	non-WM-hypointensities	Left-non-WM-hypointensities	Right-non-WM-hypointensities	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior	BrainSegVol	BrainSegVolNotVent	lhCortexVol	rhCortexVol	CortexVol	lhCerebralWhiteMatterVol	rhCerebralWhiteMatterVol	CerebralWhiteMatterVol	SubCortGrayVol	TotalGrayVol	SupraTentorialVol	SupraTentorialVolNotVent	MaskVol	BrainSegVol-to-eTIV	MaskVol-to-eTIV	lhSurfaceHoles	rhSurfaceHoles	SurfaceHoles	EstimatedTotalIntraCranialVol
sub-1_ses-1_T1w	4136.1	146.5	12062.7	51333.6	9793.1	3472.6	5944.2	2140.0	1037.1	1933.7	20883.0	4440.1	1611.3	706.4	653.0	3897.7	19.1	234.5	6759.4	132.4	11754.5	49687.6	9320.5	3794.9	6076.0	2415.5	4558.5	1868.7	723.2	3929.3	13.7	393.8	0.0	502.0	0.0	0.0	0.0	0.0	0.0	161.8	904.6	519.4	469.2	427.2	865.0	1133264.0	1118520.0	234725.745965	236343.135895	471068.881861	228141.0	230367.0	458508.0	66344.0	638114.881861	1009363.0	994619.0	1601198.0	0.744504	1.051916	6.0	10.0	16.0	1522172.901599
sub-1_ses-2_T1w	3897.8	243.1	12823.1	49681.8	8222.1	3372.3	5736.2	2243.3	1037.1	1817.4	20465.5	4215.0	1592.1	704.9	681.1	4124.5	14.1	258.4	6776.5	169.0	12200.7	48232.0	8642.1	3770.7	6125.2	2447.1	4374.6	1827.8	698.3	3946.7	8.4	398.0	0.0	547.8	0.0	0.0	0.0	0.0	0.0	176.2	915.1	502.3	441.8	519.1	759.9	1132915.0	1118508.0	230577.603053	236902.12653	467479.729583	232344.0	234279.0	466623.0	63623.0	628745.729583	1011118.0	996711.0	1583427.0	0.740226	1.034582	2.0	5.0	7.0	1530498.771945
sub-1_ses-3_T1w	3837.5	243.1	13191.9	50000.0	8658.3	3257.5	5654.3	2185.8	1012.2	1876.0	20299.2	4196.3	1590.3	693.0	682.4	4048.2	9.9	233.1	6871.8	165.3	11877.3	48274.5	7419.5	3739.6	5941.8	2463.6	4276.1	1849.3	662.6	4058.7	14.1	375.8	0.0	663.5	0.0	0.0	0.0	0.0	0.0	182.2	897.5	522.3	488.4	437.3	914.4	1141935.0	1127454.0	232391.765355	240016.230862	472407.996217	232182.5	239694.5	471877.0	61960.0	632442.996217	1019546.0	1005065.0	1603884.0	0.745462	1.047025	4.0	4.0	8.0	1531849.496901
sub-1_ses-4_T1w	4061.2	224.2	12667.7	50470.6	9910.5	3513.3	5809.8	2244.6	992.8	1916.1	20895.0	4205.5	1707.7	708.2	663.1	3854.9	19.0	259.7	6854.2	137.1	11814.5	48743.6	9396.7	3861.8	5946.0	2277.2	4369.8	1902.8	716.2	3920.1	22.2	424.6	0.0	737.0	0.0	0.0	0.0	0.0	0.0	167.7	894.0	510.2	435.8	419.6	879.9	1132878.0	1117986.0	232304.398903	237975.137233	470279.536136	226790.5	233151.5	459942.0	65879.0	635241.536136	1010084.0	995192.0	1585088.0	0.740611	1.036241	7.0	9.0	16.0	1529652.251987
sub-1_ses-5_T1w	4190.2	238.3	13016.8	50226.9	9216.2	3461.1	5838.7	2125.9	1061.4	1894.1	20124.3	4225.6	1598.7	731.0	719.9	4066.7	18.2	261.1	6966.0	158.8	11879.6	48314.5	8687.4	3808.0	5997.8	2597.5	4384.5	1899.9	799.0	4088.5	11.5	442.4	0.0	598.9	0.0	0.0	0.0	0.0	0.0	214.1	873.8	568.8	463.4	498.1	785.2	1128682.0	1113547.0	231996.69093	236900.154658	468896.845588	226227.0	231735.0	457962.0	65267.0	632407.845588	1006166.0	991031.0	1596433.0	0.738743	1.044895	6.0	8.0	14.0	1527840.307848
sub-1_ses-6_T1w	4071.9	99.2	12897.7	50301.5	9191.7	3312.1	5748.7	2179.0	1021.3	1856.8	20535.5	4337.6	1640.1	699.1	589.1	4204.0	22.5	268.1	6780.4	124.2	12077.2	48429.4	7943.8	3724.1	5985.2	2469.6	4369.2	1828.5	739.4	4065.7	11.7	398.2	0.0	607.4	0.0	0.0	0.0	0.0	0.0	169.4	952.8	510.3	417.7	525.9	775.2	1138982.0	1124453.0	231105.720625	238966.305547	470072.026172	230956.0	238239.0	469195.0	63705.0	632362.026172	1016121.0	1001592.0	1605672.0	0.748738	1.055528	6.0	3.0	9.0	1521203.295587
sub-1_ses-7_T1w	4125.1	188.9	12092.2	50432.9	9601.0	3513.1	4268.1	2591.9	991.5	1995.8	20538.3	4144.0	1577.0	743.0	593.0	4347.0	0.0	223.0	6758.4	152.2	11534.1	48321.6	8861.3	3959.2	6133.1	2603.9	4472.4	1777.4	694.0	4025.8	20.1	460.7	0.0	563.3	0.0	0.0	0.0	0.0	0.0	166.8	957.9	517.2	456.7	511.0	756.6	1131247.0	1116471.0	231791.001821	238061.441723	469852.443544	229483.5	232592.5	462076.0	64854.0	633134.443544	1010016.0	995240.0	1581445.0	0.745192	1.041753	5.0	6.0	11.0	1518062.105353
sub-1_ses-8_T1w	3850.7	247.1	13297.6	50059.0	8956.5	3459.5	5824.9	2134.2	987.7	1855.4	20447.1	4156.5	1620.5	679.1	707.6	4187.5	23.0	243.0	6682.1	134.4	12294.9	48584.7	7808.5	3928.6	5876.2	2507.0	4230.8	1763.1	657.3	4112.1	10.0	391.9	0.0	634.6	0.0	0.0	0.0	0.0	0.0	202.8	877.9	544.6	463.9	432.4	884.3	1141565.0	1127406.0	233492.348886	237715.332016	471207.680902	232411.0	238366.0	470777.0	63392.0	632814.680902	1018490.0	1004331.0	1586949.0	0.748373	1.040352	3.0	4.0	7.0	1525395.784576
sub-1_ses-9_T1w	4068.9	263.2	12253.6	50548.8	8272.6	3417.5	5593.8	2283.7	1002.2	1900.9	20321.2	3982.1	1626.3	687.4	584.1	4063.0	22.2	187.7	6718.3	151.3	12187.5	48318.2	8191.9	3699.8	5835.1	2318.4	4227.2	1780.5	751.5	4037.8	31.0	383.2	0.0	557.3	0.0	0.0	0.0	0.0	0.0	211.0	905.6	546.2	456.2	452.4	847.7	1133929.0	1119470.0	229199.052299	236564.949866	465764.002165	232887.5	237920.5	470808.0	61893.0	626295.002165	1011715.0	997256.0	1587738.0	0.742272	1.039336	10.0	6.0	16.0	1527645.782925
sub-1_ses-10_T1w	4259.8	169.5	12070.3	51026.5	9287.6	3403.9	5947.8	2119.3	973.0	1986.5	21231.0	4246.4	1620.7	717.5	583.1	3950.8	0.0	317.6	6865.4	102.1	11228.6	48812.5	8946.3	3760.1	6090.5	2159.4	4416.4	1801.9	694.2	3880.4	16.8	363.0	0.0	725.8	0.0	0.0	0.0	0.0	0.0	142.7	913.6	538.7	452.9	426.2	870.8	1137651.0	1122629.0	231632.568953	235648.841385	467281.410338	232954.0	237313.0	470267.0	64400.0	631237.410338	1015765.0	1000743.0	1578696.0	0.747223	1.036906	4.0	7.0	11.0	1522506.165615
