lh.aparc.DKTatlas.volume	lh_caudalanteriorcingulate_volume	lh_caudalmiddlefrontal_volume	lh_cuneus_volume	lh_entorhinal_volume	lh_fusiform_volume	lh_inferiorparietal_volume	lh_inferiortemporal_volume	lh_isthmuscingulate_volume	lh_lateraloccipital_volume	lh_lateralorbitofrontal_volume	lh_lingual_volume	lh_medialorbitofrontal_volume	lh_middletemporal_volume	lh_parahippocampal_volume	lh_paracentral_volume	lh_parsopercularis_volume	lh_parsorbitalis_volume	lh_parstriangularis_volume	lh_pericalcarine_volume	lh_postcentral_volume	lh_posteriorcingulate_volume	lh_precentral_volume	lh_precuneus_volume	lh_rostralanteriorcingulate_volume	lh_rostralmiddlefrontal_volume	lh_superiorfrontal_volume	lh_superiorparietal_volume	lh_superiortemporal_volume	lh_supramarginal_volume	lh_transversetemporal_volume	lh_insula_volume	BrainSegVolNotVent	eTIV
sub-1_ses-29_T1w	3027.0	5777.0	3283.0	1811.0	8112.0	11378.0	11914.0	2901.0	10006.0	8407.0	5325.0	4495.0	13069.0	2576.0	4051.0	3855.0	1851.0	4086.0	2240.0	9959.0	3621.0	13676.0	9591.0	3573.0	11825.0	21536.0	11012.0	17327.0	10062.0	960.0	6369.0	1112475.0	1516067.341611
sub-1_ses-30_T1w	3006.0	5598.0	3371.0	1882.0	8326.0	11575.0	12462.0	3032.0	10118.0	8289.0	5227.0	4618.0	12909.0	2495.0	4068.0	3872.0	1849.0	4077.0	2199.0	9869.0	3423.0	13622.0	9901.0	3835.0	11725.0	21271.0	11286.0	17669.0	10124.0	933.0	6519.0	1118572.0	1524703.256333
sub-1_ses-31_T1w	3021.0	5624.0	3353.0	1834.0	8114.0	11292.0	12145.0	2994.0	10055.0	8343.0	5473.0	4725.0	12732.0	2541.0	4179.0	3952.0	1849.0	3995.0	2404.0	10154.0	3551.0	13877.0	9916.0	3816.0	12143.0	21143.0	11410.0	17572.0	10149.0	949.0	6498.0	1109511.0	1526756.198849
sub-1_ses-32_T1w	3031.0	5895.0	3287.0	1940.0	8313.0	11756.0	12148.0	2957.0	10127.0	8415.0	5559.0	4701.0	13147.0	2496.0	4196.0	3895.0	1822.0	4035.0	2255.0	10161.0	3607.0	13964.0	9804.0	3713.0	12243.0	21631.0	11362.0	17845.0	10385.0	980.0	6478.0	1125886.0	1517587.725836
sub-1_ses-33_T1w	3075.0	6038.0	3453.0	2188.0	8234.0	11785.0	12167.0	3017.0	10334.0	8596.0	5354.0	4574.0	13020.0	2668.0	4114.0	3919.0	1854.0	4107.0	2265.0	10092.0	3461.0	14488.0	9745.0	3725.0	12222.0	21747.0	11289.0	17591.0	10423.0	980.0	6393.0	1119589.0	1533417.255795
sub-1_ses-34_T1w	3131.0	6064.0	3509.0	1938.0	8667.0	11715.0	12359.0	3078.0	10252.0	8400.0	5390.0	5007.0	13113.0	2426.0	4165.0	3983.0	1815.0	3957.0	2271.0	10243.0	3486.0	14449.0	9858.0	3778.0	12780.0	22164.0	11547.0	17353.0	10215.0	1005.0	6520.0	1132027.0	1503403.154632
sub-1_ses-35_T1w	3080.0	6071.0	3354.0	1803.0	8816.0	12003.0	12296.0	3003.0	10660.0	8320.0	5301.0	4964.0	13495.0	2550.0	4236.0	3967.0	1836.0	4011.0	2219.0	10135.0	3598.0	14548.0	9552.0	3750.0	12600.0	22141.0	11450.0	17904.0	10441.0	913.0	6457.0	1147765.0	1502353.297981
sub-1_ses-36_T1w	3025.0	6093.0	3410.0	1704.0	8995.0	11680.0	12549.0	3025.0	10722.0	8214.0	5415.0	4902.0	13081.0	2293.0	4197.0	3970.0	1833.0	3917.0	2225.0	10155.0	3513.0	14277.0	9732.0	3642.0	12377.0	22181.0	11443.0	17777.0	10446.0	973.0	6428.0	1138930.0	1504065.528451
sub-1_ses-37_T1w	3097.0	6069.0	3512.0	1891.0	8705.0	12026.0	12395.0	2940.0	10414.0	8454.0	5267.0	5075.0	13206.0	2501.0	4149.0	3977.0	1792.0	4007.0	2264.0	9896.0	3536.0	14224.0	9982.0	3761.0	12442.0	21979.0	11595.0	17223.0	10219.0	940.0	6459.0	1134308.0	1499907.811028
sub-1_ses-38_T1w	3155.0	6085.0	3406.0	1934.0	8586.0	11778.0	12115.0	2869.0	10459.0	8256.0	5520.0	5065.0	13178.0	2626.0	4186.0	3873.0	1967.0	4101.0	2189.0	9964.0	3571.0	13957.0	9681.0	3607.0	12332.0	22158.0	11318.0	17269.0	10136.0	889.0	6492.0	1134785.0	1500552.226923
