lh.aparc.DKTatlas.area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-1_ses-1_T1w	1040.0	2004.0	1735.0	396.0	2747.0	4230.0	3269.0	1091.0	4229.0	2889.0	2675.0	1646.0	4045.0	635.0	1495.0	1302.0	649.0	1553.0	1407.0	4400.0	1288.0	4733.0	3963.0	1233.0	4308.0	6972.0	4852.0	4874.0	3614.0	397.0	2019.0	81690.9	1118520.0	1522172.901599
sub-1_ses-2_T1w	1044.0	2044.0	1691.0	383.0	2729.0	4362.0	3257.0	1124.0	4353.0	2850.0	2666.0	1672.0	4126.0	665.0	1492.0	1296.0	630.0	1679.0	1394.0	4434.0	1296.0	4769.0	3899.0	1201.0	4286.0	7056.0	4911.0	4866.0	3682.0	399.0	1981.0	82236.0	1118508.0	1530498.771945
sub-1_ses-3_T1w	980.0	2030.0	1694.0	393.0	2739.0	4342.0	3249.0	1095.0	4350.0	2798.0	2671.0	1648.0	4106.0	659.0	1518.0	1296.0	651.0	1672.0	1440.0	4422.0	1231.0	4797.0	3886.0	1137.0	4286.0	7059.0	4890.0	4919.0	3642.0	393.0	2022.0	82010.6	1127454.0	1531849.496901
sub-1_ses-4_T1w	1054.0	2033.0	1712.0	404.0	2762.0	4234.0	3221.0	1106.0	4243.0	2809.0	2757.0	1605.0	4114.0	667.0	1538.0	1287.0	632.0	1642.0	1451.0	4386.0	1285.0	4757.0	3936.0	1168.0	4195.0	6929.0	4856.0	4915.0	3611.0	389.0	1976.0	81673.4	1117986.0	1529652.251987
sub-1_ses-5_T1w	998.0	2021.0	1681.0	398.0	2829.0	4263.0	3276.0	1090.0	4363.0	2783.0	2747.0	1642.0	4127.0	678.0	1508.0	1308.0	639.0	1672.0	1451.0	4403.0	1241.0	4783.0	3900.0	1166.0	4264.0	6907.0	4826.0	4932.0	3639.0	407.0	2021.0	81963.0	1113547.0	1527840.307848
sub-1_ses-6_T1w	1014.0	2018.0	1759.0	406.0	2784.0	4317.0	3299.0	1142.0	4256.0	2871.0	2733.0	1698.0	4098.0	663.0	1533.0	1295.0	655.0	1616.0	1453.0	4376.0	1292.0	4792.0	3941.0	1173.0	4225.0	6949.0	4878.0	4939.0	3652.0	409.0	2012.0	82249.6	1124453.0	1521203.295587
sub-1_ses-7_T1w	1020.0	2026.0	1724.0	413.0	2757.0	4204.0	3275.0	1156.0	4385.0	2841.0	2863.0	1599.0	4121.0	673.0	1470.0	1276.0	641.0	1664.0	1493.0	4377.0	1266.0	4777.0	3926.0	1210.0	4250.0	6952.0	4808.0	4942.0	3597.0	410.0	2003.0	82120.5	1116471.0	1518062.105353
sub-1_ses-8_T1w	1003.0	2060.0	1761.0	433.0	2829.0	4313.0	3336.0	1115.0	4330.0	2936.0	2787.0	1688.0	4096.0	665.0	1536.0	1296.0	647.0	1662.0	1474.0	4430.0	1260.0	4786.0	3991.0	1182.0	4341.0	6985.0	4871.0	4962.0	3710.0	406.0	2019.0	82909.4	1127406.0	1525395.784576
sub-1_ses-9_T1w	1046.0	2033.0	1732.0	413.0	2779.0	4281.0	3278.0	1147.0	4284.0	2863.0	2649.0	1623.0	4072.0	657.0	1517.0	1282.0	626.0	1603.0	1420.0	4444.0	1297.0	4817.0	3899.0	1216.0	4287.0	6988.0	4905.0	4908.0	3663.0	394.0	1998.0	82123.5	1119470.0	1527645.782925
sub-1_ses-10_T1w	1005.0	2031.0	1749.0	393.0	2828.0	4295.0	3287.0	1119.0	4251.0	2903.0	2780.0	1668.0	4087.0	649.0	1520.0	1310.0	627.0	1656.0	1527.0	4458.0	1310.0	4758.0	3936.0	1234.0	4305.0	6997.0	4874.0	4986.0	3595.0	408.0	2033.0	82581.0	1122629.0	1522506.165615
