rh.aparc.a2009s.volume	rh_G_and_S_frontomargin_volume	rh_G_and_S_occipital_inf_volume	rh_G_and_S_paracentral_volume	rh_G_and_S_subcentral_volume	rh_G_and_S_transv_frontopol_volume	rh_G_and_S_cingul-Ant_volume	rh_G_and_S_cingul-Mid-Ant_volume	rh_G_and_S_cingul-Mid-Post_volume	rh_G_cingul-Post-dorsal_volume	rh_G_cingul-Post-ventral_volume	rh_G_cuneus_volume	rh_G_front_inf-Opercular_volume	rh_G_front_inf-Orbital_volume	rh_G_front_inf-Triangul_volume	rh_G_front_middle_volume	rh_G_front_sup_volume	rh_G_Ins_lg_and_S_cent_ins_volume	rh_G_insular_short_volume	rh_G_occipital_middle_volume	rh_G_occipital_sup_volume	rh_G_oc-temp_lat-fusifor_volume	rh_G_oc-temp_med-Lingual_volume	rh_G_oc-temp_med-Parahip_volume	rh_G_orbital_volume	rh_G_pariet_inf-Angular_volume	rh_G_pariet_inf-Supramar_volume	rh_G_parietal_sup_volume	rh_G_postcentral_volume	rh_G_precentral_volume	rh_G_precuneus_volume	rh_G_rectus_volume	rh_G_subcallosal_volume	rh_G_temp_sup-G_T_transv_volume	rh_G_temp_sup-Lateral_volume	rh_G_temp_sup-Plan_polar_volume	rh_G_temp_sup-Plan_tempo_volume	rh_G_temporal_inf_volume	rh_G_temporal_middle_volume	rh_Lat_Fis-ant-Horizont_volume	rh_Lat_Fis-ant-Vertical_volume	rh_Lat_Fis-post_volume	rh_Pole_occipital_volume	rh_Pole_temporal_volume	rh_S_calcarine_volume	rh_S_central_volume	rh_S_cingul-Marginalis_volume	rh_S_circular_insula_ant_volume	rh_S_circular_insula_inf_volume	rh_S_circular_insula_sup_volume	rh_S_collat_transv_ant_volume	rh_S_collat_transv_post_volume	rh_S_front_inf_volume	rh_S_front_middle_volume	rh_S_front_sup_volume	rh_S_interm_prim-Jensen_volume	rh_S_intrapariet_and_P_trans_volume	rh_S_oc_middle_and_Lunatus_volume	rh_S_oc_sup_and_transversal_volume	rh_S_occipital_ant_volume	rh_S_oc-temp_lat_volume	rh_S_oc-temp_med_and_Lingual_volume	rh_S_orbital_lateral_volume	rh_S_orbital_med-olfact_volume	rh_S_orbital-H_Shaped_volume	rh_S_parieto_occipital_volume	rh_S_pericallosal_volume	rh_S_postcentral_volume	rh_S_precentral-inf-part_volume	rh_S_precentral-sup-part_volume	rh_S_suborbital_volume	rh_S_subparietal_volume	rh_S_temporal_inf_volume	rh_S_temporal_sup_volume	rh_S_temporal_transverse_volume	BrainSegVolNotVent	eTIV
sub-1_ses-1_T1w	2069.0	2327.0	2155.0	3655.0	2454.0	5793.0	2970.0	2666.0	1842.0	794.0	2827.0	2798.0	909.0	1891.0	11045.0	14717.0	1670.0	2299.0	5335.0	2333.0	4503.0	4240.0	4310.0	6105.0	6483.0	6191.0	5505.0	4320.0	6455.0	5720.0	2341.0	1020.0	650.0	4833.0	2278.0	1574.0	6901.0	9015.0	514.0	371.0	1570.0	4976.0	5672.0	2588.0	3511.0	1880.0	1253.0	1804.0	2381.0	2086.0	484.0	2221.0	3336.0	3705.0	494.0	4632.0	994.0	1822.0	1137.0	1513.0	2710.0	469.0	1165.0	2497.0	3280.0	1103.0	3790.0	2215.0	1772.0	571.0	1882.0	1794.0	8588.0	381.0	1118520.0	1522172.901599
sub-1_ses-2_T1w	1814.0	2317.0	2267.0	3536.0	2523.0	5913.0	2525.0	2653.0	1899.0	810.0	2878.0	2838.0	628.0	2189.0	11574.0	15622.0	1575.0	2050.0	5131.0	2215.0	4531.0	4212.0	3961.0	6402.0	6386.0	6302.0	5197.0	4400.0	6478.0	5802.0	2378.0	1088.0	661.0	5034.0	2393.0	1395.0	7132.0	8811.0	549.0	375.0	1749.0	5054.0	5828.0	2470.0	3189.0	2081.0	1195.0	1743.0	2306.0	2026.0	506.0	2236.0	3463.0	3474.0	443.0	4413.0	1074.0	1728.0	1129.0	1543.0	2557.0	549.0	1262.0	2680.0	3163.0	953.0	3573.0	2312.0	1981.0	589.0	1956.0	1725.0	8838.0	400.0	1118508.0	1530498.771945
sub-1_ses-3_T1w	2063.0	2316.0	2289.0	3441.0	2605.0	5672.0	2700.0	2695.0	1734.0	843.0	2814.0	3033.0	583.0	1952.0	11952.0	15937.0	1786.0	2207.0	5151.0	2216.0	4416.0	4356.0	4257.0	6373.0	6999.0	6157.0	5224.0	4499.0	6863.0	5583.0	2530.0	1199.0	701.0	4915.0	2334.0	1415.0	7060.0	8895.0	681.0	387.0	1716.0	4872.0	5641.0	2421.0	3488.0	2148.0	1193.0	1687.0	2294.0	2030.0	423.0	2326.0	3171.0	3696.0	482.0	4841.0	1006.0	1808.0	1164.0	1688.0	2656.0	548.0	1185.0	2612.0	3270.0	1252.0	3713.0	2447.0	1697.0	594.0	1992.0	1919.0	8625.0	381.0	1127454.0	1531849.496901
sub-1_ses-4_T1w	2191.0	2179.0	2278.0	3755.0	2320.0	5865.0	3054.0	2667.0	1874.0	763.0	2861.0	2852.0	599.0	2298.0	11539.0	14938.0	1758.0	2047.0	5144.0	2447.0	4524.0	4252.0	3960.0	6239.0	6512.0	6239.0	5434.0	4476.0	6946.0	5846.0	2182.0	1213.0	664.0	4947.0	2483.0	1512.0	6989.0	8900.0	581.0	384.0	1560.0	4635.0	5577.0	2436.0	3392.0	1862.0	1270.0	1635.0	2479.0	1994.0	515.0	2227.0	3529.0	3736.0	428.0	4490.0	1005.0	1752.0	1106.0	1480.0	2567.0	478.0	1299.0	2586.0	3197.0	1058.0	3955.0	2353.0	1665.0	611.0	1970.0	1908.0	8485.0	452.0	1117986.0	1529652.251987
sub-1_ses-5_T1w	2122.0	2189.0	2221.0	3588.0	2542.0	5869.0	2648.0	2620.0	1697.0	824.0	2948.0	2794.0	673.0	2061.0	11644.0	15114.0	1669.0	2194.0	5250.0	2303.0	4216.0	4435.0	3990.0	6350.0	6394.0	6192.0	5428.0	4432.0	6680.0	5710.0	2269.0	1115.0	652.0	4994.0	2331.0	1394.0	7235.0	8869.0	572.0	397.0	1639.0	4828.0	5665.0	2530.0	3364.0	1930.0	1245.0	1741.0	2491.0	2017.0	550.0	2260.0	3264.0	3563.0	490.0	4299.0	895.0	1765.0	1102.0	1555.0	2591.0	524.0	1242.0	2519.0	3195.0	1205.0	3746.0	2274.0	1930.0	664.0	2021.0	1701.0	8714.0	388.0	1113547.0	1527840.307848
sub-1_ses-6_T1w	2087.0	2235.0	2207.0	3665.0	2598.0	5755.0	2950.0	2555.0	1856.0	767.0	2885.0	2771.0	657.0	2242.0	11531.0	15164.0	1637.0	2231.0	5360.0	2371.0	4481.0	4109.0	4283.0	6018.0	6752.0	6288.0	5727.0	4613.0	6770.0	5724.0	2343.0	1166.0	682.0	5069.0	2212.0	1366.0	7199.0	8984.0	553.0	372.0	1699.0	4799.0	5692.0	2392.0	3306.0	2024.0	1258.0	1764.0	2327.0	2005.0	496.0	2198.0	3513.0	3464.0	509.0	4459.0	1020.0	1705.0	1142.0	1581.0	2694.0	584.0	1465.0	2612.0	3272.0	995.0	3732.0	2521.0	1857.0	590.0	2073.0	1807.0	8627.0	460.0	1124453.0	1521203.295587
sub-1_ses-7_T1w	1939.0	2240.0	2337.0	3725.0	2515.0	5728.0	2606.0	2595.0	1835.0	810.0	2887.0	2854.0	750.0	2017.0	11274.0	15204.0	1750.0	2239.0	5497.0	2238.0	4551.0	4215.0	4150.0	6644.0	6475.0	6164.0	5536.0	4405.0	6776.0	5715.0	2330.0	1179.0	660.0	5015.0	2274.0	1404.0	6876.0	8924.0	646.0	379.0	1566.0	4956.0	5592.0	2516.0	3423.0	1905.0	1322.0	1594.0	2315.0	2060.0	498.0	2467.0	3522.0	3676.0	442.0	4501.0	826.0	1837.0	1210.0	1640.0	2507.0	477.0	1378.0	2567.0	3169.0	1074.0	3722.0	2381.0	1590.0	659.0	1821.0	1870.0	8889.0	494.0	1116471.0	1518062.105353
sub-1_ses-8_T1w	2041.0	2205.0	2240.0	3676.0	2414.0	5789.0	3018.0	2639.0	1755.0	791.0	2956.0	2663.0	809.0	2029.0	11744.0	15051.0	1761.0	2025.0	5237.0	2125.0	4588.0	4273.0	4176.0	6385.0	6943.0	6207.0	5526.0	4530.0	6824.0	5791.0	2444.0	1303.0	669.0	4919.0	2376.0	1444.0	6956.0	9056.0	555.0	415.0	1479.0	4802.0	5611.0	2486.0	3420.0	1861.0	1142.0	1861.0	2402.0	2037.0	483.0	2062.0	3295.0	3711.0	456.0	4361.0	913.0	1750.0	1156.0	1619.0	2543.0	579.0	1190.0	2411.0	3183.0	1127.0	3761.0	2388.0	1616.0	581.0	1938.0	1806.0	8604.0	454.0	1127406.0	1525395.784576
sub-1_ses-9_T1w	1986.0	2247.0	2261.0	3499.0	2408.0	5345.0	2964.0	2512.0	1655.0	798.0	2754.0	2771.0	981.0	1746.0	11357.0	15446.0	1682.0	1946.0	5376.0	2112.0	4306.0	4454.0	4241.0	6230.0	6659.0	6020.0	5435.0	4398.0	6521.0	5609.0	2301.0	1051.0	696.0	4975.0	2460.0	1400.0	6906.0	8836.0	551.0	430.0	1676.0	4947.0	5558.0	2545.0	3539.0	2199.0	1212.0	1700.0	2463.0	2008.0	463.0	2274.0	3298.0	3760.0	423.0	4621.0	881.0	1822.0	1209.0	1645.0	2576.0	599.0	1263.0	2603.0	3155.0	1073.0	3698.0	2438.0	1649.0	566.0	2146.0	1775.0	8885.0	364.0	1119470.0	1527645.782925
sub-1_ses-10_T1w	2041.0	2034.0	2135.0	3708.0	2448.0	5632.0	2894.0	2565.0	1747.0	742.0	2905.0	2679.0	656.0	2206.0	11548.0	15039.0	1616.0	2082.0	5154.0	2121.0	4510.0	4253.0	4036.0	6331.0	6383.0	6181.0	5309.0	4315.0	6566.0	5773.0	2230.0	1026.0	702.0	5036.0	2308.0	1430.0	6947.0	8906.0	549.0	391.0	1665.0	4895.0	5777.0	2413.0	3445.0	2055.0	1165.0	1681.0	2442.0	2078.0	498.0	2302.0	3414.0	3358.0	494.0	4377.0	987.0	1702.0	1265.0	1860.0	2556.0	587.0	1224.0	2634.0	3166.0	1002.0	3830.0	2265.0	1594.0	537.0	1982.0	1848.0	8748.0	380.0	1122629.0	1522506.165615
