rh.aparc.volume	rh_bankssts_volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_frontalpole_volume	rh_temporalpole_volume	rh_transversetemporal_volume	rh_insula_volume	BrainSegVolNotVent	eTIV
sub-1_ses-1_T1w	1956.0	1848.0	5283.0	3031.0	2367.0	9209.0	13705.0	10897.0	2573.0	11153.0	7208.0	6525.0	5947.0	12151.0	2149.0	3611.0	3321.0	2363.0	3919.0	2340.0	10453.0	3434.0	13590.0	10759.0	1695.0	17007.0	20566.0	13237.0	11545.0	9828.0	1220.0	2641.0	718.0	7905.0	1118520.0	1522172.901599
sub-1_ses-2_T1w	1873.0	1817.0	5805.0	2960.0	2111.0	9240.0	13788.0	11131.0	2464.0	11023.0	7438.0	6383.0	6085.0	11953.0	2056.0	3648.0	3406.0	2509.0	4023.0	2277.0	10168.0	3416.0	13514.0	10911.0	1776.0	16906.0	20838.0	13025.0	11563.0	9749.0	1144.0	2922.0	710.0	8001.0	1118508.0	1530498.771945
sub-1_ses-3_T1w	2007.0	1916.0	5639.0	2849.0	2245.0	9330.0	14179.0	11179.0	2572.0	10888.0	7621.0	6360.0	5941.0	12075.0	2121.0	3682.0	3496.0	2545.0	3924.0	2224.0	10502.0	3568.0	13936.0	10803.0	1682.0	17654.0	21709.0	13173.0	11419.0	9941.0	1280.0	2857.0	711.0	7790.0	1127454.0	1531849.496901
sub-1_ses-4_T1w	1860.0	1848.0	5575.0	3069.0	2142.0	9233.0	13492.0	11066.0	2502.0	10705.0	7306.0	6480.0	5858.0	12217.0	2014.0	3645.0	3431.0	2503.0	3992.0	2196.0	10642.0	3509.0	14069.0	10821.0	1662.0	17558.0	20787.0	13056.0	11684.0	9914.0	1062.0	2714.0	717.0	8075.0	1117986.0	1529652.251987
sub-1_ses-5_T1w	1912.0	1888.0	5637.0	3017.0	2142.0	9310.0	13699.0	10938.0	2529.0	10952.0	7412.0	6446.0	6014.0	12102.0	2037.0	3670.0	3414.0	2525.0	3833.0	2321.0	10547.0	3498.0	13762.0	10682.0	1775.0	17239.0	20840.0	12894.0	11391.0	9707.0	1117.0	2766.0	718.0	7799.0	1113547.0	1527840.307848
sub-1_ses-6_T1w	1812.0	1781.0	5501.0	3003.0	2402.0	9178.0	14060.0	11297.0	2487.0	10824.0	7385.0	6427.0	6266.0	12180.0	1968.0	3525.0	3513.0	2465.0	3976.0	2156.0	10658.0	3445.0	13810.0	11018.0	1675.0	17683.0	20949.0	13393.0	11720.0	10031.0	1138.0	2692.0	698.0	7763.0	1124453.0	1521203.295587
sub-1_ses-7_T1w	1924.0	1804.0	5533.0	2988.0	2179.0	9235.0	13892.0	11003.0	2568.0	11008.0	7639.0	6432.0	6068.0	12214.0	2163.0	3524.0	3545.0	2561.0	4083.0	2190.0	10550.0	3418.0	13803.0	10807.0	1722.0	17440.0	20690.0	12953.0	11561.0	9941.0	1151.0	2776.0	692.0	7765.0	1116471.0	1518062.105353
sub-1_ses-8_T1w	1807.0	1859.0	5777.0	3017.0	2129.0	9381.0	13954.0	11009.0	2577.0	10583.0	7226.0	6515.0	6050.0	12302.0	2078.0	3558.0	3317.0	2340.0	3916.0	2305.0	10732.0	3448.0	13762.0	10616.0	1728.0	17196.0	20903.0	13078.0	11770.0	9718.0	1129.0	2834.0	755.0	8066.0	1127406.0	1525395.784576
sub-1_ses-9_T1w	2013.0	1784.0	5626.0	2797.0	2330.0	9060.0	14247.0	10858.0	2534.0	10741.0	7613.0	6510.0	5827.0	12104.0	2132.0	3571.0	3527.0	2480.0	3926.0	2369.0	10369.0	3407.0	13888.0	10779.0	1684.0	16986.0	20815.0	13103.0	11334.0	9753.0	1151.0	2747.0	701.0	7590.0	1119470.0	1527645.782925
sub-1_ses-10_T1w	1874.0	1787.0	5462.0	2981.0	2325.0	9324.0	13781.0	11013.0	2445.0	10829.0	7221.0	6374.0	5894.0	12276.0	1978.0	3493.0	3329.0	2513.0	3960.0	2174.0	10344.0	3412.0	13592.0	10843.0	1757.0	17319.0	20527.0	12725.0	11693.0	9860.0	1075.0	2776.0	677.0	7726.0	1122629.0	1522506.165615
