rh.aparc.DKTatlas.volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_transversetemporal_volume	rh_insula_volume	BrainSegVolNotVent	eTIV	rh_temporalpole_volume
sub-1_ses-15_T1w	1908.0	5395.0	3572.0	1662.0	8263.0	13393.0	12250.0	2475.0	11068.0	8349.0	6374.0	4317.0	13526.0	2059.0	3642.0	3535.0	1874.0	3994.0	2128.0	11274.0	3425.0	12899.0	10712.0	2157.0	12430.0	26743.0	11234.0	15830.0	9318.0	739.0	6697.0	1125847.0	1518894.995241	0.0
sub-1_ses-16_T1w	1930.0	5824.0	3614.0	1766.0	8150.0	13537.0	12225.0	2437.0	10694.0	8585.0	6349.0	4290.0	13159.0	2012.0	3944.0	3771.0	1886.0	3864.0	2294.0	10993.0	3496.0	12953.0	10957.0	2136.0	12372.0	27183.0	11188.0	15071.0	9080.0	728.0	6634.0	1117342.0	1514997.76313	0.0
sub-1_ses-17_T1w	1909.0	5768.0	3627.0	2088.0	8253.0	13716.0	12362.0	2481.0	10781.0	8683.0	6347.0	4328.0	13848.0	2064.0	3755.0	3596.0	1900.0	3965.0	2127.0	11311.0	3353.0	13103.0	10824.0	2218.0	12578.0	26916.0	11260.0	15867.0	9295.0	737.0	6727.0	1120152.0	1520894.239342	0.0
sub-1_ses-18_T1w	1980.0	5505.0	3650.0	1939.0	8255.0	13808.0	12185.0	2510.0	11199.0	8662.0	6536.0	4362.0	13758.0	2156.0	4036.0	3922.0	2016.0	3987.0	2237.0	11260.0	3505.0	13050.0	10975.0	2178.0	12643.0	27739.0	11366.0	16116.0	9579.0	766.0	6764.0	1125119.0	1524080.00663	0.0
sub-1_ses-19_T1w	1858.0	5775.0	3604.0	1921.0	8256.0	13556.0	12269.0	2593.0	10712.0	8543.0	6376.0	4310.0	13497.0	2115.0	3957.0	3655.0	1833.0	3947.0	2146.0	11212.0	3516.0	13060.0	10707.0	2148.0	12416.0	27307.0	11218.0	15958.0	9004.0	732.0	6765.0	1120296.0	1511396.779697	0.0
sub-1_ses-20_T1w	1952.0	5661.0	3662.0	2127.0	8006.0	13223.0	11588.0	2517.0	10655.0	8593.0	6409.0	4424.0	12313.0	2125.0	4043.0	3717.0	1929.0	3825.0	2245.0	11011.0	3434.0	12770.0	10865.0	2009.0	12456.0	27047.0	11208.0	15168.0	9058.0	745.0	6717.0	1120909.0	1521727.123289	0.0
sub-1_ses-21_T1w	2004.0	5607.0	3559.0	1786.0	8156.0	13480.0	11973.0	2405.0	10774.0	8558.0	6208.0	4402.0	13548.0	2234.0	3897.0	3903.0	1978.0	4186.0	2118.0	11429.0	3429.0	13127.0	10935.0	2166.0	12727.0	27640.0	11511.0	15952.0	9407.0	722.0	6876.0	1117714.0	1522418.22647	0.0
sub-1_ses-22_T1w	1966.0	5877.0	3710.0	2240.0	8423.0	13594.0	11879.0	2461.0	10871.0	8604.0	6426.0	4170.0	13527.0	2126.0	4045.0	3792.0	1945.0	3943.0	2319.0	11263.0	3554.0	13247.0	11207.0	2105.0	12584.0	27622.0	11453.0	15662.0	9380.0	755.0	6808.0	1117548.0	1531738.652034	0.0
sub-1_ses-23_T1w	2002.0	5877.0	3640.0	2052.0	8253.0	14008.0	12244.0	2559.0	11245.0	8510.0	6672.0	4234.0	13832.0	2249.0	4113.0	4041.0	2056.0	4084.0	2262.0	11748.0	3604.0	13498.0	11291.0	2115.0	12791.0	27976.0	11715.0	16014.0	9608.0	741.0	6824.0	1125378.0	1529547.594429	0.0
sub-1_ses-24_T1w	1964.0	5998.0	3674.0	1917.0	8322.0	14091.0	12346.0	2493.0	11039.0	8636.0	6282.0	4447.0	13742.0	2109.0	3928.0	3721.0	1830.0	3952.0	2059.0	11599.0	3607.0	13305.0	11247.0	2071.0	13042.0	27984.0	11567.0	15913.0	9377.0	769.0	6800.0	1132691.0	1527441.742103	0.0
