rh.aparc.DKTatlas.volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_transversetemporal_volume	rh_insula_volume	BrainSegVolNotVent	eTIV
sub-2_ses-31_T1w	2521.0	6002.0	4613.0	2010.0	9556.0	17538.0	15247.0	2305.0	12749.0	10905.0	8011.0	6213.0	14452.0	1990.0	4501.0	4874.0	2591.0	4479.0	2269.0	10627.0	3023.0	13016.0	12287.0	3033.0	13309.0	31519.0	13323.0	17523.0	10227.0	1035.0	6607.0	1310970.0	1636262.738909
sub-2_ses-32_T1w	2556.0	5792.0	4827.0	1906.0	9870.0	17388.0	14685.0	2243.0	12760.0	10833.0	8089.0	6195.0	14199.0	1955.0	4400.0	5189.0	2530.0	4194.0	2275.0	10445.0	3240.0	12844.0	12065.0	3072.0	12872.0	31493.0	13280.0	16929.0	10165.0	1002.0	6541.0	1304827.0	1630004.557942
sub-2_ses-33_T1w	2489.0	5847.0	4522.0	1943.0	9797.0	17859.0	14887.0	2415.0	12496.0	10720.0	8288.0	6037.0	14532.0	2106.0	4460.0	5096.0	2609.0	4239.0	2448.0	10386.0	2779.0	13091.0	12579.0	2966.0	12937.0	31919.0	13595.0	17601.0	10253.0	1011.0	6714.0	1314538.0	1653611.591144
sub-2_ses-34_T1w	2128.0	5925.0	4378.0	1703.0	9325.0	16890.0	15294.0	2239.0	11911.0	10703.0	7840.0	5966.0	13848.0	1984.0	4209.0	4786.0	2419.0	4135.0	2327.0	10124.0	2715.0	12339.0	11827.0	2982.0	12629.0	30531.0	12873.0	16861.0	9906.0	942.0	6530.0	1292732.0	1670095.132907
sub-2_ses-35_T1w	2395.0	5786.0	4444.0	1930.0	9839.0	16828.0	14820.0	2342.0	12158.0	10095.0	8076.0	6031.0	13892.0	2051.0	4518.0	5007.0	2371.0	4119.0	2203.0	10386.0	2860.0	12718.0	12184.0	2945.0	12881.0	31320.0	13046.0	17171.0	9864.0	991.0	6654.0	1302889.0	1636225.221821
sub-2_ses-36_T1w	2711.0	6537.0	5120.0	1647.0	9601.0	17460.0	15461.0	2201.0	12770.0	10819.0	7820.0	6394.0	14118.0	1982.0	4469.0	4821.0	2295.0	4452.0	2264.0	10921.0	3286.0	13479.0	12624.0	3079.0	13861.0	32283.0	13795.0	17350.0	10371.0	1006.0	6572.0	1327908.0	1647698.579216
sub-2_ses-37_T1w	2509.0	6416.0	4710.0	1619.0	9353.0	16944.0	14870.0	2189.0	11717.0	10378.0	8010.0	5704.0	13491.0	2102.0	4263.0	5064.0	2363.0	4249.0	2019.0	10236.0	2741.0	12777.0	12024.0	2971.0	13331.0	31655.0	12987.0	16657.0	10173.0	1058.0	6610.0	1313180.0	1647136.248558
sub-2_ses-38_T1w	2498.0	6377.0	4974.0	1810.0	9596.0	17053.0	14472.0	2233.0	11990.0	10571.0	7913.0	5972.0	13733.0	1914.0	4423.0	4937.0	2192.0	4223.0	2136.0	10580.0	2812.0	12742.0	11981.0	3045.0	13228.0	31764.0	13083.0	17034.0	10156.0	1014.0	6661.0	1308214.0	1639297.80962
sub-2_ses-39_T1w	2319.0	6152.0	5032.0	1825.0	9557.0	16951.0	14774.0	2218.0	12347.0	10740.0	7601.0	5969.0	13907.0	2022.0	4386.0	4875.0	2415.0	4165.0	2062.0	10423.0	2839.0	12785.0	12071.0	3106.0	13039.0	31369.0	13055.0	17087.0	10033.0	985.0	6446.0	1314503.0	1634449.798608
sub-2_ses-40_T1w	2274.0	5926.0	4709.0	1727.0	9499.0	16589.0	14941.0	2131.0	12160.0	10305.0	7743.0	5840.0	13574.0	1908.0	4313.0	4812.0	2397.0	4185.0	2279.0	10300.0	2736.0	12535.0	12009.0	3060.0	12784.0	31529.0	12900.0	16882.0	9965.0	902.0	6420.0	1317729.0	1640552.805757
