Measure:volume	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	5th-Ventricle	WM-hypointensities	Left-WM-hypointensities	Right-WM-hypointensities	non-WM-hypointensities	Left-non-WM-hypointensities	Right-non-WM-hypointensities	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior	BrainSegVol	BrainSegVolNotVent	lhCortexVol	rhCortexVol	CortexVol	lhCerebralWhiteMatterVol	rhCerebralWhiteMatterVol	CerebralWhiteMatterVol	SubCortGrayVol	TotalGrayVol	SupraTentorialVol	SupraTentorialVolNotVent	MaskVol	BrainSegVol-to-eTIV	MaskVol-to-eTIV	lhSurfaceHoles	rhSurfaceHoles	SurfaceHoles	EstimatedTotalIntraCranialVol
sub-2_ses-1_T1w	6756.7	414.4	18039.8	71350.1	11128.2	4265.3	5797.4	2313.0	910.6	2485.5	26045.2	4620.0	1704.0	1149.2	544.0	4510.2	0.0	273.1	6811.1	369.4	17245.5	70680.0	10356.6	4442.4	5648.9	2277.0	4580.1	1745.0	720.3	4664.5	14.5	413.5	0.0	564.8	0.0	0.0	0.0	0.0	0.0	162.3	1201.6	696.6	839.1	736.3	887.9	1328324.0	1309546.0	268545.329519	269711.849716	538257.179235	263687.5	262041.5	525729.0	71247.0	751230.179235	1152544.0	1133766.0	1774965.0	0.786136	1.050469	25.0	14.0	39.0	1689687.894476
sub-2_ses-2_T1w	6635.1	429.8	19604.3	71020.8	10320.8	4189.7	5751.5	2095.2	932.8	2458.3	26633.6	4578.2	1577.0	1069.8	626.5	4788.0	13.3	247.3	6906.2	343.5	17428.4	71149.3	10068.4	4246.6	5478.3	2191.4	4578.8	1710.8	785.3	4955.6	14.7	381.7	0.0	462.4	0.0	0.0	0.0	0.0	0.0	164.6	1214.0	912.6	1079.8	756.2	891.6	1322832.0	1304229.0	265146.744299	263318.08095	528464.82525	266544.0	262958.0	529502.0	69921.0	740174.82525	1145226.0	1126623.0	1757612.0	0.794854	1.056102	12.0	17.0	29.0	1664244.346295
sub-2_ses-3_T1w	6541.7	419.8	18891.1	71812.0	10772.7	4047.6	5501.4	2013.1	983.9	2432.8	26716.8	4742.0	1584.2	1117.7	641.1	4736.9	22.4	246.6	6615.8	347.4	17471.6	70522.9	10128.0	4302.1	5832.4	2160.1	4547.4	1837.8	831.9	4632.0	16.8	445.0	0.0	504.1	0.0	0.0	0.0	0.0	0.0	156.1	1223.8	846.8	1085.2	919.7	919.0	1317265.0	1298938.0	260436.284768	261847.624445	522283.909213	265770.0	264492.0	530262.0	70248.0	734439.909213	1140092.0	1121765.0	1758493.0	0.77989	1.04112	11.0	8.0	19.0	1689039.10689
sub-2_ses-4_T1w	6896.6	525.1	17183.9	71746.2	11038.2	4162.9	5719.9	2127.0	945.4	2516.9	27380.9	4581.7	1790.4	1096.8	738.7	4430.9	18.9	367.1	7126.3	334.6	17178.1	71632.4	10294.4	4339.1	5841.5	2008.7	4556.1	1873.4	712.9	4777.5	12.4	394.4	0.0	502.2	0.0	0.0	0.0	0.0	0.0	166.0	1209.4	853.6	1033.3	811.1	898.1	1316271.0	1296845.0	267818.475015	264790.845701	532609.320716	261114.0	257554.0	518668.0	70955.0	746536.320716	1140198.0	1120772.0	1732125.0	0.796862	1.048618	16.0	14.0	30.0	1651817.124084
sub-2_ses-5_T1w	6674.3	467.1	17902.4	70982.1	10338.6	3999.2	5553.3	2218.3	986.9	2513.3	26583.6	4607.7	1705.6	1159.9	548.4	4470.0	29.9	297.4	6920.1	346.7	17829.9	70601.2	9726.1	4140.6	5688.6	2264.3	4584.6	1840.2	684.5	4580.5	13.8	337.9	0.0	526.5	0.0	0.0	0.0	0.0	0.0	132.3	1265.3	764.5	974.4	1025.3	1050.0	1327117.0	1308132.0	265434.433106	267540.420123	532974.853229	266531.0	265532.0	532063.0	68633.0	742507.853229	1151529.0	1132544.0	1760658.0	0.801632	1.063508	14.0	20.0	34.0	1655518.967365
sub-2_ses-6_T1w	6358.7	490.3	20161.7	70168.0	10384.9	4139.2	5614.9	2237.1	936.0	2442.1	26379.9	4669.4	1678.8	1131.8	676.5	4915.3	34.2	317.3	6547.3	368.0	17626.9	70805.8	10151.7	4220.6	5602.9	2227.5	4541.9	1800.5	783.6	4996.7	17.6	430.0	4.4	639.8	0.0	0.0	0.0	0.0	0.0	164.9	1164.6	715.6	1017.6	760.8	869.0	1331243.0	1313236.0	271431.016544	269029.678972	540460.695516	264754.0	261479.0	526233.0	70557.0	751548.695516	1154076.0	1136069.0	1754771.0	0.812045	1.070392	13.0	5.0	18.0	1639371.811942
sub-2_ses-7_T1w	6580.1	508.7	18027.4	71413.0	10816.8	4250.7	5522.1	2084.5	946.8	2537.1	26836.5	4622.8	1624.3	1118.9	529.5	4538.6	17.7	258.4	6781.7	356.7	17092.2	72381.7	9532.2	4372.5	5666.7	2152.7	4516.5	1769.0	707.8	4414.4	0.0	369.2	0.0	581.2	0.0	0.0	0.0	0.0	0.0	124.9	1215.6	868.4	975.9	696.1	923.0	1319134.0	1300536.0	268161.908703	266491.360669	534653.269373	260582.0	260161.0	520743.0	69151.0	747025.269373	1141929.0	1123331.0	1752418.0	0.798309	1.060522	17.0	13.0	30.0	1652410.892557
sub-2_ses-8_T1w	6570.7	426.8	19773.7	70818.8	10940.6	4324.3	5796.6	2136.2	951.3	2461.5	26433.6	4651.7	1606.1	1121.8	556.7	4839.5	12.3	306.5	6688.2	330.1	17655.0	71985.2	9796.1	4386.7	5770.7	2231.8	4461.3	1975.9	743.0	4952.6	6.2	411.7	0.0	535.7	0.0	0.0	0.0	0.0	0.0	126.8	1210.5	811.6	1092.3	948.7	983.1	1329697.0	1311284.0	269714.584143	267356.805654	537071.389798	263683.5	262317.5	526001.0	71150.0	750540.389798	1151053.0	1132640.0	1775455.0	0.803327	1.072629	20.0	9.0	29.0	1655237.425703
sub-2_ses-9_T1w	6695.7	522.1	19300.6	71426.9	11027.6	4384.6	5781.3	2237.6	924.2	2468.1	26600.0	4602.1	1599.5	1144.7	581.2	4815.3	27.5	347.9	6858.9	352.5	16909.2	72267.4	10097.9	4342.2	5697.5	2132.5	4491.6	1843.5	758.8	4512.4	9.8	398.1	0.0	663.0	0.0	0.0	0.0	0.0	0.0	154.7	1182.7	847.5	1078.5	735.7	929.3	1321752.0	1302824.0	270404.806983	265776.907237	536181.714221	261319.5	257261.5	518581.0	70715.0	750157.714221	1143443.0	1124515.0	1748912.0	0.808549	1.069854	25.0	12.0	37.0	1634720.060833
sub-2_ses-10_T1w	6718.6	464.3	19636.0	71017.2	10631.6	4170.8	5555.2	2099.3	962.6	2454.3	26412.9	4450.9	1624.6	1178.6	594.9	4793.8	22.1	292.2	6710.9	375.9	17680.9	70243.3	9771.1	4368.9	5596.6	2087.4	4491.8	1765.8	730.0	4956.4	14.0	388.1	0.0	587.2	0.0	0.0	0.0	0.0	0.0	180.2	1168.7	892.0	1069.8	764.8	941.5	1328250.0	1309519.0	268290.012166	266515.257344	534805.269509	264920.0	264674.0	529594.0	69555.0	745085.269509	1151390.0	1132659.0	1762532.0	0.817221	1.084418	10.0	10.0	20.0	1625325.23382
