lh.aparc.a2009s.volume	lh_G_and_S_frontomargin_volume	lh_G_and_S_occipital_inf_volume	lh_G_and_S_paracentral_volume	lh_G_and_S_subcentral_volume	lh_G_and_S_transv_frontopol_volume	lh_G_and_S_cingul-Ant_volume	lh_G_and_S_cingul-Mid-Ant_volume	lh_G_and_S_cingul-Mid-Post_volume	lh_G_cingul-Post-dorsal_volume	lh_G_cingul-Post-ventral_volume	lh_G_cuneus_volume	lh_G_front_inf-Opercular_volume	lh_G_front_inf-Orbital_volume	lh_G_front_inf-Triangul_volume	lh_G_front_middle_volume	lh_G_front_sup_volume	lh_G_Ins_lg_and_S_cent_ins_volume	lh_G_insular_short_volume	lh_G_occipital_middle_volume	lh_G_occipital_sup_volume	lh_G_oc-temp_lat-fusifor_volume	lh_G_oc-temp_med-Lingual_volume	lh_G_oc-temp_med-Parahip_volume	lh_G_orbital_volume	lh_G_pariet_inf-Angular_volume	lh_G_pariet_inf-Supramar_volume	lh_G_parietal_sup_volume	lh_G_postcentral_volume	lh_G_precentral_volume	lh_G_precuneus_volume	lh_G_rectus_volume	lh_G_subcallosal_volume	lh_G_temp_sup-G_T_transv_volume	lh_G_temp_sup-Lateral_volume	lh_G_temp_sup-Plan_polar_volume	lh_G_temp_sup-Plan_tempo_volume	lh_G_temporal_inf_volume	lh_G_temporal_middle_volume	lh_Lat_Fis-ant-Horizont_volume	lh_Lat_Fis-ant-Vertical_volume	lh_Lat_Fis-post_volume	lh_Pole_occipital_volume	lh_Pole_temporal_volume	lh_S_calcarine_volume	lh_S_central_volume	lh_S_cingul-Marginalis_volume	lh_S_circular_insula_ant_volume	lh_S_circular_insula_inf_volume	lh_S_circular_insula_sup_volume	lh_S_collat_transv_ant_volume	lh_S_collat_transv_post_volume	lh_S_front_inf_volume	lh_S_front_middle_volume	lh_S_front_sup_volume	lh_S_interm_prim-Jensen_volume	lh_S_intrapariet_and_P_trans_volume	lh_S_oc_middle_and_Lunatus_volume	lh_S_oc_sup_and_transversal_volume	lh_S_occipital_ant_volume	lh_S_oc-temp_lat_volume	lh_S_oc-temp_med_and_Lingual_volume	lh_S_orbital_lateral_volume	lh_S_orbital_med-olfact_volume	lh_S_orbital-H_Shaped_volume	lh_S_parieto_occipital_volume	lh_S_pericallosal_volume	lh_S_postcentral_volume	lh_S_precentral-inf-part_volume	lh_S_precentral-sup-part_volume	lh_S_suborbital_volume	lh_S_subparietal_volume	lh_S_temporal_inf_volume	lh_S_temporal_sup_volume	lh_S_temporal_transverse_volume	BrainSegVolNotVent	eTIV
sub-2_ses-1_T1w	3092.0	4170.0	3291.0	3091.0	2020.0	5972.0	3402.0	2314.0	1774.0	1055.0	3602.0	3854.0	1341.0	3704.0	11665.0	18400.0	1749.0	2675.0	6311.0	2878.0	5795.0	5746.0	3378.0	7107.0	6314.0	6755.0	6305.0	5197.0	6714.0	7069.0	2797.0	1053.0	1081.0	7445.0	1951.0	2017.0	6599.0	9460.0	578.0	497.0	1507.0	4153.0	6546.0	3885.0	3297.0	1504.0	799.0	2336.0	2660.0	1711.0	858.0	5065.0	2207.0	3975.0	403.0	3575.0	1705.0	2392.0	688.0	2029.0	3252.0	731.0	1157.0	3260.0	2920.0	939.0	3984.0	3348.0	1674.0	1262.0	1887.0	2603.0	9145.0	547.0	1309546.0	1689687.894476
sub-2_ses-2_T1w	2825.0	3955.0	3227.0	3152.0	2084.0	5785.0	3426.0	2008.0	1669.0	1007.0	3354.0	3744.0	1275.0	3813.0	12092.0	18128.0	1630.0	2654.0	6471.0	2878.0	5781.0	5656.0	3572.0	7036.0	5887.0	6712.0	6034.0	4647.0	6567.0	7124.0	2719.0	1549.0	1106.0	7033.0	2072.0	1988.0	6651.0	8868.0	417.0	574.0	1508.0	3863.0	7083.0	3803.0	3293.0	1540.0	812.0	2371.0	2762.0	1856.0	807.0	5042.0	2427.0	3625.0	391.0	3344.0	1565.0	2314.0	894.0	1759.0	3269.0	689.0	1197.0	3319.0	2936.0	778.0	3897.0	3207.0	1657.0	1230.0	1770.0	2534.0	9610.0	578.0	1304229.0	1664244.346295
sub-2_ses-3_T1w	2603.0	3865.0	2862.0	3216.0	2225.0	5463.0	3148.0	2066.0	1720.0	948.0	3354.0	3592.0	1241.0	4017.0	11019.0	17477.0	1581.0	2441.0	5869.0	2726.0	5818.0	5637.0	3718.0	7122.0	5644.0	6558.0	6024.0	4839.0	6583.0	6703.0	2914.0	1319.0	1098.0	6900.0	1920.0	2009.0	6770.0	8582.0	352.0	628.0	1475.0	4099.0	6520.0	3794.0	3352.0	1401.0	881.0	2206.0	2829.0	1768.0	762.0	5339.0	2122.0	4029.0	444.0	3473.0	1763.0	2283.0	883.0	1731.0	3069.0	653.0	1167.0	3174.0	2946.0	790.0	3695.0	3103.0	1387.0	1293.0	1606.0	2791.0	10111.0	556.0	1298938.0	1689039.10689
sub-2_ses-4_T1w	2936.0	4113.0	2960.0	3274.0	1850.0	5800.0	3239.0	2026.0	1751.0	931.0	3484.0	3546.0	1257.0	3761.0	11427.0	18456.0	1557.0	2710.0	6262.0	2913.0	5886.0	5911.0	3510.0	6860.0	6270.0	6722.0	5880.0	4812.0	6747.0	7134.0	2892.0	1538.0	1077.0	8100.0	2036.0	1990.0	7002.0	9235.0	397.0	636.0	1414.0	3850.0	6821.0	3765.0	3306.0	1439.0	903.0	2275.0	2665.0	1805.0	850.0	5990.0	2228.0	3970.0	356.0	3480.0	1826.0	2394.0	753.0	1892.0	3192.0	667.0	1132.0	3292.0	3029.0	850.0	3866.0	3444.0	1698.0	1225.0	1712.0	2825.0	8845.0	678.0	1296845.0	1651817.124084
sub-2_ses-5_T1w	2533.0	3780.0	3056.0	3174.0	2099.0	5514.0	3202.0	2296.0	1825.0	1019.0	3495.0	3597.0	1299.0	4002.0	11750.0	18045.0	1678.0	2477.0	6261.0	2729.0	5640.0	5876.0	3510.0	7111.0	5757.0	6464.0	5862.0	4960.0	6798.0	6930.0	3050.0	1496.0	1125.0	7194.0	1984.0	2025.0	6929.0	8607.0	351.0	604.0	1535.0	3690.0	6752.0	3695.0	3330.0	1389.0	761.0	2226.0	2884.0	1927.0	696.0	5815.0	2232.0	4289.0	428.0	3598.0	1762.0	2435.0	745.0	1888.0	3224.0	588.0	1053.0	3148.0	2907.0	747.0	3929.0	3296.0	1542.0	1042.0	1831.0	2995.0	9939.0	553.0	1308132.0	1655518.967365
sub-2_ses-6_T1w	2659.0	4112.0	3095.0	3277.0	2565.0	5959.0	3495.0	2232.0	1816.0	895.0	3563.0	3729.0	1399.0	3953.0	11319.0	18287.0	1510.0	2734.0	6553.0	2821.0	5651.0	5842.0	3287.0	7107.0	6304.0	6916.0	5885.0	4955.0	6926.0	7218.0	2922.0	1578.0	1086.0	6976.0	2037.0	2126.0	6938.0	8995.0	405.0	674.0	1526.0	3628.0	6907.0	3815.0	3272.0	1497.0	736.0	2405.0	2709.0	1769.0	790.0	6091.0	2321.0	4074.0	423.0	3773.0	1699.0	2516.0	760.0	1968.0	3412.0	681.0	1141.0	3336.0	2945.0	1034.0	4169.0	3550.0	1505.0	1289.0	1916.0	2853.0	10205.0	570.0	1313236.0	1639371.811942
sub-2_ses-7_T1w	2790.0	3949.0	3045.0	3326.0	2124.0	5577.0	3382.0	2119.0	1803.0	1058.0	3499.0	3784.0	1343.0	3782.0	11768.0	17908.0	1714.0	2572.0	6220.0	2853.0	5790.0	6362.0	3470.0	7117.0	6259.0	6620.0	5888.0	4900.0	6762.0	6817.0	3030.0	1590.0	1051.0	7347.0	1925.0	2015.0	7094.0	9487.0	385.0	564.0	1593.0	3888.0	6410.0	3840.0	3531.0	1388.0	834.0	2338.0	2677.0	2050.0	598.0	5671.0	2219.0	4083.0	418.0	3660.0	1846.0	2387.0	929.0	1809.0	3334.0	615.0	1137.0	3150.0	3089.0	884.0	3839.0	3252.0	1501.0	1342.0	1669.0	2814.0	9368.0	640.0	1300536.0	1652410.892557
sub-2_ses-8_T1w	2958.0	3814.0	3216.0	3196.0	2296.0	5979.0	3143.0	2155.0	1833.0	940.0	3403.0	3757.0	1283.0	3943.0	12210.0	18432.0	1809.0	2584.0	6406.0	2872.0	5832.0	5740.0	3448.0	7172.0	6347.0	6655.0	6183.0	5071.0	6836.0	7071.0	3315.0	1575.0	1149.0	7517.0	2227.0	1932.0	6872.0	9191.0	416.0	600.0	1471.0	4085.0	6316.0	3771.0	3203.0	1507.0	826.0	2422.0	2804.0	1772.0	766.0	5301.0	2402.0	3628.0	431.0	3680.0	1733.0	2484.0	781.0	1690.0	3258.0	754.0	1107.0	3376.0	3080.0	896.0	3912.0	3472.0	1435.0	1099.0	1742.0	2668.0	9694.0	604.0	1311284.0	1655237.425703
sub-2_ses-9_T1w	3018.0	4050.0	3219.0	3169.0	1808.0	5278.0	3444.0	2077.0	1694.0	961.0	3500.0	3836.0	1208.0	4114.0	11898.0	18808.0	1735.0	2570.0	6553.0	3010.0	5666.0	5631.0	3534.0	6904.0	6347.0	7093.0	6230.0	5025.0	7034.0	7071.0	2942.0	1225.0	1107.0	7132.0	2145.0	1916.0	6784.0	9093.0	386.0	698.0	1630.0	3984.0	6972.0	3947.0	3487.0	1488.0	855.0	2297.0	2851.0	1590.0	747.0	5599.0	2235.0	4484.0	372.0	3574.0	1654.0	2391.0	760.0	2001.0	3406.0	700.0	1103.0	3259.0	3139.0	646.0	3945.0	3431.0	1571.0	1276.0	1663.0	2780.0	9597.0	582.0	1302824.0	1634720.060833
sub-2_ses-10_T1w	2952.0	3777.0	3165.0	3076.0	2085.0	5837.0	3441.0	2130.0	1862.0	980.0	3444.0	3803.0	1168.0	3996.0	11681.0	18225.0	1643.0	2497.0	6598.0	2889.0	5698.0	5781.0	3448.0	6779.0	6182.0	7117.0	6241.0	4996.0	6770.0	6705.0	2970.0	1688.0	1030.0	7247.0	1916.0	1970.0	7072.0	9482.0	319.0	646.0	1478.0	3606.0	6321.0	3851.0	3315.0	1448.0	925.0	2392.0	2899.0	1749.0	705.0	5664.0	2197.0	4206.0	369.0	3605.0	1695.0	2432.0	664.0	1781.0	3442.0	678.0	1102.0	3405.0	3146.0	981.0	3844.0	3418.0	1467.0	1192.0	1780.0	2605.0	9573.0	645.0	1309519.0	1625325.23382
