lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-2_ses-26_T1w	1000.0	354.0	2172.0	1646.0	454.0	3422.0	4856.0	3241.0	1121.0	5622.0	3156.0	3360.0	2059.0	3436.0	536.0	1378.0	2197.0	824.0	1520.0	1498.0	4103.0	957.0	4587.0	4243.0	801.0	6362.0	7882.0	5338.0	4020.0	3631.0	313.0	594.0	431.0	2635.0	89747.5	1307272.0	1635443.488623
sub-2_ses-27_T1w	1038.0	368.0	2145.0	1666.0	461.0	3381.0	4945.0	3243.0	1151.0	5635.0	3093.0	3271.0	2154.0	3418.0	540.0	1365.0	2217.0	763.0	1524.0	1524.0	4162.0	881.0	4506.0	4307.0	778.0	6344.0	7834.0	5372.0	4143.0	3587.0	295.0	588.0	423.0	2407.0	89528.9	1299537.0	1670780.348511
sub-2_ses-28_T1w	1038.0	431.0	2110.0	1654.0	484.0	3430.0	4914.0	3324.0	1200.0	5437.0	3200.0	3411.0	2191.0	3483.0	588.0	1364.0	2251.0	812.0	1537.0	1516.0	4084.0	943.0	4529.0	4205.0	912.0	6386.0	7937.0	5338.0	4022.0	3616.0	297.0	603.0	422.0	2438.0	90109.4	1301893.0	1644100.725639
sub-2_ses-29_T1w	1057.0	433.0	2127.0	1593.0	501.0	3387.0	4831.0	3344.0	1116.0	5417.0	3104.0	3370.0	2025.0	3378.0	575.0	1381.0	2201.0	833.0	1537.0	1575.0	4130.0	929.0	4528.0	4263.0	839.0	6272.0	7795.0	5295.0	4113.0	3598.0	314.0	577.0	426.0	2572.0	89439.0	1310647.0	1680910.842606
sub-2_ses-30_T1w	997.0	422.0	2116.0	1659.0	424.0	3324.0	4907.0	3193.0	1197.0	5483.0	3058.0	3324.0	1939.0	3385.0	557.0	1365.0	2165.0	788.0	1491.0	1549.0	4053.0	835.0	4517.0	4271.0	817.0	6305.0	7807.0	5353.0	4146.0	3643.0	284.0	590.0	434.0	2576.0	88974.3	1291758.0	1709080.824849
sub-2_ses-31_T1w	1026.0	436.0	2163.0	1625.0	441.0	3380.0	4904.0	3377.0	1218.0	5532.0	3097.0	3337.0	1859.0	3480.0	562.0	1366.0	2222.0	795.0	1497.0	1530.0	4120.0	1003.0	4603.0	4261.0	760.0	6305.0	7869.0	5371.0	4066.0	3639.0	307.0	669.0	429.0	2609.0	89861.2	1310970.0	1636262.738909
sub-2_ses-32_T1w	1022.0	421.0	2156.0	1661.0	482.0	3525.0	4929.0	3350.0	1187.0	5503.0	3278.0	3461.0	2067.0	3391.0	577.0	1391.0	2211.0	819.0	1534.0	1507.0	4164.0	948.0	4563.0	4265.0	803.0	6342.0	7834.0	5347.0	4215.0	3649.0	320.0	560.0	425.0	2626.0	90533.9	1304827.0	1630004.557942
sub-2_ses-33_T1w	1015.0	429.0	2125.0	1671.0	448.0	3491.0	4874.0	3178.0	1230.0	5530.0	3127.0	3315.0	2093.0	3470.0	564.0	1345.0	2307.0	814.0	1494.0	1495.0	4147.0	1012.0	4598.0	4267.0	892.0	6336.0	7861.0	5339.0	4068.0	3691.0	316.0	603.0	434.0	2337.0	89920.3	1314538.0	1653611.591144
sub-2_ses-34_T1w	1066.0	406.0	2036.0	1678.0	468.0	3428.0	4920.0	3193.0	1254.0	5564.0	3102.0	3307.0	2238.0	3357.0	565.0	1343.0	2185.0	782.0	1510.0	1467.0	4128.0	1051.0	4513.0	4212.0	804.0	6356.0	7730.0	5356.0	4167.0	3610.0	302.0	598.0	438.0	2367.0	89500.5	1292732.0	1670095.132907
sub-2_ses-35_T1w	1042.0	428.0	2163.0	1677.0	474.0	3490.0	4910.0	3292.0	1169.0	5573.0	3239.0	3308.0	2166.0	3425.0	549.0	1380.0	2266.0	808.0	1517.0	1506.0	4228.0	897.0	4525.0	4252.0	844.0	6389.0	7767.0	5331.0	4099.0	3639.0	270.0	588.0	439.0	2415.0	90065.4	1302889.0	1636225.221821
sub-2_ses-36_T1w	1051.0	452.0	2111.0	1643.0	452.0	3447.0	4943.0	3373.0	1158.0	5794.0	3180.0	3417.0	2335.0	3380.0	535.0	1389.0	2185.0	796.0	1501.0	1532.0	4174.0	994.0	4555.0	4305.0	890.0	6327.0	7944.0	5400.0	4069.0	3646.0	302.0	578.0	424.0	2342.0	90623.0	1327908.0	1647698.579216
sub-2_ses-37_T1w	1016.0	486.0	2096.0	1560.0	480.0	3477.0	4961.0	3193.0	1130.0	5683.0	3034.0	3450.0	2057.0	3358.0	553.0	1380.0	2231.0	776.0	1481.0	1519.0	4194.0	892.0	4587.0	4165.0	794.0	6278.0	7797.0	5368.0	4047.0	3672.0	304.0	586.0	426.0	2615.0	89648.4	1313180.0	1647136.248558
sub-2_ses-38_T1w	1026.0	484.0	2147.0	1650.0	519.0	3456.0	4766.0	3180.0	1173.0	5608.0	2988.0	3313.0	2095.0	3335.0	550.0	1381.0	2204.0	747.0	1468.0	1536.0	4156.0	920.0	4508.0	4227.0	808.0	6140.0	7719.0	5374.0	4138.0	3640.0	291.0	500.0	429.0	2393.0	88870.0	1308214.0	1639297.80962
sub-2_ses-39_T1w	1038.0	409.0	2119.0	1621.0	483.0	3493.0	4935.0	3194.0	1191.0	5698.0	3160.0	3306.0	2209.0	3369.0	556.0	1383.0	2210.0	770.0	1482.0	1540.0	4150.0	899.0	4505.0	4237.0	815.0	6298.0	7771.0	5319.0	4027.0	3615.0	299.0	591.0	428.0	2538.0	89658.1	1314503.0	1634449.798608
sub-2_ses-40_T1w	1017.0	375.0	2065.0	1666.0	407.0	3467.0	4940.0	3305.0	1198.0	5554.0	3140.0	3435.0	2182.0	3448.0	571.0	1367.0	2204.0	802.0	1532.0	1564.0	4118.0	894.0	4466.0	4284.0	792.0	6374.0	7845.0	5312.0	4153.0	3581.0	303.0	527.0	440.0	2507.0	89835.2	1317729.0	1640552.805757
