rh.aparc.a2009s.area	rh_G_and_S_frontomargin_area	rh_G_and_S_occipital_inf_area	rh_G_and_S_paracentral_area	rh_G_and_S_subcentral_area	rh_G_and_S_transv_frontopol_area	rh_G_and_S_cingul-Ant_area	rh_G_and_S_cingul-Mid-Ant_area	rh_G_and_S_cingul-Mid-Post_area	rh_G_cingul-Post-dorsal_area	rh_G_cingul-Post-ventral_area	rh_G_cuneus_area	rh_G_front_inf-Opercular_area	rh_G_front_inf-Orbital_area	rh_G_front_inf-Triangul_area	rh_G_front_middle_area	rh_G_front_sup_area	rh_G_Ins_lg_and_S_cent_ins_area	rh_G_insular_short_area	rh_G_occipital_middle_area	rh_G_occipital_sup_area	rh_G_oc-temp_lat-fusifor_area	rh_G_oc-temp_med-Lingual_area	rh_G_oc-temp_med-Parahip_area	rh_G_orbital_area	rh_G_pariet_inf-Angular_area	rh_G_pariet_inf-Supramar_area	rh_G_parietal_sup_area	rh_G_postcentral_area	rh_G_precentral_area	rh_G_precuneus_area	rh_G_rectus_area	rh_G_subcallosal_area	rh_G_temp_sup-G_T_transv_area	rh_G_temp_sup-Lateral_area	rh_G_temp_sup-Plan_polar_area	rh_G_temp_sup-Plan_tempo_area	rh_G_temporal_inf_area	rh_G_temporal_middle_area	rh_Lat_Fis-ant-Horizont_area	rh_Lat_Fis-ant-Vertical_area	rh_Lat_Fis-post_area	rh_Pole_occipital_area	rh_Pole_temporal_area	rh_S_calcarine_area	rh_S_central_area	rh_S_cingul-Marginalis_area	rh_S_circular_insula_ant_area	rh_S_circular_insula_inf_area	rh_S_circular_insula_sup_area	rh_S_collat_transv_ant_area	rh_S_collat_transv_post_area	rh_S_front_inf_area	rh_S_front_middle_area	rh_S_front_sup_area	rh_S_interm_prim-Jensen_area	rh_S_intrapariet_and_P_trans_area	rh_S_oc_middle_and_Lunatus_area	rh_S_oc_sup_and_transversal_area	rh_S_occipital_ant_area	rh_S_oc-temp_lat_area	rh_S_oc-temp_med_and_Lingual_area	rh_S_orbital_lateral_area	rh_S_orbital_med-olfact_area	rh_S_orbital-H_Shaped_area	rh_S_parieto_occipital_area	rh_S_pericallosal_area	rh_S_postcentral_area	rh_S_precentral-inf-part_area	rh_S_precentral-sup-part_area	rh_S_suborbital_area	rh_S_subparietal_area	rh_S_temporal_inf_area	rh_S_temporal_sup_area	rh_S_temporal_transverse_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-2_ses-1_T1w	991.0	792.0	1007.0	946.0	1050.0	2286.0	1014.0	1010.0	330.0	197.0	1691.0	982.0	277.0	617.0	2680.0	5089.0	345.0	462.0	1738.0	1069.0	1677.0	2211.0	862.0	2207.0	2520.0	1663.0	1903.0	1385.0	1479.0	2193.0	642.0	403.0	225.0	1294.0	422.0	503.0	1895.0	1883.0	250.0	79.0	900.0	2208.0	1407.0	1655.0	1755.0	818.0	391.0	788.0	944.0	624.0	351.0	1225.0	1870.0	2051.0	392.0	2531.0	499.0	1168.0	479.0	800.0	1456.0	316.0	618.0	1091.0	1687.0	870.0	1555.0	1187.0	883.0	217.0	830.0	972.0	4107.0	194.0	89109.8	1309546.0	1689687.894476
sub-2_ses-2_T1w	942.0	797.0	980.0	958.0	1011.0	2223.0	988.0	867.0	311.0	185.0	1566.0	1090.0	316.0	583.0	2874.0	5250.0	504.0	450.0	1766.0	1095.0	1697.0	2119.0	696.0	2126.0	2524.0	1671.0	1838.0	1351.0	1577.0	2148.0	677.0	399.0	234.0	1287.0	462.0	477.0	2040.0	1864.0	235.0	117.0	868.0	2240.0	1424.0	1713.0	1706.0	823.0	384.0	816.0	901.0	686.0	326.0	1281.0	1808.0	1776.0	305.0	2496.0	581.0	1188.0	473.0	851.0	1549.0	317.0	679.0	1135.0	1679.0	757.0	1446.0	1060.0	914.0	190.0	837.0	1000.0	4001.0	206.0	88712.6	1304229.0	1664244.346295
sub-2_ses-3_T1w	1024.0	813.0	988.0	977.0	1042.0	2218.0	984.0	921.0	303.0	185.0	1680.0	1077.0	287.0	603.0	2528.0	5138.0	345.0	448.0	1724.0	1086.0	1668.0	2235.0	639.0	2187.0	2566.0	1671.0	1854.0	1355.0	1568.0	2213.0	689.0	339.0	232.0	1324.0	585.0	502.0	1924.0	1900.0	268.0	101.0	857.0	2198.0	1392.0	1654.0	1725.0	816.0	376.0	804.0	909.0	642.0	322.0	1284.0	1833.0	1932.0	356.0	2541.0	491.0	1177.0	484.0	793.0	1453.0	362.0	670.0	1102.0	1726.0	780.0	1466.0	1080.0	891.0	192.0	817.0	1057.0	4030.0	200.0	88603.7	1298938.0	1689039.10689
sub-2_ses-4_T1w	946.0	765.0	992.0	1024.0	1055.0	2196.0	1054.0	949.0	325.0	204.0	1648.0	1071.0	309.0	620.0	2869.0	5296.0	360.0	522.0	1711.0	1049.0	1494.0	2311.0	628.0	2138.0	2630.0	1712.0	1931.0	1367.0	1636.0	2123.0	683.0	393.0	238.0	1345.0	513.0	471.0	1932.0	1967.0	271.0	95.0	886.0	2138.0	1423.0	1732.0	1709.0	856.0	404.0	771.0	882.0	786.0	349.0	1304.0	1922.0	1834.0	325.0	2529.0	505.0	1193.0	569.0	849.0	1412.0	367.0	698.0	1129.0	1686.0	954.0	1441.0	1103.0	911.0	197.0	884.0	908.0	4070.0	214.0	89783.1	1296845.0	1651817.124084
sub-2_ses-5_T1w	952.0	769.0	1000.0	997.0	1086.0	2353.0	1049.0	999.0	323.0	214.0	1631.0	968.0	251.0	646.0	2617.0	5040.0	338.0	606.0	1952.0	1092.0	1636.0	2246.0	697.0	2180.0	2722.0	1682.0	2033.0	1381.0	1559.0	2195.0	679.0	408.0	217.0	1329.0	428.0	499.0	1876.0	1911.0	269.0	90.0	910.0	2150.0	1439.0	1655.0	1754.0	846.0	375.0	812.0	944.0	674.0	367.0	1245.0	1927.0	2028.0	382.0	2465.0	470.0	1140.0	503.0	830.0	1482.0	354.0	602.0	1154.0	1706.0	942.0	1428.0	1166.0	914.0	192.0	819.0	1006.0	3719.0	206.0	89528.7	1308132.0	1655518.967365
sub-2_ses-6_T1w	817.0	821.0	1048.0	955.0	1032.0	2217.0	990.0	953.0	327.0	204.0	1657.0	1014.0	268.0	619.0	2739.0	5292.0	345.0	583.0	1788.0	1084.0	1499.0	2214.0	649.0	2085.0	2571.0	1742.0	1955.0	1332.0	1603.0	1900.0	724.0	485.0	232.0	1281.0	543.0	476.0	1863.0	2046.0	283.0	93.0	890.0	2196.0	1415.0	1758.0	1715.0	852.0	366.0	786.0	892.0	809.0	349.0	1247.0	1901.0	1867.0	351.0	2399.0	540.0	1179.0	495.0	841.0	1465.0	352.0	604.0	1149.0	1711.0	821.0	1445.0	1160.0	901.0	164.0	1078.0	969.0	4045.0	201.0	89235.4	1313236.0	1639371.811942
sub-2_ses-7_T1w	916.0	744.0	978.0	933.0	1150.0	2157.0	1002.0	931.0	319.0	182.0	1697.0	986.0	309.0	591.0	2519.0	5247.0	338.0	578.0	1766.0	1072.0	1633.0	2291.0	650.0	2178.0	2792.0	1663.0	1901.0	1340.0	1548.0	2048.0	653.0	373.0	241.0	1326.0	473.0	494.0	1836.0	1902.0	254.0	106.0	911.0	2159.0	1408.0	1695.0	1740.0	804.0	389.0	784.0	938.0	646.0	355.0	1373.0	1964.0	1875.0	386.0	2436.0	489.0	1154.0	494.0	837.0	1425.0	306.0	573.0	1077.0	1617.0	839.0	1472.0	1192.0	896.0	194.0	871.0	1100.0	3956.0	203.0	88679.4	1300536.0	1652410.892557
sub-2_ses-8_T1w	945.0	767.0	1001.0	983.0	1004.0	2278.0	939.0	913.0	309.0	174.0	1618.0	1067.0	326.0	559.0	2592.0	5032.0	385.0	471.0	1783.0	1087.0	1634.0	2215.0	646.0	2092.0	2725.0	1664.0	1865.0	1341.0	1572.0	2120.0	696.0	417.0	232.0	1314.0	507.0	449.0	1924.0	1978.0	260.0	104.0	865.0	2140.0	1392.0	1673.0	1665.0	834.0	375.0	722.0	899.0	665.0	305.0	1116.0	1824.0	1893.0	358.0	2470.0	508.0	1180.0	520.0	825.0	1450.0	344.0	657.0	1132.0	1742.0	754.0	1432.0	1045.0	893.0	175.0	847.0	958.0	3785.0	231.0	87664.1	1311284.0	1655237.425703
sub-2_ses-9_T1w	946.0	795.0	1018.0	958.0	1004.0	2307.0	1057.0	924.0	338.0	187.0	1579.0	1025.0	288.0	652.0	2865.0	5027.0	362.0	451.0	1754.0	1080.0	1518.0	2095.0	639.0	2075.0	2613.0	1699.0	1852.0	1370.0	1621.0	2046.0	670.0	419.0	241.0	1327.0	656.0	449.0	1851.0	1958.0	274.0	83.0	880.0	2133.0	1416.0	1624.0	1696.0	849.0	393.0	766.0	882.0	764.0	306.0	1254.0	1830.0	1928.0	333.0	2458.0	502.0	1156.0	489.0	796.0	1444.0	315.0	633.0	1121.0	1682.0	1077.0	1467.0	1107.0	925.0	253.0	848.0	992.0	4014.0	207.0	88614.1	1302824.0	1634720.060833
sub-2_ses-10_T1w	960.0	772.0	1001.0	977.0	1071.0	2190.0	1040.0	880.0	341.0	205.0	1625.0	989.0	263.0	579.0	2955.0	5244.0	330.0	475.0	1677.0	1087.0	1674.0	2206.0	672.0	2222.0	2736.0	1697.0	1881.0	1332.0	1575.0	2077.0	698.0	432.0	231.0	1287.0	608.0	480.0	1954.0	1952.0	273.0	105.0	889.0	2161.0	1394.0	1705.0	1687.0	793.0	379.0	801.0	955.0	676.0	355.0	1262.0	1956.0	1871.0	340.0	2543.0	506.0	1147.0	443.0	804.0	1497.0	359.0	613.0	1170.0	1675.0	861.0	1445.0	1158.0	914.0	184.0	952.0	1005.0	4023.0	201.0	89479.0	1309519.0	1625325.23382
