lh.aparc.DKTatlas.volume	lh_caudalanteriorcingulate_volume	lh_caudalmiddlefrontal_volume	lh_cuneus_volume	lh_entorhinal_volume	lh_fusiform_volume	lh_inferiorparietal_volume	lh_inferiortemporal_volume	lh_isthmuscingulate_volume	lh_lateraloccipital_volume	lh_lateralorbitofrontal_volume	lh_lingual_volume	lh_medialorbitofrontal_volume	lh_middletemporal_volume	lh_parahippocampal_volume	lh_paracentral_volume	lh_parsopercularis_volume	lh_parsorbitalis_volume	lh_parstriangularis_volume	lh_pericalcarine_volume	lh_postcentral_volume	lh_posteriorcingulate_volume	lh_precentral_volume	lh_precuneus_volume	lh_rostralanteriorcingulate_volume	lh_rostralmiddlefrontal_volume	lh_superiorfrontal_volume	lh_superiorparietal_volume	lh_superiortemporal_volume	lh_supramarginal_volume	lh_transversetemporal_volume	lh_insula_volume	BrainSegVolNotVent	eTIV
sub-2_ses-1_T1w	3626.0	7432.0	4705.0	1917.0	10486.0	13334.0	11669.0	3373.0	15275.0	10149.0	8029.0	5388.0	16639.0	2195.0	4582.0	6213.0	2492.0	5715.0	2593.0	12294.0	2882.0	13715.0	11922.0	4216.0	13522.0	26665.0	10658.0	18879.0	9650.0	1219.0	6790.0	1309546.0	1689687.894476
sub-2_ses-2_T1w	3427.0	7533.0	4540.0	2108.0	10337.0	13019.0	12026.0	3260.0	14710.0	10230.0	7989.0	5502.0	16325.0	2241.0	4356.0	6097.0	2590.0	5628.0	2418.0	11645.0	2688.0	13434.0	11606.0	4003.0	13751.0	26616.0	10122.0	19075.0	9748.0	1179.0	6700.0	1304229.0	1664244.346295
sub-2_ses-3_T1w	3329.0	6770.0	4484.0	2205.0	10137.0	13016.0	11879.0	3207.0	14405.0	10262.0	7898.0	5475.0	16271.0	2227.0	4051.0	5974.0	2488.0	5801.0	2506.0	11647.0	2765.0	13299.0	11129.0	3903.0	13617.0	25283.0	10135.0	18570.0	9556.0	1228.0	6552.0	1298938.0	1689039.10689
sub-2_ses-4_T1w	3636.0	7579.0	4642.0	2014.0	10656.0	13436.0	12244.0	3328.0	14870.0	10256.0	8105.0	5562.0	16387.0	2218.0	4255.0	6293.0	2495.0	5692.0	2487.0	11906.0	2611.0	13420.0	11481.0	4145.0	13872.0	26369.0	10260.0	19469.0	9609.0	1242.0	6785.0	1296845.0	1651817.124084
sub-2_ses-5_T1w	3432.0	7087.0	4585.0	2199.0	10456.0	12959.0	12113.0	3259.0	14306.0	10064.0	8078.0	5521.0	16339.0	2162.0	4324.0	6172.0	2470.0	5872.0	2505.0	11876.0	2844.0	13738.0	11585.0	3650.0	13914.0	26832.0	10434.0	18840.0	9519.0	1212.0	6627.0	1308132.0	1655518.967365
sub-2_ses-6_T1w	3783.0	7467.0	4771.0	2074.0	10527.0	13754.0	11939.0	3380.0	14607.0	10343.0	8151.0	5738.0	16871.0	2210.0	4294.0	6591.0	2595.0	5976.0	2500.0	12231.0	2918.0	13705.0	11843.0	4093.0	13980.0	26902.0	10542.0	19337.0	9941.0	1196.0	6827.0	1313236.0	1639371.811942
sub-2_ses-7_T1w	3594.0	7285.0	4637.0	1986.0	10414.0	13223.0	12557.0	3337.0	14522.0	10252.0	8381.0	5823.0	16843.0	2271.0	4225.0	5927.0	2530.0	5901.0	2568.0	11934.0	2823.0	13740.0	11657.0	3882.0	13944.0	26421.0	10242.0	19068.0	9903.0	1223.0	6781.0	1300536.0	1652410.892557
sub-2_ses-8_T1w	3490.0	7499.0	4645.0	2023.0	10229.0	13681.0	11746.0	3400.0	14800.0	10517.0	7942.0	6147.0	16690.0	2268.0	4312.0	6264.0	2551.0	5803.0	2545.0	11977.0	2727.0	13764.0	11813.0	4001.0	13967.0	26865.0	10453.0	19538.0	9733.0	1234.0	6925.0	1311284.0	1655237.425703
sub-2_ses-9_T1w	3552.0	7659.0	4746.0	2231.0	10454.0	13484.0	11794.0	3242.0	15071.0	10042.0	7923.0	5540.0	16311.0	2279.0	4397.0	6394.0	2541.0	5884.0	2568.0	12423.0	2802.0	14022.0	11824.0	3646.0	14150.0	27007.0	10449.0	19413.0	10061.0	1287.0	6728.0	1302824.0	1634720.060833
sub-2_ses-10_T1w	3659.0	7325.0	4676.0	2030.0	10283.0	13414.0	12122.0	3409.0	14401.0	10357.0	7978.0	5617.0	16768.0	2272.0	4264.0	6456.0	2412.0	5776.0	2626.0	12147.0	2612.0	13585.0	11665.0	4198.0	14159.0	26752.0	10440.0	18600.0	9900.0	1224.0	6756.0	1309519.0	1625325.23382
sub-2_ses-11_T1w	3594.0	7215.0	4813.0	2029.0	10404.0	13379.0	12006.0	3181.0	14661.0	10410.0	8073.0	5440.0	16583.0	2164.0	4395.0	6361.0	2482.0	5693.0	2778.0	12216.0	2626.0	13819.0	11847.0	3866.0	13748.0	26722.0	10542.0	19019.0	9814.0	1189.0	6821.0	1305764.0	1661932.733146
sub-2_ses-12_T1w	3171.0	6633.0	4645.0	2019.0	10079.0	13292.0	11711.0	3159.0	14082.0	10133.0	8069.0	5459.0	15766.0	2176.0	4160.0	5850.0	2479.0	5630.0	2486.0	11173.0	2522.0	13321.0	11621.0	3928.0	13934.0	25941.0	10121.0	19299.0	9530.0	1216.0	6795.0	1304926.0	1693626.741318
sub-2_ses-13_T1w	3642.0	7343.0	4622.0	2048.0	10458.0	13658.0	11633.0	3392.0	14551.0	10118.0	8034.0	5419.0	16541.0	2133.0	4389.0	6338.0	2511.0	5612.0	2505.0	12204.0	2967.0	13788.0	11763.0	4062.0	13782.0	26479.0	10315.0	19118.0	9679.0	1204.0	6673.0	1305001.0	1639480.031811
sub-2_ses-14_T1w	3501.0	7005.0	4803.0	1860.0	10483.0	13538.0	12155.0	3377.0	14567.0	10176.0	8187.0	5434.0	16529.0	2186.0	4241.0	6275.0	2431.0	5871.0	2626.0	12029.0	2826.0	13690.0	11772.0	4042.0	13590.0	26301.0	10442.0	19003.0	9811.0	1224.0	6699.0	1304361.0	1625419.966756
sub-2_ses-15_T1w	3121.0	7061.0	4564.0	2073.0	10460.0	13004.0	11738.0	3206.0	14315.0	10086.0	7733.0	5491.0	16083.0	2106.0	4151.0	6148.0	2517.0	5763.0	2392.0	11470.0	2669.0	13265.0	11149.0	3929.0	13774.0	25881.0	10159.0	18746.0	9694.0	1179.0	6592.0	1296933.0	1640429.623848
sub-2_ses-16_T1w	3727.0	7099.0	4671.0	2097.0	10300.0	13292.0	11947.0	3323.0	14495.0	9769.0	8010.0	5250.0	16290.0	2242.0	4188.0	6231.0	2500.0	5698.0	2585.0	11917.0	2719.0	13592.0	11531.0	3985.0	13636.0	26258.0	10682.0	18803.0	9903.0	1235.0	6691.0	1300914.0	1622170.608952
sub-2_ses-17_T1w	3821.0	7038.0	4616.0	2075.0	9912.0	13095.0	11676.0	3224.0	14251.0	10194.0	7918.0	5456.0	16087.0	2094.0	4129.0	5996.0	2495.0	5757.0	2626.0	11611.0	2994.0	13250.0	11309.0	4074.0	13597.0	25699.0	10073.0	18961.0	9543.0	1186.0	6526.0	1297984.0	1659628.37542
sub-2_ses-18_T1w	3557.0	7194.0	4570.0	2455.0	10649.0	13377.0	11166.0	3237.0	14639.0	10339.0	7831.0	5559.0	15786.0	2497.0	4464.0	6225.0	2386.0	5644.0	2562.0	12168.0	2906.0	13695.0	11588.0	3970.0	14004.0	26435.0	10429.0	19228.0	9631.0	1248.0	6852.0	1306144.0	1645580.299923
sub-2_ses-19_T1w	3238.0	7102.0	4690.0	1955.0	10427.0	13805.0	12292.0	3305.0	14559.0	10218.0	7898.0	5527.0	16596.0	2126.0	4215.0	6221.0	2533.0	5718.0	2486.0	11931.0	2622.0	13795.0	11570.0	4144.0	13872.0	26078.0	10228.0	18660.0	9902.0	1213.0	6669.0	1300103.0	1626632.099584
sub-2_ses-20_T1w	3834.0	7023.0	4666.0	2191.0	10261.0	13421.0	11679.0	3317.0	14455.0	10038.0	7931.0	5535.0	16141.0	2292.0	4240.0	6247.0	2431.0	5841.0	2505.0	12072.0	2717.0	13734.0	11902.0	4180.0	13955.0	26614.0	10280.0	18982.0	9918.0	1272.0	6715.0	1309587.0	1623514.177817
sub-2_ses-21_T1w	3437.0	7395.0	4750.0	2134.0	10637.0	13583.0	11682.0	3281.0	14540.0	10445.0	7962.0	5437.0	16440.0	2221.0	4299.0	6205.0	2389.0	5778.0	2469.0	11854.0	2759.0	13746.0	11702.0	3965.0	14293.0	26523.0	10263.0	18978.0	10025.0	1154.0	6754.0	1308746.0	1649143.032261
sub-2_ses-22_T1w	3552.0	7149.0	4692.0	1867.0	10378.0	13439.0	11862.0	3302.0	14918.0	10064.0	8206.0	5471.0	16445.0	2175.0	4165.0	6154.0	2528.0	5548.0	2433.0	11791.0	2866.0	13986.0	11760.0	4066.0	13826.0	26436.0	10470.0	19042.0	9910.0	1201.0	6671.0	1310753.0	1633420.416629
