rh.aparc.a2009s.volume	rh_G_and_S_frontomargin_volume	rh_G_and_S_occipital_inf_volume	rh_G_and_S_paracentral_volume	rh_G_and_S_subcentral_volume	rh_G_and_S_transv_frontopol_volume	rh_G_and_S_cingul-Ant_volume	rh_G_and_S_cingul-Mid-Ant_volume	rh_G_and_S_cingul-Mid-Post_volume	rh_G_cingul-Post-dorsal_volume	rh_G_cingul-Post-ventral_volume	rh_G_cuneus_volume	rh_G_front_inf-Opercular_volume	rh_G_front_inf-Orbital_volume	rh_G_front_inf-Triangul_volume	rh_G_front_middle_volume	rh_G_front_sup_volume	rh_G_Ins_lg_and_S_cent_ins_volume	rh_G_insular_short_volume	rh_G_occipital_middle_volume	rh_G_occipital_sup_volume	rh_G_oc-temp_lat-fusifor_volume	rh_G_oc-temp_med-Lingual_volume	rh_G_oc-temp_med-Parahip_volume	rh_G_orbital_volume	rh_G_pariet_inf-Angular_volume	rh_G_pariet_inf-Supramar_volume	rh_G_parietal_sup_volume	rh_G_postcentral_volume	rh_G_precentral_volume	rh_G_precuneus_volume	rh_G_rectus_volume	rh_G_subcallosal_volume	rh_G_temp_sup-G_T_transv_volume	rh_G_temp_sup-Lateral_volume	rh_G_temp_sup-Plan_polar_volume	rh_G_temp_sup-Plan_tempo_volume	rh_G_temporal_inf_volume	rh_G_temporal_middle_volume	rh_Lat_Fis-ant-Horizont_volume	rh_Lat_Fis-ant-Vertical_volume	rh_Lat_Fis-post_volume	rh_Pole_occipital_volume	rh_Pole_temporal_volume	rh_S_calcarine_volume	rh_S_central_volume	rh_S_cingul-Marginalis_volume	rh_S_circular_insula_ant_volume	rh_S_circular_insula_inf_volume	rh_S_circular_insula_sup_volume	rh_S_collat_transv_ant_volume	rh_S_collat_transv_post_volume	rh_S_front_inf_volume	rh_S_front_middle_volume	rh_S_front_sup_volume	rh_S_interm_prim-Jensen_volume	rh_S_intrapariet_and_P_trans_volume	rh_S_oc_middle_and_Lunatus_volume	rh_S_oc_sup_and_transversal_volume	rh_S_occipital_ant_volume	rh_S_oc-temp_lat_volume	rh_S_oc-temp_med_and_Lingual_volume	rh_S_orbital_lateral_volume	rh_S_orbital_med-olfact_volume	rh_S_orbital-H_Shaped_volume	rh_S_parieto_occipital_volume	rh_S_pericallosal_volume	rh_S_postcentral_volume	rh_S_precentral-inf-part_volume	rh_S_precentral-sup-part_volume	rh_S_suborbital_volume	rh_S_subparietal_volume	rh_S_temporal_inf_volume	rh_S_temporal_sup_volume	rh_S_temporal_transverse_volume	BrainSegVolNotVent	eTIV
sub-2_ses-1_T1w	2886.0	2647.0	2783.0	3178.0	3219.0	6883.0	2943.0	2879.0	1369.0	716.0	3843.0	3871.0	1252.0	2557.0	9799.0	18770.0	1439.0	2165.0	6090.0	3472.0	6913.0	5393.0	3685.0	7949.0	9131.0	6123.0	6233.0	4155.0	6032.0	7052.0	2310.0	1001.0	838.0	6238.0	1790.0	1616.0	8657.0	8554.0	494.0	197.0	2046.0	5810.0	7815.0	3062.0	3176.0	1882.0	929.0	1957.0	2152.0	1626.0	739.0	2713.0	4457.0	5449.0	776.0	5151.0	963.0	2439.0	1004.0	2052.0	3067.0	566.0	1375.0	3118.0	3662.0	1175.0	3109.0	2836.0	2016.0	622.0	1929.0	2104.0	10338.0	434.0	1309546.0	1689687.894476
sub-2_ses-2_T1w	2614.0	2514.0	2605.0	3016.0	3214.0	6626.0	2695.0	2281.0	1282.0	638.0	3510.0	4050.0	1301.0	2372.0	10251.0	19126.0	1729.0	2260.0	6104.0	3203.0	6585.0	5331.0	3332.0	8148.0	8520.0	5952.0	5675.0	3883.0	5966.0	6845.0	2410.0	1000.0	847.0	5957.0	1864.0	1448.0	9024.0	8173.0	490.0	317.0	1921.0	5713.0	8123.0	3154.0	3017.0	1871.0	920.0	2026.0	2003.0	1800.0	614.0	2756.0	4195.0	4651.0	536.0	4863.0	1075.0	2369.0	952.0	2242.0	3138.0	528.0	1472.0	3356.0	3595.0	966.0	2775.0	2317.0	2113.0	509.0	1875.0	2102.0	10002.0	456.0	1304229.0	1664244.346295
sub-2_ses-3_T1w	2931.0	2532.0	2663.0	3013.0	3275.0	6649.0	2593.0	2559.0	1249.0	633.0	3920.0	3901.0	1179.0	2473.0	9055.0	19177.0	1428.0	2250.0	5759.0	3173.0	6518.0	5188.0	3110.0	8291.0	8729.0	6039.0	5916.0	4010.0	6024.0	6788.0	2606.0	861.0	826.0	6080.0	1994.0	1569.0	8350.0	8301.0	533.0	280.0	1888.0	5995.0	7604.0	2895.0	2987.0	1885.0	863.0	1991.0	1964.0	1713.0	599.0	2742.0	4047.0	4967.0	654.0	5013.0	881.0	2422.0	932.0	2020.0	3008.0	608.0	1415.0	3184.0	3640.0	1060.0	2799.0	2446.0	2034.0	476.0	1827.0	2292.0	10029.0	436.0	1298938.0	1689039.10689
sub-2_ses-4_T1w	2525.0	2279.0	2780.0	3184.0	3276.0	6584.0	2993.0	2636.0	1318.0	741.0	3938.0	3883.0	1326.0	2492.0	9815.0	19793.0	1478.0	2426.0	5671.0	3345.0	5862.0	5519.0	3069.0	8219.0	8901.0	5998.0	5802.0	4077.0	6058.0	6690.0	2314.0	915.0	854.0	6025.0	2037.0	1484.0	8522.0	8638.0	511.0	262.0	1954.0	5678.0	7918.0	3142.0	3025.0	1988.0	969.0	1880.0	1911.0	2340.0	698.0	2639.0	4258.0	4576.0	561.0	4860.0	935.0	2452.0	1218.0	2268.0	2984.0	597.0	1487.0	3348.0	3531.0	1239.0	2800.0	2423.0	1997.0	534.0	1926.0	1809.0	9919.0	452.0	1296845.0	1651817.124084
sub-2_ses-5_T1w	2606.0	2319.0	2787.0	3124.0	3379.0	7093.0	3019.0	2834.0	1368.0	726.0	3554.0	3689.0	1060.0	2516.0	9651.0	19081.0	1358.0	2555.0	6172.0	3367.0	6477.0	5492.0	3286.0	8452.0	9312.0	5942.0	6257.0	4312.0	6052.0	7126.0	2439.0	960.0	833.0	6117.0	1751.0	1526.0	8384.0	8397.0	565.0	254.0	2040.0	5665.0	7910.0	2929.0	3192.0	1974.0	911.0	2068.0	2139.0	1744.0	710.0	2731.0	4692.0	5259.0	669.0	4957.0	833.0	2316.0	1070.0	2162.0	3021.0	652.0	1303.0	3241.0	3596.0	1271.0	2718.0	2724.0	2200.0	546.0	1855.0	2046.0	9311.0	444.0	1308132.0	1655518.967365
sub-2_ses-6_T1w	2290.0	2651.0	2809.0	3050.0	3250.0	6633.0	2724.0	2584.0	1290.0	736.0	4025.0	3821.0	1154.0	2414.0	10035.0	19700.0	1561.0	2560.0	5989.0	3235.0	5902.0	5340.0	3450.0	8326.0	9013.0	6064.0	5961.0	3961.0	6077.0	6048.0	2628.0	1202.0	881.0	6106.0	2096.0	1480.0	8710.0	8982.0	589.0	257.0	1951.0	6028.0	7436.0	3307.0	3072.0	2052.0	874.0	1940.0	1983.0	2524.0	686.0	2775.0	4370.0	5049.0	653.0	4957.0	1002.0	2492.0	1021.0	2189.0	3057.0	616.0	1340.0	3391.0	3672.0	1098.0	2840.0	2752.0	2073.0	457.0	2716.0	2005.0	10402.0	456.0	1313236.0	1639371.811942
sub-2_ses-7_T1w	2574.0	2449.0	2754.0	3004.0	3683.0	6547.0	2888.0	2706.0	1333.0	714.0	3737.0	3841.0	1341.0	2409.0	8861.0	19582.0	1450.0	2494.0	5904.0	3262.0	6574.0	5597.0	3342.0	8399.0	9386.0	5826.0	5859.0	3868.0	5933.0	6714.0	2385.0	981.0	906.0	6104.0	1867.0	1624.0	8606.0	8656.0	496.0	284.0	2073.0	5770.0	7639.0	3137.0	3125.0	1847.0	952.0	1932.0	2121.0	1734.0	707.0	3123.0	4833.0	4957.0	718.0	4827.0	887.0	2345.0	1070.0	2197.0	3008.0	530.0	1306.0	3021.0	3379.0	1125.0	2872.0	2746.0	2101.0	590.0	1930.0	2395.0	9827.0	454.0	1300536.0	1652410.892557
sub-2_ses-8_T1w	2767.0	2500.0	2813.0	3217.0	3340.0	6934.0	2576.0	2601.0	1265.0	664.0	3694.0	4062.0	1369.0	2445.0	10049.0	19081.0	1461.0	2287.0	5963.0	3226.0	6528.0	5453.0	3286.0	8431.0	9730.0	6046.0	5777.0	4151.0	6063.0	6795.0	2652.0	1076.0	891.0	5983.0	1975.0	1439.0	8599.0	8653.0	522.0	294.0	1910.0	5825.0	8059.0	3057.0	2991.0	1972.0	886.0	1795.0	1986.0	1734.0	621.0	2399.0	4447.0	5195.0	661.0	5222.0	959.0	2434.0	1047.0	2109.0	3074.0	624.0	1481.0	3197.0	3693.0	1031.0	2919.0	2422.0	2150.0	436.0	2027.0	1968.0	9452.0	538.0	1311284.0	1655237.425703
sub-2_ses-9_T1w	2685.0	2525.0	2845.0	3071.0	2992.0	7025.0	3032.0	2548.0	1401.0	686.0	3705.0	3802.0	1183.0	2551.0	10440.0	18750.0	1436.0	2169.0	5850.0	3208.0	6001.0	5838.0	3241.0	8259.0	8997.0	6014.0	5855.0	3801.0	6043.0	6799.0	2603.0	1057.0	917.0	5954.0	2315.0	1443.0	8528.0	8581.0	527.0	231.0	1987.0	5695.0	7655.0	3131.0	2982.0	1973.0	973.0	1910.0	1924.0	2408.0	616.0	2533.0	3851.0	5138.0	601.0	4978.0	882.0	2420.0	998.0	2057.0	3055.0	520.0	1361.0	3210.0	3644.0	1486.0	2880.0	2487.0	2165.0	794.0	1802.0	2038.0	10080.0	463.0	1302824.0	1634720.060833
sub-2_ses-10_T1w	2615.0	2508.0	2786.0	3162.0	3270.0	6596.0	2811.0	2315.0	1381.0	742.0	3950.0	3696.0	1161.0	2242.0	10345.0	19790.0	1351.0	2245.0	5540.0	3187.0	6472.0	5286.0	3315.0	8194.0	9421.0	6008.0	5958.0	3996.0	5938.0	6826.0	2334.0	1105.0	880.0	5897.0	2166.0	1496.0	8999.0	8565.0	572.0	287.0	1979.0	5791.0	7116.0	3073.0	2994.0	1809.0	899.0	2009.0	2160.0	1888.0	704.0	2726.0	4506.0	4976.0	640.0	5159.0	900.0	2420.0	883.0	2067.0	3104.0	664.0	1290.0	3328.0	3502.0	1161.0	2801.0	2691.0	2142.0	511.0	2096.0	2153.0	10028.0	450.0	1309519.0	1625325.23382
