lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-2_ses-1_T1w.long.sub-2_base	1087.0	469.0	2150.0	1650.0	482.0	3487.0	5003.0	3411.0	1161.0	5628.0	3163.0	3408.0	2194.0	3493.0	615.0	1363.0	2273.0	820.0	1560.0	1602.0	4217.0	1100.0	4607.0	4371.0	970.0	6514.0	8041.0	5442.0	4098.0	3699.0	322.0	536.0	434.0	2461.0	91829.1	1308498.0	1658297.590527
sub-2_ses-2_T1w.long.sub-2_base	1087.0	482.0	2158.0	1640.0	454.0	3444.0	4968.0	3380.0	1153.0	5610.0	3153.0	3390.0	2129.0	3495.0	606.0	1341.0	2263.0	799.0	1562.0	1595.0	4127.0	1090.0	4544.0	4298.0	965.0	6398.0	7999.0	5345.0	4069.0	3648.0	329.0	511.0	430.0	2458.0	90918.9	1300941.0	1658297.590527
sub-2_ses-3_T1w.long.sub-2_base	1091.0	460.0	2145.0	1603.0	481.0	3473.0	4997.0	3359.0	1172.0	5594.0	3173.0	3389.0	2114.0	3475.0	606.0	1363.0	2280.0	817.0	1574.0	1570.0	4151.0	1084.0	4526.0	4280.0	960.0	6437.0	7974.0	5324.0	4066.0	3637.0	310.0	518.0	428.0	2442.0	90874.7	1307371.0	1658297.590527
sub-2_ses-4_T1w.long.sub-2_base	1093.0	469.0	2150.0	1670.0	475.0	3522.0	5042.0	3435.0	1146.0	5785.0	3263.0	3461.0	2177.0	3470.0	611.0	1369.0	2278.0	829.0	1584.0	1649.0	4146.0	975.0	4571.0	4285.0	995.0	6551.0	8089.0	5355.0	4026.0	3655.0	326.0	544.0	430.0	2445.0	91870.5	1304397.0	1658297.590527
sub-2_ses-5_T1w.long.sub-2_base	1085.0	457.0	2157.0	1615.0	469.0	3463.0	5011.0	3355.0	1158.0	5663.0	3159.0	3314.0	2178.0	3460.0	607.0	1385.0	2294.0	810.0	1572.0	1597.0	4144.0	926.0	4664.0	4350.0	970.0	6505.0	8023.0	5403.0	4071.0	3645.0	326.0	528.0	424.0	2428.0	91212.5	1311780.0	1658297.590527
sub-2_ses-6_T1w.long.sub-2_base	1079.0	513.0	2157.0	1624.0	460.0	3472.0	5002.0	3367.0	1157.0	5677.0	3196.0	3371.0	2211.0	3483.0	610.0	1348.0	2287.0	819.0	1590.0	1641.0	4151.0	1094.0	4619.0	4323.0	1022.0	6524.0	8063.0	5395.0	4060.0	3677.0	324.0	510.0	431.0	2451.0	91706.9	1308491.0	1658297.590527
sub-2_ses-7_T1w.long.sub-2_base	1090.0	433.0	2156.0	1638.0	524.0	3532.0	5012.0	3389.0	1170.0	5665.0	3196.0	3381.0	2198.0	3450.0	607.0	1339.0	2280.0	816.0	1571.0	1644.0	4082.0	1081.0	4531.0	4275.0	923.0	6485.0	8034.0	5323.0	4050.0	3656.0	325.0	548.0	429.0	2441.0	91277.6	1299086.0	1658297.590527
sub-2_ses-8_T1w.long.sub-2_base	1084.0	460.0	2150.0	1641.0	447.0	3447.0	4989.0	3343.0	1135.0	5634.0	3131.0	3436.0	2131.0	3471.0	609.0	1377.0	2301.0	819.0	1605.0	1634.0	4146.0	935.0	4594.0	4327.0	971.0	6565.0	8025.0	5359.0	4093.0	3671.0	320.0	514.0	430.0	2404.0	91198.6	1318054.0	1658297.590527
sub-2_ses-9_T1w.long.sub-2_base	1074.0	493.0	2206.0	1670.0	466.0	3491.0	5004.0	3393.0	1169.0	5760.0	3185.0	3508.0	2171.0	3547.0	616.0	1384.0	2313.0	852.0	1622.0	1668.0	4211.0	1117.0	4633.0	4347.0	983.0	6560.0	8142.0	5414.0	4147.0	3697.0	322.0	510.0	427.0	2452.0	92555.3	1313615.0	1658297.590527
sub-2_ses-10_T1w.long.sub-2_base	1081.0	489.0	2168.0	1659.0	465.0	3486.0	4994.0	3384.0	1161.0	5734.0	3159.0	3455.0	2209.0	3495.0	610.0	1376.0	2297.0	822.0	1588.0	1652.0	4139.0	1107.0	4631.0	4326.0	965.0	6481.0	8126.0	5364.0	4069.0	3684.0	315.0	549.0	424.0	2441.0	91905.0	1312394.0	1658297.590527
