rh.aparc.DKTatlas.volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_transversetemporal_volume	rh_insula_volume	BrainSegVolNotVent	eTIV
sub-2_ses-1_T1w.long.sub-2_base	2614.0	6089.0	4818.0	1951.0	9678.0	17862.0	15000.0	2302.0	12828.0	10924.0	8343.0	6227.0	14327.0	2075.0	4664.0	5279.0	2534.0	4408.0	2645.0	11048.0	3044.0	13438.0	12676.0	3056.0	13479.0	32257.0	14094.0	17495.0	10408.0	1001.0	6556.0	1308498.0	1658297.590527
sub-2_ses-2_T1w.long.sub-2_base	2645.0	5951.0	4576.0	2063.0	9628.0	17404.0	15273.0	2280.0	12626.0	10898.0	8219.0	6367.0	14380.0	2077.0	4450.0	5258.0	2571.0	4453.0	2607.0	10683.0	2910.0	13029.0	12428.0	3092.0	13191.0	32266.0	13386.0	17632.0	10232.0	995.0	6713.0	1300941.0	1658297.590527
sub-2_ses-3_T1w.long.sub-2_base	2609.0	5975.0	5114.0	2154.0	9778.0	17732.0	15165.0	2322.0	13034.0	11084.0	8335.0	6474.0	14337.0	2064.0	4670.0	5228.0	2629.0	4403.0	2609.0	10662.0	2958.0	13238.0	12712.0	3062.0	13241.0	31966.0	13677.0	17383.0	10268.0	996.0	6640.0	1307371.0	1658297.590527
sub-2_ses-4_T1w.long.sub-2_base	2632.0	5900.0	4786.0	2135.0	9746.0	17243.0	15273.0	2293.0	12733.0	11168.0	8180.0	6462.0	14508.0	2119.0	4538.0	5177.0	2585.0	4391.0	2561.0	10682.0	3090.0	12973.0	12592.0	3093.0	13303.0	32286.0	13281.0	17656.0	10143.0	993.0	6658.0	1304397.0	1658297.590527
sub-2_ses-5_T1w.long.sub-2_base	2642.0	6169.0	4732.0	2033.0	9671.0	17739.0	15119.0	2314.0	12668.0	10735.0	8308.0	6353.0	14404.0	2067.0	4637.0	5349.0	2628.0	4502.0	2647.0	11050.0	2984.0	13382.0	12799.0	3113.0	13785.0	32682.0	13898.0	17672.0	10392.0	998.0	6645.0	1311780.0	1658297.590527
sub-2_ses-6_T1w.long.sub-2_base	2601.0	6074.0	4871.0	1963.0	9670.0	17655.0	15301.0	2297.0	12898.0	11226.0	8358.0	6395.0	14524.0	2104.0	4573.0	5233.0	2570.0	4438.0	2699.0	10815.0	3048.0	13194.0	12639.0	3117.0	13542.0	32449.0	13559.0	17523.0	10273.0	991.0	6671.0	1308491.0	1658297.590527
sub-2_ses-7_T1w.long.sub-2_base	2734.0	5975.0	4722.0	2107.0	9719.0	17353.0	15387.0	2288.0	12674.0	10954.0	8215.0	6336.0	14401.0	2094.0	4475.0	5221.0	2551.0	4378.0	2549.0	10470.0	3189.0	13115.0	12432.0	3136.0	13164.0	31926.0	13284.0	17271.0	10184.0	1012.0	6673.0	1299086.0	1658297.590527
sub-2_ses-8_T1w.long.sub-2_base	2589.0	6020.0	4799.0	2125.0	9758.0	17835.0	15316.0	2337.0	13054.0	10789.0	8445.0	6338.0	14553.0	2147.0	4711.0	5269.0	2603.0	4443.0	2701.0	10889.0	2933.0	13327.0	12792.0	3150.0	13754.0	32575.0	13820.0	17887.0	10377.0	1011.0	6724.0	1318054.0	1658297.590527
sub-2_ses-9_T1w.long.sub-2_base	2783.0	6094.0	4655.0	2016.0	9773.0	17778.0	15479.0	2310.0	13165.0	11056.0	8232.0	6459.0	14570.0	2092.0	4558.0	5283.0	2586.0	4388.0	2597.0	10557.0	3230.0	13406.0	12781.0	3149.0	13783.0	32802.0	13734.0	17619.0	10285.0	993.0	6608.0	1313615.0	1658297.590527
sub-2_ses-10_T1w.long.sub-2_base	2623.0	6110.0	4961.0	1933.0	9745.0	17851.0	15486.0	2332.0	13034.0	11190.0	8414.0	6477.0	14512.0	2080.0	4587.0	5285.0	2594.0	4479.0	2625.0	10874.0	2994.0	13340.0	12629.0	3109.0	13800.0	32711.0	13712.0	17520.0	10336.0	989.0	6641.0	1312394.0	1658297.590527
