lh.aparc.DKTatlas.volume	lh_caudalanteriorcingulate_volume	lh_caudalmiddlefrontal_volume	lh_cuneus_volume	lh_entorhinal_volume	lh_fusiform_volume	lh_inferiorparietal_volume	lh_inferiortemporal_volume	lh_isthmuscingulate_volume	lh_lateraloccipital_volume	lh_lateralorbitofrontal_volume	lh_lingual_volume	lh_medialorbitofrontal_volume	lh_middletemporal_volume	lh_parahippocampal_volume	lh_paracentral_volume	lh_parsopercularis_volume	lh_parsorbitalis_volume	lh_parstriangularis_volume	lh_pericalcarine_volume	lh_postcentral_volume	lh_posteriorcingulate_volume	lh_precentral_volume	lh_precuneus_volume	lh_rostralanteriorcingulate_volume	lh_rostralmiddlefrontal_volume	lh_superiorfrontal_volume	lh_superiorparietal_volume	lh_superiortemporal_volume	lh_supramarginal_volume	lh_transversetemporal_volume	lh_insula_volume	BrainSegVolNotVent	eTIV
sub-2_ses-1_T1w.long.sub-2_base	3801.0	7327.0	4857.0	2060.0	10540.0	14299.0	11873.0	3351.0	15259.0	10357.0	8278.0	5596.0	16810.0	2305.0	4403.0	6386.0	2401.0	5961.0	2801.0	12549.0	3045.0	14154.0	12122.0	4162.0	14150.0	27510.0	11143.0	19042.0	9942.0	1281.0	6913.0	1308498.0	1658297.590527
sub-2_ses-2_T1w.long.sub-2_base	3832.0	7352.0	4761.0	2219.0	10724.0	14016.0	12232.0	3309.0	15022.0	10571.0	8199.0	5672.0	16951.0	2354.0	4311.0	6385.0	2517.0	5995.0	2719.0	12245.0	3004.0	13939.0	11940.0	4243.0	14470.0	27549.0	10852.0	19369.0	10033.0	1301.0	6929.0	1300941.0	1658297.590527
sub-2_ses-3_T1w.long.sub-2_base	3732.0	7132.0	4864.0	2131.0	10623.0	14003.0	12238.0	3303.0	15268.0	10361.0	8477.0	5620.0	16952.0	2289.0	4225.0	6305.0	2509.0	5941.0	2798.0	12290.0	2967.0	13880.0	11868.0	4182.0	13972.0	26581.0	10904.0	19158.0	9896.0	1323.0	6835.0	1307371.0	1658297.590527
sub-2_ses-4_T1w.long.sub-2_base	3845.0	7388.0	4848.0	2085.0	10829.0	14081.0	12446.0	3364.0	15279.0	10380.0	8294.0	5615.0	17014.0	2301.0	4320.0	6410.0	2501.0	5996.0	2755.0	12085.0	2857.0	13915.0	12047.0	4203.0	14265.0	27501.0	10750.0	19431.0	10013.0	1293.0	6789.0	1304397.0	1658297.590527
sub-2_ses-5_T1w.long.sub-2_base	3785.0	7398.0	4926.0	2151.0	10655.0	14210.0	12357.0	3301.0	15144.0	10362.0	8338.0	5660.0	16999.0	2303.0	4419.0	6499.0	2564.0	6070.0	2837.0	12717.0	2764.0	14399.0	12107.0	4247.0	14450.0	27782.0	11119.0	19482.0	10025.0	1304.0	6877.0	1311780.0	1658297.590527
sub-2_ses-6_T1w.long.sub-2_base	3800.0	7364.0	4910.0	2093.0	10633.0	14174.0	12260.0	3342.0	15150.0	10684.0	8261.0	5663.0	16944.0	2259.0	4366.0	6406.0	2547.0	6025.0	2850.0	12456.0	3037.0	14176.0	12026.0	4255.0	14379.0	27623.0	10866.0	19369.0	10042.0	1280.0	6838.0	1308491.0	1658297.590527
sub-2_ses-7_T1w.long.sub-2_base	3677.0	7220.0	4812.0	2233.0	10614.0	13901.0	12280.0	3332.0	15151.0	10256.0	8255.0	5618.0	17049.0	2295.0	4263.0	6356.0	2521.0	5932.0	2745.0	12321.0	3016.0	14034.0	11852.0	4049.0	14274.0	27155.0	10674.0	19292.0	9888.0	1306.0	6840.0	1299086.0	1658297.590527
sub-2_ses-8_T1w.long.sub-2_base	3828.0	7489.0	4868.0	2048.0	10681.0	14267.0	12306.0	3391.0	15242.0	10465.0	8300.0	5759.0	17131.0	2373.0	4418.0	6552.0	2578.0	6145.0	2745.0	12436.0	2786.0	14265.0	12243.0	4249.0	14455.0	27846.0	11030.0	19420.0	10043.0	1303.0	6956.0	1318054.0	1658297.590527
sub-2_ses-9_T1w.long.sub-2_base	3857.0	7471.0	4911.0	2090.0	10625.0	14201.0	12044.0	3311.0	15166.0	10212.0	8155.0	5613.0	17073.0	2338.0	4422.0	6441.0	2551.0	6186.0	2750.0	12632.0	3016.0	14430.0	12087.0	4158.0	14418.0	28033.0	10963.0	19649.0	10105.0	1273.0	6826.0	1313615.0	1658297.590527
sub-2_ses-10_T1w.long.sub-2_base	3870.0	7500.0	4939.0	2180.0	10674.0	14201.0	12242.0	3314.0	15272.0	10791.0	8307.0	5750.0	17002.0	2317.0	4370.0	6500.0	2558.0	6092.0	2807.0	12656.0	3052.0	14360.0	12126.0	4233.0	14592.0	27859.0	10967.0	19195.0	10005.0	1300.0	6876.0	1312394.0	1658297.590527
sub-2_ses-11_T1w.long.sub-2_base	3874.0	7360.0	4949.0	2061.0	10681.0	14309.0	12203.0	3277.0	15261.0	10398.0	8262.0	5632.0	16987.0	2335.0	4445.0	6374.0	2556.0	6023.0	2798.0	12602.0	2988.0	14207.0	12227.0	4210.0	14416.0	27781.0	11054.0	19370.0	9997.0	1301.0	6788.0	1312811.0	1658297.590527
sub-2_ses-12_T1w.long.sub-2_base	3822.0	7192.0	4826.0	2128.0	10647.0	14324.0	12297.0	3338.0	15262.0	10500.0	8248.0	5722.0	17056.0	2346.0	4185.0	6401.0	2525.0	5990.0	2720.0	12279.0	2759.0	14016.0	12020.0	4330.0	14269.0	27615.0	10967.0	19242.0	10234.0	1304.0	6846.0	1311567.0	1658297.590527
sub-2_ses-13_T1w.long.sub-2_base	3871.0	7409.0	4919.0	2098.0	10753.0	14313.0	12248.0	3356.0	15436.0	10745.0	8277.0	5694.0	17012.0	2287.0	4381.0	6436.0	2562.0	6053.0	2757.0	12520.0	3038.0	14250.0	12164.0	4202.0	14466.0	27607.0	11113.0	19393.0	10115.0	1242.0	6825.0	1312075.0	1658297.590527
sub-2_ses-14_T1w.long.sub-2_base	3836.0	7389.0	4868.0	2206.0	10763.0	14299.0	12019.0	3304.0	15292.0	10272.0	8314.0	5613.0	17044.0	2316.0	4307.0	6369.0	2510.0	6002.0	2710.0	12654.0	3040.0	14215.0	12101.0	4173.0	14120.0	27223.0	11032.0	19407.0	10147.0	1283.0	6838.0	1302504.0	1658297.590527
sub-2_ses-15_T1w.long.sub-2_base	3726.0	7363.0	4770.0	2147.0	10574.0	14218.0	12096.0	3334.0	15232.0	10503.0	8219.0	5626.0	16952.0	2320.0	4263.0	6429.0	2552.0	6063.0	2669.0	12461.0	2759.0	13971.0	11954.0	4199.0	14436.0	27432.0	10810.0	19267.0	10157.0	1274.0	6785.0	1309106.0	1658297.590527
sub-2_ses-16_T1w.long.sub-2_base	3728.0	7190.0	4848.0	2196.0	10587.0	14143.0	11990.0	3272.0	15005.0	10079.0	8282.0	5542.0	16772.0	2308.0	4380.0	6235.0	2463.0	5872.0	2820.0	12386.0	3016.0	14043.0	11907.0	4085.0	13935.0	26972.0	11050.0	19183.0	9971.0	1275.0	6753.0	1302681.0	1658297.590527
sub-2_ses-17_T1w.long.sub-2_base	3796.0	7209.0	4850.0	2159.0	10606.0	14074.0	12211.0	3342.0	15185.0	10495.0	8309.0	5636.0	17058.0	2241.0	4245.0	6419.0	2546.0	6032.0	2744.0	12389.0	2783.0	14048.0	11992.0	4171.0	14416.0	27610.0	10931.0	19477.0	10121.0	1293.0	6895.0	1308567.0	1658297.590527
sub-2_ses-18_T1w.long.sub-2_base	3880.0	7371.0	4902.0	2124.0	10704.0	14232.0	12111.0	3316.0	15325.0	10182.0	8301.0	5689.0	16870.0	2335.0	4460.0	6435.0	2477.0	5999.0	2793.0	12611.0	3011.0	14233.0	12115.0	4265.0	14305.0	27441.0	11066.0	19440.0	10067.0	1281.0	6894.0	1311290.0	1658297.590527
