lh.aparc.a2009s.area	lh_G_and_S_frontomargin_area	lh_G_and_S_occipital_inf_area	lh_G_and_S_paracentral_area	lh_G_and_S_subcentral_area	lh_G_and_S_transv_frontopol_area	lh_G_and_S_cingul-Ant_area	lh_G_and_S_cingul-Mid-Ant_area	lh_G_and_S_cingul-Mid-Post_area	lh_G_cingul-Post-dorsal_area	lh_G_cingul-Post-ventral_area	lh_G_cuneus_area	lh_G_front_inf-Opercular_area	lh_G_front_inf-Orbital_area	lh_G_front_inf-Triangul_area	lh_G_front_middle_area	lh_G_front_sup_area	lh_G_Ins_lg_and_S_cent_ins_area	lh_G_insular_short_area	lh_G_occipital_middle_area	lh_G_occipital_sup_area	lh_G_oc-temp_lat-fusifor_area	lh_G_oc-temp_med-Lingual_area	lh_G_oc-temp_med-Parahip_area	lh_G_orbital_area	lh_G_pariet_inf-Angular_area	lh_G_pariet_inf-Supramar_area	lh_G_parietal_sup_area	lh_G_postcentral_area	lh_G_precentral_area	lh_G_precuneus_area	lh_G_rectus_area	lh_G_subcallosal_area	lh_G_temp_sup-G_T_transv_area	lh_G_temp_sup-Lateral_area	lh_G_temp_sup-Plan_polar_area	lh_G_temp_sup-Plan_tempo_area	lh_G_temporal_inf_area	lh_G_temporal_middle_area	lh_Lat_Fis-ant-Horizont_area	lh_Lat_Fis-ant-Vertical_area	lh_Lat_Fis-post_area	lh_Pole_occipital_area	lh_Pole_temporal_area	lh_S_calcarine_area	lh_S_central_area	lh_S_cingul-Marginalis_area	lh_S_circular_insula_ant_area	lh_S_circular_insula_inf_area	lh_S_circular_insula_sup_area	lh_S_collat_transv_ant_area	lh_S_collat_transv_post_area	lh_S_front_inf_area	lh_S_front_middle_area	lh_S_front_sup_area	lh_S_interm_prim-Jensen_area	lh_S_intrapariet_and_P_trans_area	lh_S_oc_middle_and_Lunatus_area	lh_S_oc_sup_and_transversal_area	lh_S_occipital_ant_area	lh_S_oc-temp_lat_area	lh_S_oc-temp_med_and_Lingual_area	lh_S_orbital_lateral_area	lh_S_orbital_med-olfact_area	lh_S_orbital-H_Shaped_area	lh_S_parieto_occipital_area	lh_S_pericallosal_area	lh_S_postcentral_area	lh_S_precentral-inf-part_area	lh_S_precentral-sup-part_area	lh_S_suborbital_area	lh_S_subparietal_area	lh_S_temporal_inf_area	lh_S_temporal_sup_area	lh_S_temporal_transverse_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-2_ses-1_T1w.long.sub-2_base	989.0	1337.0	1180.0	1061.0	564.0	1905.0	1303.0	857.0	482.0	256.0	1534.0	997.0	323.0	1028.0	3114.0	5209.0	487.0	557.0	1887.0	1118.0	1466.0	2339.0	770.0	2048.0	2012.0	1813.0	2050.0	1650.0	1670.0	2151.0	858.0	548.0	323.0	1432.0	515.0	661.0	1583.0	1939.0	213.0	242.0	790.0	1407.0	1251.0	2116.0	1948.0	730.0	363.0	1097.0	1226.0	809.0	422.0	2312.0	1081.0	1627.0	230.0	1919.0	997.0	1230.0	358.0	710.0	1466.0	349.0	577.0	1204.0	1416.0	761.0	1841.0	1412.0	645.0	507.0	913.0	1312.0	4062.0	271.0	91829.1	1308498.0	1658297.590527
sub-2_ses-2_T1w.long.sub-2_base	968.0	1320.0	1144.0	1040.0	555.0	1872.0	1289.0	862.0	480.0	251.0	1536.0	983.0	308.0	1030.0	3054.0	5178.0	464.0	556.0	1885.0	1102.0	1446.0	2324.0	724.0	1996.0	1974.0	1713.0	1968.0	1561.0	1589.0	2094.0	788.0	560.0	321.0	1406.0	497.0	650.0	1587.0	1940.0	190.0	238.0	811.0	1423.0	1249.0	2107.0	2004.0	715.0	363.0	1112.0	1246.0	767.0	415.0	2328.0	1083.0	1635.0	254.0	1940.0	989.0	1222.0	353.0	708.0	1471.0	355.0	570.0	1229.0	1388.0	761.0	1866.0	1415.0	649.0	501.0	915.0	1266.0	4101.0	268.0	90918.9	1300941.0	1658297.590527
sub-2_ses-3_T1w.long.sub-2_base	977.0	1320.0	1149.0	1040.0	536.0	1870.0	1295.0	856.0	481.0	260.0	1485.0	981.0	324.0	1036.0	3046.0	5185.0	449.0	562.0	1888.0	1084.0	1474.0	2304.0	750.0	2010.0	1972.0	1712.0	1963.0	1586.0	1551.0	2110.0	781.0	542.0	318.0	1394.0	495.0	653.0	1538.0	1918.0	206.0	243.0	816.0	1388.0	1271.0	2105.0	2020.0	707.0	366.0	1091.0	1223.0	770.0	413.0	2331.0	1089.0	1638.0	254.0	1939.0	1002.0	1235.0	363.0	714.0	1469.0	351.0	572.0	1234.0	1396.0	745.0	1855.0	1431.0	657.0	509.0	894.0	1291.0	4124.0	268.0	90874.7	1307371.0	1658297.590527
sub-2_ses-4_T1w.long.sub-2_base	1010.0	1341.0	1159.0	1046.0	577.0	1928.0	1283.0	830.0	466.0	262.0	1583.0	980.0	332.0	1043.0	3100.0	5232.0	464.0	576.0	1912.0	1098.0	1482.0	2407.0	732.0	2095.0	1991.0	1727.0	1977.0	1560.0	1615.0	2098.0	839.0	554.0	320.0	1359.0	474.0	649.0	1618.0	1921.0	214.0	250.0	804.0	1539.0	1312.0	2117.0	2013.0	713.0	358.0	1117.0	1215.0	787.0	417.0	2334.0	1095.0	1649.0	250.0	1928.0	1010.0	1232.0	367.0	727.0	1471.0	356.0	574.0	1253.0	1396.0	677.0	1867.0	1418.0	655.0	505.0	903.0	1284.0	4152.0	268.0	91870.5	1304397.0	1658297.590527
sub-2_ses-5_T1w.long.sub-2_base	1002.0	1346.0	1159.0	1052.0	559.0	1873.0	1270.0	808.0	478.0	245.0	1488.0	1006.0	321.0	1047.0	3102.0	5205.0	446.0	573.0	1903.0	1102.0	1454.0	2248.0	725.0	1997.0	2003.0	1757.0	2007.0	1589.0	1678.0	2128.0	827.0	573.0	313.0	1411.0	486.0	657.0	1550.0	1921.0	195.0	242.0	778.0	1433.0	1242.0	2119.0	1996.0	737.0	354.0	1104.0	1220.0	781.0	419.0	2320.0	1096.0	1654.0	232.0	1956.0	1002.0	1235.0	356.0	714.0	1470.0	351.0	564.0	1247.0	1409.0	656.0	1853.0	1421.0	652.0	511.0	919.0	1299.0	4085.0	275.0	91212.5	1311780.0	1658297.590527
sub-2_ses-6_T1w.long.sub-2_base	984.0	1329.0	1146.0	1049.0	560.0	1903.0	1313.0	855.0	477.0	250.0	1515.0	1000.0	333.0	1058.0	3134.0	5233.0	460.0	557.0	1909.0	1098.0	1474.0	2312.0	728.0	2027.0	1998.0	1767.0	2003.0	1605.0	1657.0	2149.0	836.0	626.0	321.0	1413.0	491.0	654.0	1581.0	1953.0	213.0	246.0	793.0	1454.0	1210.0	2136.0	1974.0	720.0	365.0	1085.0	1220.0	783.0	421.0	2327.0	1084.0	1636.0	246.0	1946.0	995.0	1234.0	355.0	716.0	1461.0	350.0	584.0	1248.0	1395.0	824.0	1843.0	1404.0	652.0	504.0	913.0	1276.0	4060.0	277.0	91706.9	1308491.0	1658297.590527
sub-2_ses-7_T1w.long.sub-2_base	997.0	1338.0	1139.0	1035.0	556.0	1845.0	1286.0	855.0	467.0	258.0	1552.0	989.0	315.0	1046.0	3108.0	5223.0	450.0	548.0	1889.0	1087.0	1488.0	2325.0	780.0	2033.0	1985.0	1732.0	1954.0	1523.0	1579.0	2091.0	854.0	555.0	322.0	1393.0	493.0	647.0	1599.0	1915.0	186.0	242.0	806.0	1458.0	1273.0	2120.0	1992.0	698.0	365.0	1107.0	1243.0	782.0	416.0	2323.0	1081.0	1638.0	259.0	1931.0	990.0	1227.0	361.0	727.0	1478.0	356.0	579.0	1240.0	1406.0	696.0	1869.0	1427.0	647.0	512.0	904.0	1288.0	4130.0	271.0	91277.6	1299086.0	1658297.590527
sub-2_ses-8_T1w.long.sub-2_base	992.0	1318.0	1160.0	1040.0	553.0	1867.0	1259.0	815.0	480.0	239.0	1543.0	1017.0	317.0	1077.0	3152.0	5225.0	436.0	554.0	1871.0	1116.0	1457.0	2363.0	721.0	1979.0	2008.0	1770.0	1972.0	1596.0	1635.0	2105.0	826.0	537.0	324.0	1410.0	505.0	651.0	1548.0	1917.0	194.0	236.0	791.0	1433.0	1245.0	2139.0	1986.0	719.0	368.0	1097.0	1215.0	767.0	419.0	2356.0	1076.0	1657.0	240.0	1947.0	989.0	1226.0	363.0	706.0	1480.0	352.0	572.0	1235.0	1414.0	635.0	1856.0	1422.0	641.0	510.0	915.0	1271.0	4104.0	271.0	91198.6	1318054.0	1658297.590527
sub-2_ses-9_T1w.long.sub-2_base	983.0	1343.0	1170.0	1068.0	562.0	1917.0	1295.0	875.0	483.0	249.0	1595.0	1007.0	348.0	1102.0	3182.0	5338.0	477.0	576.0	1907.0	1120.0	1488.0	2444.0	738.0	2080.0	1989.0	1807.0	1977.0	1621.0	1629.0	2171.0	820.0	543.0	321.0	1466.0	512.0	651.0	1587.0	2003.0	193.0	258.0	779.0	1520.0	1205.0	2153.0	2020.0	701.0	357.0	1102.0	1199.0	786.0	422.0	2341.0	1088.0	1671.0	240.0	1965.0	993.0	1248.0	353.0	730.0	1488.0	341.0	577.0	1214.0	1400.0	769.0	1881.0	1427.0	662.0	513.0	895.0	1281.0	4065.0	275.0	92555.3	1313615.0	1658297.590527
sub-2_ses-10_T1w.long.sub-2_base	995.0	1323.0	1169.0	1043.0	556.0	1881.0	1308.0	864.0	486.0	257.0	1559.0	1009.0	318.0	1064.0	3060.0	5284.0	444.0	558.0	1894.0	1111.0	1490.0	2401.0	731.0	2029.0	1983.0	1769.0	1962.0	1609.0	1651.0	2148.0	835.0	625.0	314.0	1400.0	526.0	653.0	1598.0	1932.0	207.0	250.0	797.0	1516.0	1269.0	2138.0	1974.0	718.0	365.0	1096.0	1209.0	754.0	424.0	2333.0	1090.0	1659.0	247.0	1944.0	1000.0	1237.0	356.0	725.0	1456.0	353.0	571.0	1227.0	1403.0	757.0	1854.0	1431.0	661.0	504.0	898.0	1280.0	4093.0	272.0	91905.0	1312394.0	1658297.590527
