Measure:volume	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	5th-Ventricle	WM-hypointensities	Left-WM-hypointensities	Right-WM-hypointensities	non-WM-hypointensities	Left-non-WM-hypointensities	Right-non-WM-hypointensities	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior	BrainSegVol	BrainSegVolNotVent	lhCortexVol	rhCortexVol	CortexVol	lhCerebralWhiteMatterVol	rhCerebralWhiteMatterVol	CerebralWhiteMatterVol	SubCortGrayVol	TotalGrayVol	SupraTentorialVol	SupraTentorialVolNotVent	MaskVol	BrainSegVol-to-eTIV	MaskVol-to-eTIV	EstimatedTotalIntraCranialVol
sub-2_ses-1_T1w.long.sub-2_base	6094.9	512.8	18315.4	69620.7	10983.3	4586.0	6129.0	2089.1	958.4	2662.8	26975.3	4779.3	1591.3	1330.2	511.9	4507.8	33.9	760.4	6929.6	343.7	17082.2	68998.4	10696.7	4603.3	6232.6	2081.6	4684.9	1899.1	859.1	4752.2	53.0	744.3	5.0	294.9	0.0	0.0	7.2	0.0	0.0	207.7	1220.3	672.4	686.4	555.1	902.5	1328563.0	1308498.0	275100.02946	273283.370164	548383.399624	259325.5	256125.5	515451.0	73412.0	761171.399624	1155027.0	1134962.0	1895032.0	0.801161	1.142757	1658297.590527
sub-2_ses-2_T1w.long.sub-2_base	6037.4	504.4	18384.9	70013.5	10926.6	4539.1	5980.5	2115.4	942.0	2655.9	26993.8	4802.7	1623.0	1226.3	610.9	4597.1	33.0	824.4	6857.5	332.1	16954.7	69874.8	10570.2	4572.4	6103.7	2148.8	4769.0	1917.9	891.2	4741.4	26.1	705.2	2.2	317.0	0.0	0.0	7.4	0.0	0.0	215.7	1234.8	703.0	753.4	553.4	901.5	1320694.0	1300941.0	275405.971268	270591.469306	545997.440574	255603.0	253239.0	508842.0	73171.0	759625.440574	1146144.0	1126391.0	1892081.0	0.796416	1.140978	1658297.590527
sub-2_ses-3_T1w.long.sub-2_base	5942.4	488.9	18422.7	70580.9	11015.0	4632.4	6054.2	2106.9	906.6	2583.0	27158.8	4781.1	1594.6	1193.8	558.6	4695.7	38.6	815.7	6760.2	329.8	17272.4	69524.9	10658.2	4584.1	6212.6	2137.8	4635.1	1981.4	888.4	4785.9	30.2	705.9	2.4	290.2	0.0	0.0	10.2	0.0	0.0	203.6	1236.5	680.7	748.2	562.3	913.8	1326644.0	1307371.0	273077.783739	272798.027084	545875.810822	257514.5	257032.5	514547.0	73498.0	760031.810822	1151269.0	1131996.0	1893336.0	0.800004	1.141735	1658297.590527
sub-2_ses-4_T1w.long.sub-2_base	6200.9	559.6	17576.8	70043.9	10864.1	4481.5	6110.2	2118.4	963.5	2750.4	27215.4	4745.8	1703.9	1229.7	627.7	4599.8	45.7	830.0	7075.4	336.2	17116.0	68915.1	10904.9	4613.7	6196.0	2092.2	4715.6	1957.8	846.0	4847.7	36.3	736.7	2.3	320.4	0.0	0.0	4.5	0.0	0.0	194.5	1227.4	653.2	824.1	566.7	910.8	1324940.0	1304397.0	275374.322283	271352.397826	546726.720109	257181.0	255388.0	512569.0	73635.0	760005.720109	1151807.0	1131264.0	1894463.0	0.798976	1.142414	1658297.590527
sub-2_ses-5_T1w.long.sub-2_base	6019.2	519.7	18004.8	69482.4	10878.3	4517.0	5972.1	2144.6	944.7	2616.4	26974.0	4761.2	1665.1	1234.7	622.4	4617.8	36.7	874.8	6866.1	314.2	16933.5	68850.2	10340.4	4554.2	6095.5	2164.8	4689.9	1941.3	860.2	4805.6	24.2	727.5	2.5	264.1	0.0	0.0	4.3	0.0	0.0	185.5	1242.0	769.2	1031.2	573.8	908.2	1331445.0	1311780.0	277755.423673	274400.948597	552156.37227	257832.5	257541.5	515374.0	72879.0	764087.37227	1158682.0	1139017.0	1903436.0	0.802899	1.147825	1658297.590527
sub-2_ses-6_T1w.long.sub-2_base	5938.0	571.4	17956.8	69814.1	10797.1	4496.7	6025.9	2131.9	951.1	2693.2	27054.3	4755.7	1651.5	1199.2	646.0	4621.3	49.2	792.6	6758.0	351.4	17038.8	69269.2	10424.1	4551.7	6069.1	2144.2	4608.3	1954.2	885.8	4747.7	36.9	683.5	2.4	287.2	0.0	0.0	7.3	0.0	0.0	200.2	1219.5	682.0	638.5	434.1	710.4	1328127.0	1308491.0	276417.647891	273536.366321	549954.014212	258538.5	255978.5	514517.0	72779.0	762354.014212	1154696.0	1135060.0	1904121.0	0.800898	1.148238	1658297.590527
sub-2_ses-7_T1w.long.sub-2_base	6091.4	531.2	17805.8	69687.4	10796.4	4562.7	5861.2	2140.1	976.0	2706.6	27148.6	4768.0	1595.2	1177.6	590.5	4602.9	37.8	759.5	6923.0	335.6	17037.7	68822.8	10441.2	4531.8	6049.2	2143.4	4676.5	1935.8	891.3	4671.8	26.0	648.3	4.6	300.6	0.0	0.0	3.5	0.0	0.0	201.1	1230.0	663.8	677.0	549.7	912.8	1319029.0	1299086.0	273643.863686	270149.591254	543793.454941	256370.5	255898.5	512269.0	72364.0	755310.454941	1146251.0	1126308.0	1892380.0	0.795412	1.141158	1658297.590527
sub-2_ses-8_T1w.long.sub-2_base	5792.0	488.0	18528.8	70652.3	10949.2	4538.9	5964.2	2159.7	893.7	2522.5	27129.9	4784.2	1665.7	1150.9	570.6	4692.1	28.5	893.0	6618.5	293.5	17391.1	71025.4	10601.5	4611.4	6164.5	2090.2	4774.9	1950.3	863.3	4774.7	16.4	771.3	2.4	288.1	0.0	0.0	7.1	0.0	0.0	200.8	1244.6	798.6	971.9	568.6	908.2	1336834.0	1318054.0	278039.635638	275337.267777	553376.903415	259188.5	256400.5	515589.0	73360.0	769056.903415	1159667.0	1140887.0	1903634.0	0.806148	1.147945	1658297.590527
sub-2_ses-9_T1w.long.sub-2_base	6301.0	567.1	17801.4	69113.5	10964.3	4558.0	6081.3	2088.6	952.5	2741.9	27064.4	4754.2	1587.3	1254.3	649.3	4676.8	55.3	804.7	6933.4	323.5	16832.4	69498.8	10270.3	4572.5	6121.3	2109.5	4658.1	1979.4	854.8	4696.6	34.9	746.8	3.2	216.0	0.0	0.0	6.1	0.0	0.0	185.6	1225.7	666.2	660.4	567.4	899.6	1334098.0	1313615.0	277415.176511	274903.479973	552318.656484	259790.0	258048.0	517838.0	72743.0	764220.656484	1161517.0	1141034.0	1893230.0	0.804499	1.141671	1658297.590527
sub-2_ses-10_T1w.long.sub-2_base	6117.3	538.8	17927.2	69993.5	10851.8	4476.0	5946.4	2148.9	962.6	2680.8	27231.9	4781.5	1637.8	1246.3	641.4	4608.1	48.2	822.1	6890.7	346.1	17127.4	69217.5	10316.0	4573.4	6117.1	2122.5	4624.8	1950.2	876.9	4701.4	36.5	726.7	0.0	244.2	0.0	0.0	5.6	0.0	0.0	184.6	1230.1	673.9	694.9	565.2	900.7	1332429.0	1312394.0	278270.484083	275211.003258	553481.487341	258312.5	256663.5	514976.0	72624.0	765922.487341	1158720.0	1138685.0	1905091.0	0.803492	1.148823	1658297.590527
