bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-1_ses-10_T1w	0.5113712328246269	1.9376967464934574	0.5845491758611241	531.3601952491828	4.271436666666666	4.31495	4.39125	4.10811	0.2652838393630898	0.38764184378084127	0.34707431685606904	0.3778829127550125	0.07962402999401091	0.0	0.0007071718036243738	8.30236839114233	8.23329038764331	8.338274608814896	188	256	256	2.204956061848658	5.879192604252392	6.8703967082977	12.52704145879205	31.111309956754738	49.338974911444595	49.77362449784611	68.870588625339	1.0	1.0	1.0	1.1253708034045742	9.217911083071758	11.721159604106637	6.217386543750763	3501573.0	0.0	40.301987774670124	13.710504878459858	-0.27062792115134116	141.93113984604685	444.1421159636143	437.74287134595215	388293.3029783239	113.2174987141043	751.9984537046403	198.5265444713876	-0.5131322224831742	83.78422752292009	698.0288164090081	694.2100662756711	567387.4905295594	504.66304526105523	916.1763171255589	118.07904609438617	-0.2484603685060649	56.74776510516051	951.4733328200127	969.0241027474403	508009.20702348335	794.5209366735071	1049.5448097269982	77.35450961729445	0.21373486692569799	0.516354572383182	0.5362502151747264	0.6153737683535155
sub-1_ses-11_T1w	0.49916910967740924	1.9174043835529182	0.5496448623867146	550.3574177236072	4.109156666666667	4.10004	4.26396	3.96347	0.2695204747233938	0.3859008866910238	0.34457863858558246	0.3877747654914856	0.08154946565628052	0.0	0.000286650850885523	8.159752057388685	8.087738143625673	8.192750459599736	188	256	256	2.093128277528212	5.511568155833058	6.4543042530297114	11.758216325727865	13.799198703953127	22.9007978491137	23.079066743705926	32.53720367805095	1.0	1.0	1.0	0.7469773196406124	19.555125049622813	17.109539828491954	13.18973140977323	4580158.0	0.0	50.81144851818681	17.316393854972567	-0.3677720143226595	149.7476354471116	422.6755283208925	411.89141107164323	401372.3168852849	113.57332482375205	733.9333095196635	196.7824439569548	-0.47803713900303624	86.05129971500688	687.7818306033068	683.5644694380462	574687.0739160876	485.8070199787617	920.1239251699299	124.02348213489888	0.0413030430061232	57.52794058222371	951.0202251785765	971.2009387500584	513149.61009998526	781.7350206691772	1053.909701930359	82.59756118884378	0.20566429454438265	0.5146865338567814	0.5352150162512976	0.5772866789441375
sub-1_ses-12_T1w	0.5013862941870931	1.9546930135664145	0.5499108707434462	603.8407198096371	4.186576666666666	4.21718	4.31814	4.02441	0.2659094222146096	0.3876984696237322	0.34639210816165816	0.3652104437351227	0.08083006143569949	0.0	0.0004044263119550099	8.281559638570346	8.212119725413245	8.3168482570058	188	256	256	2.184891806397277	5.846301636048293	6.774457724174454	12.292179730077793	17.274343757284083	27.615336169609655	27.893558664989882	38.790996068075906	1.0	1.0	1.0	0.8512351981535033	16.39384640048449	15.323930879785038	11.057481363415718	4309980.0	0.0	48.06201555579901	16.166979382017587	-0.2394400823483176	146.07003882759727	440.07867164204885	432.26561404019594	390204.2613165148	118.97030874341726	747.4915906861424	197.84277595696184	-0.5012124293213676	83.5305507072305	695.5779898542426	691.0340800210834	568921.5285909488	503.52493838220835	914.6409253701568	118.20010593373718	-0.20822902262252763	56.68454297733659	951.7439951980566	970.6888996884227	508307.2106486039	790.7854330614209	1050.168203562498	78.9679264522742	0.21175435475348509	0.5154376057162363	0.5367931383271358	0.6145910505260038
sub-1_ses-13_T1w	0.5217005391541648	1.9246922135514015	0.5750997672932598	541.6402026757954	4.38066	4.39572	4.5314	4.21486	0.2666624900084504	0.38701212451710315	0.3463253854744464	0.3743271082639694	0.08052290230989456	0.0	0.0009162430233493256	8.224787119829486	8.152884909726138	8.254493884220672	188	256	256	2.2053410026614095	5.891456169676318	6.807225378687807	12.324878963725693	20.909028623402182	34.01956928805984	34.12587340394176	47.44902230036327	1.0	1.0	1.0	0.7494718529969298	13.374463784950672	13.4391222875682	9.02093873731792	3979792.0	0.0	43.808106161653996	14.720977791973127	-0.329572410307974	140.73862349851763	435.8650503871979	426.85316538996994	394169.8264305836	120.03090044669807	742.5860211960971	193.55402335332786	-0.5781418981204589	85.40024581950154	697.9062301362138	694.5019348990172	572065.8422660187	505.31050413288176	913.3493569269776	117.88279635536523	-0.3239123426540669	57.62880572781497	949.3267315024086	968.6612290013582	511924.3320522566	790.201129026711	1047.201328650117	78.5938982243786	0.20875817089205903	0.5221350426048713	0.5398512968654342	0.6224427197543457
sub-1_ses-14_T1w	0.5239856223739874	1.868046490475511	0.5583335199515546	579.2957747657435	4.230637041969594	4.219421125908783	4.40405	4.06844	0.2683436605124865	0.385167211218749	0.3464891282687646	0.3839397132396698	0.08115287125110626	0.0	0.0006088018644232953	8.253104888568682	8.178288045732549	8.2838501960087	188	256	256	2.1702277290960414	5.555973859872626	6.552292605437579	11.930676227344069	17.168096551979968	27.990661257237658	28.15418956453183	39.30381088437785	0.999895453453064	1.0	1.0	1.6888640753311916	16.121364751602353	15.556558496798633	10.873695284128189	4229389.0	0.0	48.49317332357168	16.384274033614307	-0.36030794787748555	144.78892375027814	432.1964372714165	422.46644607931376	395109.7426204807	122.73829703778028	741.4281744137406	194.6643229168506	-0.5235180070009764	87.36739607319986	692.5511820825943	688.7842894494534	567120.9724121911	489.8132039681077	924.117947332561	123.97172836968423	-0.11893157168740176	58.50495272758919	947.8545402036856	967.1742730140686	510171.285692423	783.4322070032358	1049.4869771003723	81.06609438492757	0.20812527511167436	0.5166247291053372	0.536294693068675	0.5891463407870104
sub-1_ses-15_T1w	0.5122314457808107	1.966100079355098	0.5909917928459933	550.3693223324535	4.321243553341529	4.330090660024585	4.49424	4.1394	0.2666082383536724	0.3876978887148301	0.34569387293149756	0.37974846363067627	0.08147061467170719	0.0	0.000790491877065006	8.282858637548632	8.216214302888961	8.322907109498708	188	256	256	2.241338344551202	5.87716027753419	6.910280697105005	12.612343469229623	35.097484059549615	54.893388804006456	55.638742181373	76.9253536805629	0.9997042417526245	1.0	1.0	1.0216970267363283	8.253730457428142	11.464774408376009	5.567056594416499	3593270.0	0.0	39.02534647844732	13.420063894358721	0.030671558671081733	141.7236028795576	446.1672093311313	442.17535945400596	391060.164351342	118.08314515091479	751.4407396111637	197.2815907843404	-0.5404222161412724	84.77701032654836	695.1406290237607	691.5738998521119	568674.1003043026	503.38500683382154	910.731293624267	117.67133430701665	-0.20720267326771635	57.40282890995251	951.9286350016381	969.1434251274914	507062.7359403248	796.2849191129208	1049.2083295155317	76.84079266053487	0.21101206272104778	0.5146534303806325	0.5321087168294865	0.6191225091591458
sub-1_ses-16_T1w	0.5052025369084093	1.916213344366895	0.5728912470682826	510.55983313500803	4.219626666666667	4.23754	4.34696	4.07438	0.26999192915047177	0.38551463425039745	0.3444934365991309	0.36814016103744507	0.07663535773754115	0.0	0.0009642828853374452	8.179099912866544	8.106496017695953	8.20968654306127	188	256	256	2.1311563544105665	5.646334916722072	6.595735230032164	12.009714418963853	17.52840894901349	29.023237506190895	29.15094476549089	40.901187841268296	1.0	1.0	1.0	0.7163922682859956	15.52895554606248	14.48742697409033	10.47412134706974	4268441.0	0.0	44.515015725046396	15.051951592806022	-0.4132607947843252	145.91436155382644	426.35788478090586	415.48276566900313	401225.01639636786	112.31823742389679	735.3334606345743	194.95624853664114	-0.48687335900013906	85.03755178016662	691.8153408816955	687.9492042213678	572899.0341853899	492.45084354653955	918.6862976197153	121.83985079829033	-0.21927163679173	57.201072955575896	949.1046054825164	969.4969288352877	511938.95011170895	784.1105523332953	1048.8049699924886	80.72598132864009	0.2043570158634712	0.5159043692041377	0.5360180312653215	0.6066305276184832
sub-1_ses-17_T1w	0.5220663709580835	1.8807820762627403	0.5872388765157781	597.8334497676655	4.198526666666667	4.21798	4.3017	4.0759	0.26697020733806975	0.386456818064899	0.3465729745970313	0.3623037487268448	0.07423120141029355	0.0	0.0005526052439028512	8.201194072244121	8.12710849175575	8.229770892492574	188	256	256	2.120202936889002	5.765220568300966	6.622988108168346	11.983540819315069	35.75296884828673	58.044792591917	58.24480269540707	80.93664664601746	1.0	1.0	1.0	5.423414604768139	7.812475374583098	10.695790377080751	5.269434563815594	3380102.0	0.0	36.96924354508519	12.853106697968489	-0.13441073558687489	146.38111754482014	433.26684307491126	426.3527239449322	395630.62554422824	100.5629985705018	746.4015390314162	201.09027192625192	-0.5084250705557918	84.41585233694263	696.2936516723519	692.1818307563663	572701.1796609764	501.23416248336434	922.7057259902358	120.0615342019488	-0.1614963250763104	58.100145812031144	947.0218815465628	965.1662750281394	513596.19525978074	782.621968191117	1048.7006797976792	80.54091440621252	0.20781048796530008	0.5142648591347482	0.5341839269755001	0.615228228971467
sub-1_ses-18_T1w	0.503184382476462	1.949462771179306	0.558983988259712	636.3758010613569	4.2167933333333325	4.22499	4.37084	4.05455	0.26608938491460826	0.3878696537180424	0.3460409613673493	0.4008037745952606	0.0870163738727569	0.0	0.00039075649222373993	8.218579515912008	8.148877833817384	8.254192184966817	188	256	256	2.1590716974723154	5.758018905980127	6.6336264496449955	11.983788745482542	17.478398186919712	28.055454600463406	28.377001491285895	39.59715168647457	1.0	1.0	1.0	1.084207740152717	16.02147043583418	14.493504089524238	10.806317592039704	4201325.0	0.0	45.260412408038974	15.339788932025735	-0.3010084416025878	146.318097375536	435.3786179104542	427.4371563196182	393388.94166759483	114.11127409525216	743.8014196176082	197.97240339177904	-0.4419929525307724	83.93210639462202	690.4714848487553	686.1008431911469	573429.9871830038	496.77530553750694	911.3423382528126	119.15560823105581	-0.17820232884058163	58.09376680579661	949.393736859617	968.3549793418497	511590.0719212237	784.7049082219601	1050.3339403849095	80.80533239452525	0.2104149495337766	0.5159868946493694	0.5349600141131837	0.5898487970108601
sub-1_ses-19_T1w	0.49825272382803387	2.0063874889523645	0.5739018401981762	584.7825925332478	4.194716666666666	4.20992	4.34593	4.0283	0.2676331048423232	0.3881660835997277	0.344200811557949	0.38327452540397644	0.07521248757839205	0.0	0.0005381799583747878	8.239110900382386	8.173140879709216	8.280570503732045	188	256	256	2.131951845211847	5.604709864941052	6.572751288248182	11.98159215459165	20.857986226632445	33.86276444516837	34.41698241297622	48.53019656712785	1.0	1.0	1.0	2.2180034009478398	13.074604070073374	13.089837065420983	8.818686433136463	3833151.0	0.0	43.08877168595791	14.556840369392846	-0.4602727342853097	144.15164740549253	424.29586136996596	416.2643254324794	394652.57949056133	110.37311659194529	730.8067772928625	195.25009393918046	-0.5279520524210097	86.47443831156124	679.4603433148254	675.8016160279512	572390.8716510768	482.18121579661965	896.8548288028687	120.57734333809654	-0.2558577202917154	59.37359759669396	948.8256479800592	968.5206096898764	507559.5495711174	784.3328550737351	1048.586468476802	80.83396956745023	0.2117839773863143	0.5196010579730544	0.5378974035739801	0.6022873208149665
