h2oarea
3472200
3498040
3570490
3421760
3482230
3502240
3502980
3470090
6571630
3372260
3534000
3530540
6734780
3479050
6705120
3252270
3517420
3498180
6859040
3524290
3504710
3446250
3432580
3491920
3355780
6716040
3320690
3426500
3459550
6526980
3472220
3372600
3410300
6854280
6610150
6807740
6849770
6870360
4252480
4175230
4381700
4062510
4143530
4138140
4207360
4246600
4271310
3984960
3964130
4093030
4089310
4102040
4082460
4189500
4203560
4161020
4172560
4156050
3874800
4175170
4026560
4169270
4024630
3768380
3902180
4114420
4021440
4129680
4113560
4037900
3804730
4073220
4082670
4171700
4205850
4001510
4269730
3618980
3743410
3598950
3558970
3574600
3574230
3314180
3711690
3661370
3561400
3496860
3751940
3478900
3712910
3750710
3749970
3764460
3452520
3781430
3671050
3414140
3592040
3595470
3572670
3549370
